v,I correction,Q correction,phase correction,gain correction
-512,-512,-512,-512,-512
-496,-512,-512,-512,-512
-480,-480,-480,-512,-512
-464,-480,-480,-512,-512
-448,-448,-448,-448,-448
-432,-448,-448,-448,-448
-416,-416,-416,-448,-448
-400,-416,-416,-448,-448
-384,-384,-384,-384,-384
-368,-384,-384,-384,-384
-352,-352,-352,-384,-384
-336,-352,-352,-384,-384
-320,-320,-320,-320,-320
-304,-320,-320,-320,-320
-288,-288,-288,-320,-320
-272,-288,-288,-320,-320
-256,-256,-256,-256,-256
-240,-256,-256,-256,-256
-224,-224,-224,-256,-256
-208,-224,-224,-256,-256
-192,-192,-192,-192,-192
-176,-192,-192,-192,-192
-160,-160,-160,-192,-192
-144,-160,-160,-192,-192
-128,-128,-128,-128,-128
-112,-128,-128,-128,-128
-96,-96,-96,-128,-128
-80,-96,-96,-128,-128
-64,-64,-64,-64,-64
-48,-64,-64,-64,-64
-32,-32,-32,-64,-64
-16,-32,-32,-64,-64
0,0,0,0,0
16,0,0,0,0
32,32,32,0,0
48,32,32,0,0
64,64,64,64,64
80,64,64,64,64
96,96,96,64,64
112,96,96,64,64
128,128,128,128,128
144,128,128,128,128
160,160,160,128,128
176,160,160,128,128
192,192,192,192,192
208,192,192,192,192
224,224,224,192,192
240,224,224,192,192
256,256,256,256,256
272,256,256,256,256
288,288,288,256,256
304,288,288,256,256
320,320,320,320,320
336,320,320,320,320
352,352,352,320,320
368,352,352,320,320
384,384,384,384,384
400,384,384,384,384
416,416,416,384,384
432,416,416,384,384
448,448,448,448,448
464,448,448,448,448
480,480,480,448,448
496,480,480,448,448
