timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508777.699284,32.5,4.89,0.00,3.28,0.67
1738508777.801610,32.5,4.89,0.00,3.22,0.67
1738508777.903013,35.1,4.89,0.00,3.22,0.66
1738508778.003774,35.1,4.89,0.00,3.22,0.67
1738508778.104142,35.1,4.89,0.00,3.22,0.66
1738508778.206124,35.1,4.89,0.00,3.22,0.67
1738508778.307611,35.1,4.89,0.00,3.22,0.67
1738508778.409362,35.1,4.89,0.00,3.22,0.66
1738508778.510683,35.1,4.89,0.00,3.22,0.66
1738508778.612279,35.1,4.89,0.00,3.28,0.66
1738508778.713920,36.0,4.89,0.00,3.22,0.66
1738508778.814856,36.0,4.89,0.00,3.22,0.67
1738508778.916999,36.0,4.89,0.00,3.22,0.66
1738508779.019081,36.0,4.89,0.00,3.28,0.67
1738508779.118690,36.0,4.89,0.00,3.28,0.66
1738508779.220270,36.0,4.89,0.00,3.22,0.66
1738508779.321975,36.0,4.89,0.00,3.22,0.66
1738508779.423938,36.0,4.88,0.00,3.28,0.66
1738508779.525416,36.8,4.89,0.00,3.22,0.66
1738508779.626529,36.8,4.89,0.00,3.22,0.67
1738508779.728224,36.8,4.89,0.00,3.22,0.67
1738508779.829240,36.8,4.89,0.00,3.22,0.66
1738508779.931115,36.8,4.88,0.00,3.22,0.66
1738508780.033027,36.8,4.89,0.00,3.22,0.66
1738508780.134427,36.8,4.88,0.00,3.22,0.67
1738508780.236001,36.8,4.89,0.00,3.22,0.66
1738508780.337662,36.8,4.88,0.00,3.22,0.67
1738508780.439046,36.0,4.89,0.00,3.22,0.66
1738508780.540801,36.0,4.89,0.00,3.22,0.66
1738508780.642572,36.0,4.89,0.00,3.22,0.66
1738508780.744037,36.0,4.89,0.00,3.22,0.67
1738508780.845770,36.0,4.89,0.00,3.22,0.67
1738508780.947360,36.0,4.89,0.00,3.28,0.67
1738508781.048801,36.0,4.89,0.00,3.22,0.66
1738508781.150622,36.0,4.89,0.00,3.22,0.67
1738508781.253757,36.8,4.89,0.00,3.22,0.67
1738508781.351986,36.8,4.89,0.00,3.28,0.67
1738508781.453729,36.8,4.89,0.00,3.22,0.66
1738508781.553588,36.8,4.89,0.00,3.22,0.66
1738508781.654710,36.8,4.89,0.00,3.22,0.66
1738508781.756389,36.8,4.89,0.00,3.28,0.67
1738508781.858322,36.8,4.89,0.00,3.22,0.67
1738508781.959592,36.8,4.89,0.00,3.22,0.67
1738508782.060616,36.8,4.89,0.00,3.22,0.66
1738508782.162298,36.8,4.89,0.00,3.22,0.66
1738508782.264425,36.8,4.89,0.00,3.22,0.67
1738508782.365820,36.8,4.89,0.00,3.22,0.66
1738508782.467539,36.8,4.89,0.00,3.22,0.66
1738508782.569053,36.8,4.89,0.00,3.28,0.67
1738508782.670223,36.8,4.89,0.00,3.22,0.67
1738508782.771935,36.8,4.89,0.00,3.28,0.67
1738508782.873241,36.8,4.89,0.00,3.22,0.66
1738508782.973782,36.0,4.88,0.00,3.28,0.67
1738508783.074983,36.0,4.89,0.00,3.22,0.66
1738508783.176893,36.0,4.88,0.00,3.22,0.67
1738508783.278051,36.0,4.89,0.00,3.28,0.67
1738508783.379528,36.0,4.89,0.00,3.28,0.66
1738508783.481527,36.0,4.89,0.00,3.22,0.67
1738508783.582900,36.0,4.89,0.00,3.22,0.66
1738508783.684540,36.0,4.89,0.00,3.22,0.67
1738508783.786774,36.0,4.89,0.00,3.22,0.66
1738508783.888760,36.0,4.89,0.00,3.22,0.67
1738508783.989942,36.0,4.89,0.00,3.22,0.66
1738508784.091318,36.0,4.89,0.00,3.28,0.66
1738508784.193145,36.0,4.89,0.00,3.22,0.66
1738508784.294575,36.0,4.89,0.00,3.28,0.67
1738508784.396146,36.0,4.89,0.00,3.22,0.66
1738508784.497001,36.0,4.88,0.00,3.22,0.66
1738508784.598581,36.8,4.89,0.00,3.22,0.66
1738508784.700089,36.8,4.89,0.00,3.22,0.66
1738508784.802208,36.8,4.89,0.00,3.22,0.67
1738508784.903957,36.8,4.89,0.00,3.22,0.67
1738508785.005696,36.8,4.89,0.00,3.22,0.67
1738508785.107064,36.8,4.89,0.00,3.28,0.67
1738508785.208827,36.8,4.89,0.00,3.28,0.66
1738508785.308854,36.8,4.89,0.00,3.28,0.67
1738508785.409918,36.8,4.89,0.00,3.22,0.66
1738508785.511749,36.8,4.89,0.00,3.22,0.67
1738508785.612781,36.8,4.89,0.00,3.22,0.66
1738508785.714230,36.8,4.89,0.00,3.28,0.67
1738508785.814786,36.8,4.89,0.00,3.22,0.66
1738508785.916565,36.8,4.89,0.00,3.22,0.67
1738508786.017896,36.8,4.89,0.00,3.22,0.67
1738508786.119396,36.8,4.89,0.00,3.28,0.67
1738508786.221053,36.8,4.89,0.00,3.22,0.66
1738508786.322926,36.8,4.89,0.00,3.22,0.66
1738508786.424421,36.8,4.89,0.00,3.22,0.67
1738508786.526171,36.8,4.89,0.00,3.22,0.67
1738508786.627773,36.8,4.89,0.00,3.22,0.67
1738508786.729160,36.8,4.89,0.00,3.28,0.66
1738508786.831013,36.8,4.89,0.00,3.22,0.66
1738508786.932171,36.8,4.89,0.00,3.22,0.66
1738508787.033874,36.8,4.89,0.00,3.28,0.66
1738508787.135688,36.8,4.89,0.00,3.28,0.67
1738508787.237197,36.8,4.89,0.00,3.28,0.67
1738508787.338953,36.8,4.89,0.00,3.28,0.67
1738508787.440185,36.8,4.89,0.00,3.28,0.66
1738508787.541895,36.8,4.89,0.00,3.22,0.66
1738508787.643338,36.8,4.89,0.00,3.28,0.67
1738508787.745228,36.8,4.89,0.00,3.22,0.66
1738508787.846414,36.8,4.89,0.00,3.22,0.66
1738508787.947624,36.8,4.89,0.00,3.22,0.66
1738508788.049476,36.8,4.89,0.00,3.28,0.66
1738508788.151061,36.8,4.89,0.00,3.22,0.66
1738508788.252695,36.8,4.89,0.00,3.22,0.67
1738508788.354462,36.8,4.89,0.00,3.22,0.67
1738508788.458068,36.8,4.89,0.00,3.28,0.67
1738508788.556982,36.8,4.89,0.00,3.22,0.66
1738508788.659021,36.8,4.89,0.00,3.22,0.67
1738508788.760956,36.8,4.89,0.00,3.22,0.66
1738508788.862102,36.8,4.89,0.00,3.22,0.66
1738508788.963951,36.8,4.89,0.00,3.22,0.67
1738508789.065337,36.8,4.89,0.00,3.22,0.67
1738508789.167075,36.8,4.89,0.00,3.22,0.67
1738508789.268663,36.8,4.89,0.00,3.22,0.67
1738508789.371255,36.8,4.89,0.00,3.22,0.66
1738508789.471172,36.8,4.89,0.00,3.22,0.66
1738508789.572940,36.8,4.89,0.00,3.22,0.66
1738508789.674909,36.8,4.89,0.00,3.28,0.66
1738508789.776507,36.8,4.88,0.00,3.22,0.67
1738508789.878341,36.8,4.89,0.00,3.22,0.67
1738508789.979752,36.8,4.89,0.00,3.22,0.66
1738508790.080962,36.8,4.89,0.00,3.22,0.67
