timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509273.312664,32.5,4.88,0.00,3.22,0.67
1738509273.414277,32.5,4.88,0.00,3.22,0.67
1738509273.515910,32.5,4.89,0.00,3.28,0.67
1738509273.616520,34.2,4.88,0.00,3.28,0.67
1738509273.717902,34.2,4.88,0.00,3.28,0.67
1738509273.819240,34.2,4.88,0.00,3.22,0.67
1738509273.920638,34.2,4.89,0.00,3.28,0.67
1738509274.022447,34.2,4.88,0.00,3.22,0.67
1738509274.123270,34.2,4.88,0.00,3.22,0.66
1738509274.225795,34.2,4.89,0.00,3.22,0.67
1738509274.327241,34.2,4.89,0.00,3.28,0.66
1738509274.428157,36.0,4.89,0.00,3.22,0.67
1738509274.530597,36.0,4.88,0.00,3.28,0.67
1738509274.631296,36.0,4.88,0.00,3.28,0.66
1738509274.733561,36.0,4.88,0.00,3.22,0.67
1738509274.834955,36.0,4.88,0.00,3.28,0.67
1738509274.936612,36.0,4.89,0.00,3.22,0.66
1738509275.038070,36.0,4.88,0.00,3.28,0.67
1738509275.139196,36.0,4.88,0.00,3.28,0.67
1738509275.240705,36.0,4.88,0.00,3.28,0.67
1738509275.341544,36.0,4.88,0.00,3.22,0.67
1738509275.442794,36.0,4.89,0.00,3.22,0.68
1738509275.544479,36.0,4.88,0.00,3.28,0.67
1738509275.646038,36.0,4.89,0.00,3.28,0.67
1738509275.747459,36.0,4.88,0.00,3.28,0.67
1738509275.849215,36.0,4.89,0.00,3.28,0.67
1738509275.950896,36.0,4.88,0.00,3.22,0.66
1738509276.052348,36.0,4.88,0.00,3.22,0.67
1738509276.153813,36.0,4.88,0.00,3.28,0.67
1738509276.255708,36.0,4.88,0.00,3.28,0.67
1738509276.369562,36.0,4.88,0.00,3.28,0.66
1738509276.456395,36.0,4.89,0.00,3.22,0.66
1738509276.558203,36.0,4.89,0.00,3.28,0.67
1738509276.660397,36.0,4.89,0.00,3.28,0.67
1738509276.761499,36.0,4.88,0.00,3.28,0.66
1738509276.861993,36.0,4.88,0.00,3.28,0.66
1738509276.963384,36.8,4.89,0.00,3.22,0.67
1738509277.065396,36.8,4.89,0.00,3.22,0.67
1738509277.167026,36.8,4.89,0.00,3.22,0.67
1738509277.268505,36.8,4.88,0.00,3.22,0.66
1738509277.369766,36.8,4.88,0.00,3.28,0.67
1738509277.471488,36.8,4.88,0.00,3.28,0.67
1738509277.573177,36.8,4.88,0.00,3.28,0.67
1738509277.675308,36.8,4.88,0.00,3.28,0.66
1738509277.776621,36.8,4.88,0.00,3.28,0.67
1738509277.877264,36.8,4.89,0.00,3.28,0.67
1738509277.978733,36.8,4.89,0.00,3.28,0.67
1738509278.081670,36.8,4.88,0.00,3.28,0.67
1738509278.181768,36.8,4.88,0.00,3.22,0.67
1738509278.282260,36.8,4.89,0.00,3.28,0.66
1738509278.383896,36.8,4.89,0.00,3.28,0.67
1738509278.485627,36.8,4.89,0.00,3.22,0.67
1738509278.587214,36.8,4.89,0.00,3.28,0.67
1738509278.689216,36.8,4.88,0.00,3.22,0.67
1738509278.790477,36.8,4.88,0.00,3.28,0.67
1738509278.891885,36.8,4.89,0.00,3.28,0.67
1738509278.993121,36.8,4.88,0.00,3.22,0.67
1738509279.095181,36.8,4.89,0.00,3.28,0.67
1738509279.196724,36.8,4.88,0.00,3.22,0.67
1738509279.296380,36.8,4.88,0.00,3.28,0.67
1738509279.398526,36.8,4.88,0.00,3.22,0.67
1738509279.499522,36.8,4.88,0.00,3.28,0.67
1738509279.601370,36.8,4.89,0.00,3.28,0.67
1738509279.702851,36.8,4.88,0.00,3.28,0.67
1738509279.803752,36.8,4.88,0.00,3.28,0.67
1738509279.905567,36.8,4.88,0.00,3.28,0.67
1738509280.006939,36.8,4.88,0.00,3.28,0.67
1738509280.109368,36.8,4.89,0.00,3.22,0.67
1738509280.210540,36.8,4.89,0.00,3.28,0.67
1738509280.312427,36.8,4.88,0.00,3.28,0.67
1738509280.414226,36.8,4.89,0.00,3.28,0.67
1738509280.515750,36.8,4.89,0.00,3.28,0.67
1738509280.617116,36.8,4.89,0.00,3.28,0.67
1738509280.718272,36.8,4.88,0.00,3.28,0.67
1738509280.820485,36.8,4.89,0.00,3.22,0.67
1738509280.921959,36.8,4.88,0.00,3.22,0.67
1738509281.023642,36.8,4.89,0.00,3.28,0.67
1738509281.124961,36.8,4.88,0.00,3.28,0.67
1738509281.226685,36.8,4.88,0.00,3.22,0.67
1738509281.327725,36.8,4.88,0.00,3.28,0.67
1738509281.430012,36.8,4.89,0.00,3.22,0.67
1738509281.531701,36.8,4.88,0.00,3.28,0.67
1738509281.632777,36.8,4.88,0.00,3.28,0.67
1738509281.734542,36.8,4.88,0.00,3.28,0.67
1738509281.836238,36.8,4.89,0.00,3.28,0.67
1738509281.937821,36.8,4.89,0.00,3.22,0.67
1738509282.039206,36.0,4.89,0.00,3.28,0.66
1738509282.139977,36.0,4.88,0.00,3.28,0.67
1738509282.241145,36.0,4.89,0.00,3.28,0.66
1738509282.342156,36.0,4.88,0.00,3.28,0.67
1738509282.443779,36.0,4.89,0.00,3.22,0.67
1738509282.545548,36.0,4.88,0.00,3.28,0.67
1738509282.647270,36.0,4.89,0.00,3.28,0.66
1738509282.748635,36.0,4.88,0.00,3.28,0.66
1738509282.849507,36.8,4.88,0.00,3.28,0.67
1738509282.951577,36.8,4.89,0.00,3.28,0.67
1738509283.053021,36.8,4.88,0.00,3.28,0.66
1738509283.154771,36.8,4.89,0.00,3.22,0.67
1738509283.256711,36.8,4.88,0.00,3.28,0.67
1738509283.358420,36.8,4.88,0.00,3.28,0.67
1738509283.459837,36.8,4.89,0.00,3.28,0.66
1738509283.561479,36.8,4.88,0.00,3.28,0.67
1738509283.662956,36.8,4.88,0.00,3.28,0.67
1738509283.764327,36.8,4.89,0.00,3.28,0.66
1738509283.866519,36.8,4.88,0.00,3.22,0.66
1738509283.967582,36.8,4.88,0.00,3.28,0.67
1738509284.069291,36.8,4.88,0.00,3.28,0.67
1738509284.170985,36.8,4.88,0.00,3.28,0.67
1738509284.272595,36.8,4.88,0.00,3.28,0.67
1738509284.373810,36.8,4.89,0.00,3.28,0.66
1738509284.475679,36.8,4.88,0.00,3.28,0.67
1738509284.582394,37.7,4.89,0.00,3.28,0.66
1738509284.678149,37.7,4.88,0.00,3.28,0.67
1738509284.778826,37.7,4.89,0.00,3.28,0.67
1738509284.880387,37.7,4.88,0.00,3.28,0.67
1738509284.981992,37.7,4.88,0.00,3.22,0.67
1738509285.081642,37.7,4.88,0.00,3.22,0.67
1738509285.181774,37.7,4.89,0.00,3.28,0.67
1738509285.282717,37.7,4.88,0.00,3.28,0.67
1738509285.384881,36.8,4.89,0.00,3.28,0.67
1738509285.485941,36.8,4.88,0.00,3.28,0.67
1738509285.586434,36.8,4.89,0.00,3.22,0.66
1738509285.688144,36.8,4.88,0.00,3.28,0.67
1738509285.789024,36.8,4.88,0.00,3.22,0.67
1738509285.890478,36.8,4.88,0.00,3.22,0.66
1738509285.992217,36.8,4.88,0.00,3.22,0.67
1738509286.094040,36.8,4.88,0.00,3.28,0.67
1738509286.196096,36.8,4.89,0.00,3.22,0.67
1738509286.297514,36.8,4.88,0.00,3.28,0.67
1738509286.398595,36.8,4.89,0.00,3.28,0.67
1738509286.500272,36.8,4.88,0.00,3.28,0.67
1738509286.602504,36.8,4.89,0.00,3.22,0.67
1738509286.703865,36.8,4.88,0.00,3.28,0.67
1738509286.804890,36.8,4.89,0.00,3.28,0.67
1738509286.906330,36.8,4.88,0.00,3.28,0.67
1738509287.007945,36.8,4.88,0.00,3.28,0.67
1738509287.108334,36.8,4.88,0.00,3.28,0.67
1738509287.209795,36.8,4.88,0.00,3.28,0.67
1738509287.311373,36.8,4.88,0.00,3.22,0.67
1738509287.413271,36.8,4.88,0.00,3.22,0.67
1738509287.514477,36.8,4.89,0.00,3.22,0.67
1738509287.616266,36.8,4.88,0.00,3.28,0.67
1738509287.717729,36.8,4.89,0.00,3.22,0.67
1738509287.819429,36.8,4.88,0.00,3.22,0.67
1738509287.921327,36.8,4.89,0.00,3.28,0.66
1738509288.022308,36.8,4.88,0.00,3.28,0.67
1738509288.123994,36.8,4.88,0.00,3.28,0.66
