timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507828.890556,29.8,4.90,0.00,3.08,0.64
1738507828.991782,29.8,4.90,0.00,3.08,0.63
1738507829.092579,31.6,4.91,0.00,3.08,0.63
1738507829.194837,31.6,4.91,0.00,3.08,0.63
1738507829.295273,31.6,4.90,0.00,3.08,0.63
1738507829.395774,31.6,4.90,0.00,3.08,0.63
1738507829.497983,31.6,4.90,0.00,3.08,0.63
1738507829.599030,31.6,4.90,0.00,3.08,0.63
1738507829.701174,31.6,4.91,0.00,3.08,0.63
1738507829.802524,31.6,4.90,0.00,3.08,0.63
1738507829.904097,31.6,4.90,0.00,3.08,0.63
1738507830.005517,31.6,4.90,0.00,3.08,0.63
1738507830.107313,31.6,4.90,0.00,3.08,0.63
1738507830.207001,31.6,4.90,0.00,3.08,0.63
1738507830.308611,31.6,4.90,0.00,3.08,0.63
1738507830.411141,31.6,4.90,0.00,3.08,0.63
1738507830.511190,31.6,4.90,0.00,3.08,0.63
1738507830.613473,31.6,4.91,0.00,3.08,0.63
1738507830.714497,31.6,4.90,0.00,3.08,0.63
1738507830.815365,32.5,4.91,0.00,3.08,0.63
1738507830.916433,32.5,4.90,0.00,3.08,0.63
1738507831.019999,32.5,4.91,0.00,3.08,0.63
1738507831.118059,32.5,4.90,0.00,3.04,0.63
1738507831.219567,32.5,4.90,0.00,3.08,0.63
1738507831.319981,32.5,4.90,0.00,3.08,0.64
1738507831.425221,32.5,4.91,0.00,3.08,0.63
1738507831.522542,32.5,4.90,0.00,3.08,0.63
1738507831.623770,33.3,4.91,0.00,3.08,0.64
1738507831.726022,33.3,4.91,0.00,3.08,0.63
1738507831.827792,33.3,4.91,0.00,3.08,0.63
1738507831.929329,33.3,4.90,0.00,3.08,0.64
1738507832.030670,33.3,4.91,0.00,3.08,0.63
1738507832.132361,33.3,4.90,0.00,3.04,0.63
1738507832.234103,33.3,4.90,0.00,3.08,0.63
1738507832.335687,33.3,4.90,0.00,3.08,0.63
1738507832.437025,33.3,4.90,0.00,3.08,0.64
1738507832.538788,32.5,4.91,0.00,3.08,0.63
1738507832.640397,32.5,4.91,0.00,3.08,0.64
1738507832.741750,32.5,4.91,0.00,3.08,0.63
1738507832.843144,32.5,4.91,0.00,3.04,0.63
1738507832.944946,32.5,4.91,0.00,3.08,0.63
1738507833.046636,32.5,4.90,0.00,3.08,0.63
1738507833.148607,32.5,4.91,0.00,3.08,0.63
1738507833.249997,32.5,4.91,0.00,3.08,0.63
1738507833.351097,32.5,4.90,0.00,3.14,0.63
1738507833.452970,32.5,4.91,0.00,3.08,0.63
1738507833.554871,32.5,4.91,0.00,3.08,0.63
1738507833.655969,32.5,4.90,0.00,3.08,0.63
1738507833.757513,32.5,4.91,0.00,3.08,0.63
1738507833.859010,32.5,4.90,0.00,3.08,0.64
1738507833.960640,32.5,4.91,0.00,3.08,0.63
1738507834.062250,32.5,4.90,0.00,3.08,0.63
1738507834.163870,33.3,4.90,0.00,3.08,0.63
1738507834.265587,33.3,4.90,0.00,3.08,0.63
1738507834.366318,33.3,4.90,0.00,3.08,0.63
1738507834.467850,33.3,4.90,0.00,3.08,0.63
1738507834.569607,33.3,4.90,0.00,3.08,0.63
1738507834.671648,33.3,4.90,0.00,3.08,0.63
1738507834.773210,33.3,4.90,0.00,3.08,0.63
1738507834.874768,33.3,4.90,0.00,3.08,0.63
1738507834.976640,33.3,4.91,0.00,3.08,0.63
1738507835.078057,33.3,4.90,0.00,3.08,0.63
1738507835.179698,33.3,4.90,0.00,3.08,0.63
1738507835.281075,33.3,4.90,0.00,3.08,0.63
1738507835.382595,33.3,4.91,0.00,3.08,0.63
1738507835.484461,33.3,4.91,0.00,3.08,0.63
1738507835.586322,33.3,4.90,0.00,3.08,0.63
1738507835.687554,33.3,4.90,0.00,3.08,0.63
1738507835.789428,33.3,4.90,0.00,3.08,0.63
1738507835.890626,33.3,4.90,0.00,3.08,0.63
1738507835.992491,33.3,4.90,0.00,3.08,0.63
1738507836.092775,33.3,4.90,0.00,3.08,0.63
1738507836.194848,33.3,4.91,0.00,3.08,0.63
1738507836.295864,33.3,4.90,0.00,3.08,0.63
1738507836.397878,33.3,4.91,0.00,3.08,0.64
1738507836.504964,33.3,4.90,0.00,3.08,0.63
1738507836.606604,33.3,4.90,0.00,3.08,0.63
1738507836.707447,32.5,4.91,0.00,3.08,0.64
1738507836.808160,32.5,4.90,0.00,3.08,0.63
1738507836.909748,32.5,4.91,0.00,3.08,0.64
1738507837.011614,32.5,4.90,0.00,3.08,0.63
1738507837.112746,32.5,4.90,0.00,3.08,0.63
1738507837.213979,32.5,4.91,0.00,3.08,0.63
1738507837.316186,32.5,4.91,0.00,3.08,0.63
1738507837.417492,32.5,4.90,0.00,3.08,0.63
1738507837.519387,32.5,4.91,0.00,3.04,0.63
1738507837.620966,32.5,4.90,0.00,3.08,0.63
1738507837.722263,32.5,4.90,0.00,3.08,0.63
1738507837.823687,32.5,4.90,0.00,3.08,0.63
1738507837.925456,32.5,4.91,0.00,3.08,0.63
1738507838.026624,32.5,4.90,0.00,3.08,0.63
1738507838.128776,32.5,4.90,0.00,3.14,0.63
1738507838.230218,32.5,4.90,0.00,3.08,0.63
1738507838.333041,32.5,4.90,0.00,3.08,0.63
1738507838.433486,32.5,4.90,0.00,3.08,0.64
1738507838.534527,32.5,4.91,0.00,3.08,0.63
1738507838.636456,32.5,4.90,0.00,3.04,0.63
1738507838.738061,32.5,4.91,0.00,3.08,0.63
1738507838.839626,32.5,4.90,0.00,3.08,0.63
1738507838.941569,32.5,4.91,0.00,3.08,0.63
1738507839.043082,32.5,4.90,0.00,3.08,0.63
1738507839.144369,32.5,4.91,0.00,3.08,0.63
1738507839.246280,33.3,4.90,0.00,3.14,0.63
1738507839.350041,33.3,4.90,0.00,3.08,0.63
1738507839.449701,33.3,4.90,0.00,3.14,0.63
1738507839.551026,33.3,4.90,0.00,3.08,0.63
1738507839.652743,33.3,4.90,0.00,3.08,0.63
1738507839.753862,33.3,4.91,0.00,3.08,0.63
1738507839.855460,33.3,4.90,0.00,3.08,0.63
1738507839.957151,33.3,4.90,0.00,3.08,0.63
1738507840.058620,32.5,4.90,0.00,3.08,0.63
1738507840.160497,32.5,4.91,0.00,3.08,0.63
1738507840.261919,32.5,4.90,0.00,3.08,0.63
1738507840.363521,32.5,4.90,0.00,3.08,0.63
1738507840.467251,32.5,4.90,0.00,3.08,0.63
1738507840.566890,32.5,4.91,0.00,3.08,0.63
1738507840.668271,32.5,4.90,0.00,3.08,0.63
1738507840.770080,32.5,4.90,0.00,3.08,0.63
1738507840.871259,33.3,4.90,0.00,3.04,0.63
1738507840.973119,33.3,4.90,0.00,3.08,0.63
1738507841.074431,33.3,4.90,0.00,3.08,0.63
1738507841.176388,33.3,4.90,0.00,3.08,0.63
1738507841.277828,33.3,4.90,0.00,3.08,0.63
1738507841.379445,33.3,4.90,0.00,3.08,0.63
1738507841.480337,33.3,4.90,0.00,3.04,0.63
1738507841.584104,33.3,4.90,0.00,3.08,0.64
1738507841.684029,33.3,4.91,0.00,3.08,0.63
1738507841.785746,33.3,4.90,0.00,3.08,0.63
1738507841.887313,33.3,4.90,0.00,3.08,0.63
1738507841.988789,33.3,4.90,0.00,3.08,0.63
1738507842.090453,33.3,4.91,0.00,3.08,0.63
1738507842.192118,33.3,4.90,0.00,3.08,0.64
1738507842.293374,33.3,4.91,0.00,3.08,0.63
1738507842.395103,33.3,4.91,0.00,3.08,0.63
1738507842.496705,33.3,4.91,0.00,3.08,0.63
1738507842.598629,33.3,4.90,0.00,3.08,0.63
1738507842.699638,33.3,4.90,0.00,3.08,0.63
1738507842.801431,33.3,4.90,0.00,3.08,0.64
1738507842.902513,33.3,4.91,0.00,3.08,0.63
1738507843.004673,33.3,4.90,0.00,3.08,0.63
1738507843.106027,33.3,4.91,0.00,3.08,0.63
1738507843.209383,33.3,4.90,0.00,3.08,0.63
1738507843.309604,33.3,4.91,0.00,3.08,0.63
1738507843.411175,32.5,4.90,0.00,3.08,0.63
1738507843.513629,32.5,4.91,0.00,3.08,0.63
1738507843.614393,32.5,4.90,0.00,3.08,0.63
1738507843.715097,32.5,4.91,0.00,3.08,0.63
