timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508130.219860,31.6,4.92,0.00,2.92,0.59
1738508130.321513,31.6,4.93,0.00,2.92,0.60
1738508130.423433,31.6,4.92,0.00,2.92,0.59
1738508130.525038,31.6,4.92,0.00,2.92,0.59
1738508130.626555,31.6,4.92,0.00,2.92,0.59
1738508130.728053,31.6,4.93,0.00,2.92,0.59
1738508130.829718,31.6,4.93,0.00,2.94,0.60
1738508130.932011,31.6,4.92,0.00,2.92,0.59
1738508131.033012,31.6,4.92,0.00,2.92,0.59
1738508131.134393,31.6,4.92,0.00,2.92,0.59
1738508131.235877,31.6,4.93,0.00,2.92,0.59
1738508131.337629,31.6,4.92,0.00,2.92,0.59
1738508131.439200,31.6,4.93,0.00,2.92,0.59
1738508131.540789,31.6,4.93,0.00,2.92,0.59
1738508131.642379,31.6,4.92,0.00,2.92,0.59
1738508131.744118,31.6,4.92,0.00,2.92,0.59
1738508131.845393,31.6,4.93,0.00,2.92,0.59
1738508131.947146,31.6,4.93,0.00,2.92,0.59
1738508132.048708,31.6,4.92,0.00,2.92,0.59
1738508132.150236,31.6,4.92,0.00,2.92,0.60
1738508132.251686,31.6,4.93,0.00,2.92,0.59
1738508132.353484,31.6,4.92,0.00,2.92,0.59
1738508132.454928,31.6,4.92,0.00,2.92,0.59
1738508132.556603,31.6,4.92,0.00,2.92,0.59
1738508132.658101,31.6,4.93,0.00,2.92,0.60
1738508132.759799,31.6,4.92,0.00,2.92,0.60
1738508132.861323,31.6,4.92,0.00,2.92,0.59
1738508132.962957,31.6,4.93,0.00,2.92,0.59
1738508133.064463,31.6,4.93,0.00,2.92,0.59
1738508133.166072,31.6,4.93,0.00,2.92,0.59
1738508133.267541,31.6,4.92,0.00,2.92,0.59
1738508133.369069,31.6,4.93,0.00,2.92,0.59
1738508133.470781,31.6,4.92,0.00,2.92,0.59
1738508133.572462,31.6,4.93,0.00,2.92,0.59
1738508133.674076,31.6,4.92,0.00,2.92,0.59
1738508133.775643,31.6,4.93,0.00,2.92,0.59
1738508133.877232,31.6,4.92,0.00,2.92,0.59
1738508133.978724,31.6,4.92,0.00,2.92,0.59
1738508134.080364,31.6,4.93,0.00,2.92,0.59
1738508134.181961,31.6,4.93,0.00,2.92,0.59
1738508134.283487,31.6,4.92,0.00,2.92,0.59
1738508134.385166,31.6,4.93,0.00,2.92,0.59
1738508134.486648,31.6,4.93,0.00,2.92,0.59
1738508134.588274,31.6,4.92,0.00,2.92,0.59
1738508134.689857,31.6,4.93,0.00,2.92,0.59
1738508134.791373,31.6,4.92,0.00,2.92,0.59
1738508134.892868,31.6,4.93,0.00,2.92,0.59
1738508134.994703,31.6,4.93,0.00,2.92,0.59
1738508135.096028,31.6,4.92,0.00,2.92,0.59
1738508135.197728,31.6,4.93,0.00,2.92,0.59
1738508135.299350,30.7,4.92,0.00,2.92,0.59
1738508135.400949,30.7,4.93,0.00,2.86,0.59
1738508135.502463,30.7,4.92,0.00,2.92,0.59
1738508135.603932,30.7,4.92,0.00,2.92,0.60
1738508135.705729,30.7,4.93,0.00,2.92,0.59
1738508135.807241,30.7,4.92,0.00,2.92,0.59
1738508135.908668,30.7,4.93,0.00,2.94,0.59
1738508136.010328,30.7,4.92,0.00,2.92,0.60
1738508136.111860,30.7,4.92,0.00,2.92,0.59
1738508136.213330,31.6,4.92,0.00,2.92,0.59
1738508136.315045,31.6,4.92,0.00,2.92,0.59
1738508136.416865,31.6,4.93,0.00,2.92,0.60
1738508136.518095,31.6,4.92,0.00,2.92,0.59
1738508136.619701,31.6,4.93,0.00,2.92,0.59
1738508136.721435,31.6,4.93,0.00,2.92,0.59
1738508136.823001,31.6,4.92,0.00,2.92,0.59
1738508136.924482,31.6,4.93,0.00,2.92,0.60
1738508137.026126,31.6,4.93,0.00,2.92,0.59
1738508137.127653,31.6,4.92,0.00,2.92,0.59
1738508137.229326,31.6,4.92,0.00,2.94,0.59
1738508137.330987,31.6,4.93,0.00,2.92,0.59
1738508137.432308,31.6,4.92,0.00,2.92,0.59
1738508137.534128,31.6,4.92,0.00,2.92,0.59
1738508137.635739,31.6,4.92,0.00,2.92,0.59
1738508137.737198,31.6,4.93,0.00,2.92,0.59
1738508137.838852,31.6,4.92,0.00,2.92,0.59
1738508137.940439,31.6,4.93,0.00,2.92,0.60
1738508138.041965,31.6,4.93,0.00,2.92,0.59
1738508138.143485,31.6,4.92,0.00,2.92,0.59
1738508138.245031,31.6,4.92,0.00,2.92,0.59
1738508138.346485,31.6,4.93,0.00,2.92,0.59
1738508138.448362,31.6,4.92,0.00,2.92,0.59
1738508138.549902,31.6,4.92,0.00,2.92,0.59
1738508138.651429,30.7,4.93,0.00,2.92,0.59
1738508138.753031,30.7,4.93,0.00,2.92,0.59
1738508138.854635,30.7,4.92,0.00,2.92,0.59
1738508138.956202,30.7,4.93,0.00,2.92,0.59
1738508139.057786,30.7,4.93,0.00,2.92,0.60
1738508139.159346,30.7,4.92,0.00,2.92,0.60
1738508139.262588,30.7,4.92,0.00,2.94,0.59
1738508139.362375,30.7,4.93,0.00,2.92,0.60
1738508139.464089,30.7,4.92,0.00,2.92,0.59
1738508139.565727,31.6,4.93,0.00,2.92,0.59
1738508139.667285,31.6,4.92,0.00,2.92,0.59
1738508139.768934,31.6,4.93,0.00,2.92,0.59
1738508139.870151,31.6,4.92,0.00,2.92,0.60
1738508139.972018,31.6,4.93,0.00,2.92,0.59
1738508140.073647,31.6,4.92,0.00,2.92,0.59
1738508140.175230,31.6,4.92,0.00,2.92,0.59
1738508140.276693,31.6,4.92,0.00,2.92,0.59
1738508140.378230,31.6,4.92,0.00,2.92,0.59
