timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508145.734003,31.6,4.93,0.00,2.92,0.59
1738508145.833901,31.6,4.93,0.00,2.92,0.59
1738508145.934365,31.6,4.93,0.00,2.92,0.59
1738508146.034282,31.6,4.93,0.00,2.92,0.59
1738508146.134369,31.6,4.92,0.00,2.92,0.60
1738508146.234389,30.7,4.93,0.00,2.92,0.59
1738508146.334391,30.7,4.92,0.00,2.92,0.59
1738508146.434402,30.7,4.93,0.00,2.86,0.58
1738508146.534302,30.7,4.93,0.00,2.92,0.59
1738508146.634389,30.7,4.93,0.00,2.92,0.59
1738508146.734374,30.7,4.92,0.00,2.92,0.59
1738508146.834303,30.7,4.93,0.00,2.86,0.58
1738508146.933986,30.7,4.93,0.00,2.92,0.59
1738508147.033963,30.7,4.93,0.00,2.92,0.59
1738508147.134151,30.7,4.93,0.00,2.92,0.60
1738508147.234321,30.7,4.93,0.00,2.92,0.59
1738508147.334341,30.7,4.93,0.00,2.92,0.59
1738508147.434334,30.7,4.93,0.00,2.92,0.59
1738508147.534567,30.7,4.93,0.00,2.92,0.59
1738508147.639494,30.7,4.92,0.00,2.92,0.59
1738508147.734274,30.7,4.93,0.00,2.92,0.58
1738508147.834386,30.7,4.93,0.00,2.92,0.59
1738508147.934426,30.7,4.93,0.00,2.92,0.59
1738508148.034335,30.7,4.93,0.00,2.92,0.59
1738508148.134188,30.7,4.93,0.00,2.92,0.59
1738508148.234381,30.7,4.92,0.00,2.92,0.59
1738508148.334221,30.7,4.93,0.00,2.92,0.59
1738508148.434268,30.7,4.93,0.00,2.86,0.58
1738508148.534355,30.7,4.93,0.00,2.92,0.59
1738508148.634177,30.7,4.93,0.00,2.92,0.59
1738508148.734131,30.7,4.93,0.00,2.92,0.59
1738508148.834193,30.7,4.93,0.00,2.92,0.59
1738508148.934298,30.7,4.93,0.00,2.92,0.59
1738508149.034198,30.7,4.93,0.00,2.92,0.59
1738508149.134276,30.7,4.93,0.00,2.92,0.59
1738508149.234411,30.7,4.93,0.00,2.92,0.59
1738508149.334304,30.7,4.93,0.00,2.92,0.60
1738508149.434326,30.7,4.92,0.00,2.92,0.59
1738508149.534332,30.7,4.93,0.00,2.92,0.59
1738508149.634377,29.8,4.93,0.00,2.92,0.59
1738508149.734369,29.8,4.93,0.00,2.92,0.59
1738508149.834327,29.8,4.93,0.00,2.92,0.59
1738508149.934410,29.8,4.93,0.00,2.92,0.59
1738508150.034035,29.8,4.93,0.00,2.92,0.60
1738508150.134311,29.8,4.93,0.00,2.92,0.59
1738508150.234330,29.8,4.93,0.00,2.92,0.59
1738508150.334378,29.8,4.93,0.00,2.92,0.59
1738508150.434161,30.7,4.92,0.00,2.92,0.59
1738508150.534302,30.7,4.93,0.00,2.92,0.59
1738508150.634249,30.7,4.93,0.00,2.92,0.59
1738508150.734339,30.7,4.93,0.00,2.92,0.59
1738508150.834277,30.7,4.93,0.00,2.86,0.59
1738508150.937850,30.7,4.93,0.00,2.92,0.59
1738508151.034441,30.7,4.93,0.00,2.92,0.59
1738508151.134317,30.7,4.93,0.00,2.92,0.59
1738508151.234358,30.7,4.93,0.00,2.92,0.59
1738508151.334265,30.7,4.92,0.00,2.92,0.59
1738508151.434373,30.7,4.93,0.00,2.86,0.58
1738508151.534383,30.7,4.93,0.00,2.92,0.59
1738508151.634450,30.7,4.93,0.00,2.92,0.59
1738508151.734513,30.7,4.93,0.00,2.92,0.59
1738508151.834485,30.7,4.93,0.00,2.92,0.59
1738508151.934474,30.7,4.93,0.00,2.92,0.59
1738508152.034273,30.7,4.93,0.00,2.92,0.59
1738508152.134466,30.7,4.93,0.00,2.92,0.59
1738508152.234468,30.7,4.93,0.00,2.92,0.59
1738508152.334414,30.7,4.93,0.00,2.92,0.59
1738508152.434410,30.7,4.93,0.00,2.86,0.59
1738508152.534384,30.7,4.92,0.00,2.92,0.59
1738508152.634444,30.7,4.93,0.00,2.94,0.59
1738508152.734469,30.7,4.93,0.00,2.92,0.59
1738508152.834519,30.7,4.93,0.00,2.92,0.59
1738508152.934482,29.8,4.93,0.00,2.92,0.59
1738508153.034309,29.8,4.93,0.00,2.92,0.59
1738508153.134286,29.8,4.93,0.00,2.92,0.59
1738508153.234328,29.8,4.93,0.00,2.92,0.59
1738508153.334350,29.8,4.93,0.00,2.92,0.59
1738508153.434437,29.8,4.92,0.00,2.92,0.59
1738508153.534526,29.8,4.93,0.00,2.92,0.59
1738508153.634412,29.8,4.93,0.00,2.92,0.59
1738508153.734515,30.7,4.93,0.00,2.92,0.59
1738508153.834455,30.7,4.93,0.00,2.92,0.59
1738508153.934453,30.7,4.93,0.00,2.92,0.60
1738508154.034236,30.7,4.93,0.00,2.92,0.59
1738508154.134302,30.7,4.93,0.00,2.92,0.59
1738508154.234485,30.7,4.93,0.00,2.92,0.59
1738508154.334451,30.7,4.93,0.00,2.92,0.59
1738508154.434458,30.7,4.93,0.00,2.92,0.60
1738508154.534516,30.7,4.93,0.00,2.92,0.59
