timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508161.250240,30.7,4.93,0.00,2.92,0.59
1738508161.350378,30.7,4.93,0.00,2.92,0.59
1738508161.450571,30.7,4.93,0.00,2.92,0.59
1738508161.550621,30.7,4.93,0.00,2.92,0.59
1738508161.650443,30.7,4.93,0.00,2.92,0.59
1738508161.750555,30.7,4.93,0.00,2.92,0.59
1738508161.850374,30.7,4.92,0.00,2.92,0.59
1738508161.950583,30.7,4.93,0.00,2.92,0.59
1738508162.050418,30.7,4.92,0.00,2.92,0.59
1738508162.150494,30.7,4.93,0.00,2.92,0.59
1738508162.250238,30.7,4.93,0.00,2.92,0.59
1738508162.350548,30.7,4.93,0.00,2.92,0.59
1738508162.450558,30.7,4.93,0.00,2.86,0.59
1738508162.550588,30.7,4.92,0.00,2.92,0.59
1738508162.650700,30.7,4.93,0.00,2.92,0.59
1738508162.750545,30.7,4.93,0.00,2.86,0.59
1738508162.850667,30.7,4.93,0.00,2.92,0.59
1738508162.950570,30.7,4.93,0.00,2.92,0.59
1738508163.050679,29.8,4.93,0.00,2.92,0.59
1738508163.150612,29.8,4.93,0.00,2.92,0.59
1738508163.250685,29.8,4.93,0.00,2.92,0.59
1738508163.350639,29.8,4.93,0.00,2.92,0.59
1738508163.450608,29.8,4.93,0.00,2.92,0.59
1738508163.550601,29.8,4.93,0.00,2.92,0.59
1738508163.650610,29.8,4.93,0.00,2.92,0.59
1738508163.750615,29.8,4.93,0.00,2.92,0.59
1738508163.850653,31.6,4.93,0.00,2.92,0.59
1738508163.950633,31.6,4.93,0.00,2.92,0.59
1738508164.050641,31.6,4.93,0.00,2.92,0.60
1738508164.150581,31.6,4.93,0.00,2.92,0.59
1738508164.250579,31.6,4.92,0.00,2.92,0.59
1738508164.350621,31.6,4.93,0.00,2.92,0.59
1738508164.450646,31.6,4.93,0.00,2.92,0.59
1738508164.550533,31.6,4.92,0.00,2.92,0.59
