timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509535.586315,29.8,4.89,0.00,3.24,0.66
1738509535.689585,29.8,4.89,0.00,3.22,0.66
1738509535.789933,29.8,4.89,0.00,3.22,0.66
1738509535.892105,29.8,4.89,0.00,3.22,0.66
1738509535.993330,29.8,4.89,0.00,3.22,0.66
1738509536.095030,29.8,4.89,0.00,3.22,0.67
1738509536.196168,35.1,4.89,0.00,3.22,0.66
1738509536.298265,35.1,4.89,0.00,3.22,0.66
1738509536.400029,35.1,4.89,0.00,3.22,0.66
1738509536.501215,35.1,4.89,0.00,3.22,0.66
1738509536.602844,35.1,4.89,0.00,3.22,0.66
1738509536.704497,35.1,4.89,0.00,3.22,0.66
1738509536.805674,35.1,4.89,0.00,3.18,0.66
1738509536.905903,35.1,4.89,0.00,3.22,0.66
1738509537.007686,35.1,4.89,0.00,3.22,0.66
1738509537.109258,35.1,4.89,0.00,3.22,0.67
1738509537.210489,35.1,4.89,0.00,3.22,0.66
1738509537.312315,35.1,4.89,0.00,3.22,0.66
1738509537.413777,35.1,4.89,0.00,3.22,0.66
1738509537.515292,35.1,4.89,0.00,3.22,0.66
1738509537.617481,35.1,4.89,0.00,3.22,0.67
1738509537.719071,35.1,4.89,0.00,3.22,0.66
1738509537.820743,35.1,4.89,0.00,3.22,0.66
1738509537.922311,35.1,4.89,0.00,3.22,0.66
1738509538.024089,35.1,4.89,0.00,3.22,0.67
1738509538.125282,35.1,4.89,0.00,3.22,0.66
1738509538.226465,35.1,4.89,0.00,3.22,0.67
1738509538.326850,35.1,4.89,0.00,3.22,0.66
1738509538.428133,35.1,4.89,0.00,3.22,0.66
1738509538.530489,35.1,4.89,0.00,3.22,0.67
1738509538.631511,35.1,4.89,0.00,3.22,0.66
1738509538.732084,36.0,4.89,0.00,3.22,0.66
1738509538.833043,36.0,4.89,0.00,3.22,0.66
1738509538.934785,36.0,4.89,0.00,3.18,0.66
1738509539.036009,36.0,4.89,0.00,3.18,0.67
1738509539.137576,36.0,4.89,0.00,3.22,0.66
1738509539.238681,36.0,4.89,0.00,3.24,0.66
1738509539.338722,36.0,4.89,0.00,3.22,0.66
1738509539.440906,36.0,4.89,0.00,3.22,0.66
1738509539.542661,36.0,4.89,0.00,3.22,0.66
1738509539.644528,36.0,4.89,0.00,3.22,0.66
1738509539.745334,36.0,4.89,0.00,3.22,0.66
1738509539.846838,36.0,4.89,0.00,3.22,0.66
1738509539.947979,36.0,4.89,0.00,3.22,0.66
1738509540.050720,36.0,4.89,0.00,3.22,0.66
1738509540.150010,36.0,4.89,0.00,3.22,0.66
1738509540.249670,36.0,4.89,0.00,3.22,0.66
1738509540.351487,36.0,4.89,0.00,3.22,0.66
1738509540.453421,36.0,4.89,0.00,3.22,0.66
1738509540.554227,36.0,4.89,0.00,3.18,0.66
1738509540.654721,36.0,4.89,0.00,3.22,0.66
1738509540.756140,36.0,4.89,0.00,3.22,0.66
