timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509666.109349,31.6,4.89,0.00,3.22,0.66
1738509666.209952,34.2,4.89,0.00,3.22,0.66
1738509666.311996,34.2,4.89,0.00,3.22,0.66
1738509666.413464,34.2,4.89,0.00,3.22,0.66
1738509666.514481,34.2,4.89,0.00,3.22,0.66
1738509666.616385,34.2,4.89,0.00,3.18,0.65
1738509666.717956,34.2,4.89,0.00,3.22,0.66
1738509666.819920,34.2,4.89,0.00,3.22,0.66
1738509666.920813,34.2,4.89,0.00,3.22,0.66
1738509667.022316,36.0,4.89,0.00,3.22,0.66
1738509667.124315,36.0,4.89,0.00,3.22,0.66
1738509667.226040,36.0,4.89,0.00,3.22,0.66
1738509667.327477,36.0,4.89,0.00,3.22,0.66
1738509667.429160,36.0,4.89,0.00,3.22,0.66
1738509667.530485,36.0,4.89,0.00,3.24,0.66
1738509667.632516,36.0,4.89,0.00,3.22,0.66
1738509667.733904,36.0,4.89,0.00,3.24,0.66
1738509667.835495,36.0,4.89,0.00,3.24,0.66
1738509667.936802,36.0,4.89,0.00,3.22,0.66
1738509668.038577,36.0,4.89,0.00,3.22,0.66
1738509668.139619,36.0,4.89,0.00,3.24,0.66
1738509668.241518,36.0,4.89,0.00,3.22,0.66
1738509668.341308,36.0,4.89,0.00,3.22,0.66
1738509668.442740,36.0,4.89,0.00,3.24,0.67
1738509668.544197,36.0,4.89,0.00,3.28,0.66
1738509668.645829,36.0,4.89,0.00,3.18,0.66
1738509668.747566,36.0,4.89,0.00,3.18,0.66
1738509668.849691,36.0,4.89,0.00,3.22,0.66
1738509668.951184,36.0,4.89,0.00,3.22,0.66
1738509669.053728,36.0,4.89,0.00,3.22,0.66
1738509669.154693,36.0,4.89,0.00,3.22,0.65
1738509669.255889,36.0,4.89,0.00,3.22,0.67
1738509669.357686,36.0,4.89,0.00,3.22,0.66
1738509669.458988,36.0,4.89,0.00,3.22,0.66
1738509669.560876,36.0,4.89,0.00,3.22,0.66
1738509669.662136,36.0,4.89,0.00,3.22,0.66
1738509669.763335,36.0,4.89,0.00,3.22,0.66
1738509669.865542,36.0,4.89,0.00,3.22,0.66
1738509669.966805,36.0,4.89,0.00,3.22,0.66
1738509670.068106,36.0,4.89,0.00,3.22,0.66
1738509670.169688,36.0,4.89,0.00,3.22,0.66
1738509670.271199,36.0,4.89,0.00,3.22,0.66
1738509670.373801,36.0,4.89,0.00,3.22,0.66
1738509670.474380,36.0,4.89,0.00,3.22,0.66
1738509670.575972,36.0,4.89,0.00,3.22,0.66
1738509670.677933,36.0,4.89,0.00,3.22,0.66
1738509670.779373,36.0,4.89,0.00,3.22,0.66
1738509670.881136,36.0,4.89,0.00,3.18,0.66
