timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510054.065961,32.5,4.87,0.00,3.38,0.69
1738510054.168984,32.5,4.87,0.00,3.38,0.69
1738510054.270319,32.5,4.87,0.00,3.38,0.69
1738510054.371726,32.5,4.87,0.00,3.38,0.69
1738510054.473535,32.5,4.87,0.00,3.38,0.69
1738510054.575067,36.8,4.87,0.00,3.38,0.69
1738510054.678903,36.8,4.87,0.00,3.38,0.69
1738510054.778305,36.8,4.87,0.00,3.38,0.69
1738510054.879921,36.8,4.87,0.00,3.38,0.69
1738510054.980805,36.8,4.87,0.00,3.38,0.69
1738510055.082431,36.8,4.87,0.00,3.38,0.69
1738510055.183845,36.8,4.87,0.00,3.38,0.69
1738510055.286366,36.8,4.87,0.00,3.38,0.69
1738510055.387542,36.8,4.87,0.00,3.38,0.69
1738510055.488574,37.7,4.87,0.00,3.38,0.69
1738510055.590875,37.7,4.87,0.00,3.38,0.69
1738510055.692503,37.7,4.87,0.00,3.38,0.69
1738510055.794029,37.7,4.87,0.00,3.30,0.69
1738510055.895091,37.7,4.87,0.00,3.38,0.69
1738510055.997279,37.7,4.87,0.00,3.38,0.69
1738510056.097731,37.7,4.87,0.00,3.38,0.69
1738510056.199004,37.7,4.87,0.00,3.38,0.69
1738510056.300416,37.7,4.87,0.00,3.38,0.69
1738510056.401205,37.7,4.87,0.00,3.38,0.69
1738510056.501894,37.7,4.87,0.00,3.38,0.69
1738510056.602941,37.7,4.87,0.00,3.38,0.69
1738510056.703182,37.7,4.87,0.00,3.38,0.69
1738510056.804249,37.7,4.87,0.00,3.30,0.69
1738510056.906163,37.7,4.87,0.00,3.38,0.69
1738510057.008060,37.7,4.87,0.00,3.38,0.69
1738510057.109301,37.7,4.87,0.00,3.38,0.69
1738510057.209288,37.7,4.87,0.00,3.30,0.69
1738510057.311259,37.7,4.87,0.00,3.38,0.69
1738510057.412775,37.7,4.87,0.00,3.38,0.68
1738510057.514130,37.7,4.87,0.00,3.38,0.70
1738510057.615637,37.7,4.87,0.00,3.38,0.69
1738510057.716841,37.7,4.87,0.00,3.38,0.68
1738510057.818938,37.7,4.87,0.00,3.38,0.69
1738510057.920404,38.6,4.87,0.00,3.30,0.69
1738510058.021911,38.6,4.87,0.00,3.38,0.69
1738510058.123525,38.6,4.87,0.00,3.38,0.69
1738510058.224894,38.6,4.87,0.00,3.38,0.70
1738510058.326745,38.6,4.87,0.00,3.38,0.69
1738510058.428277,38.6,4.87,0.00,3.38,0.69
1738510058.529825,38.6,4.87,0.00,3.38,0.69
1738510058.631397,38.6,4.87,0.00,3.38,0.69
1738510058.732958,38.6,4.87,0.00,3.38,0.69
1738510058.834622,38.6,4.87,0.00,3.38,0.69
1738510058.936306,38.6,4.87,0.00,3.38,0.69
1738510059.037993,38.6,4.87,0.00,3.38,0.69
1738510059.139437,38.6,4.87,0.00,3.38,0.68
1738510059.240395,38.6,4.87,0.00,3.38,0.69
1738510059.341558,38.6,4.87,0.00,3.30,0.69
1738510059.442879,38.6,4.87,0.00,3.38,0.69
1738510059.544109,38.6,4.87,0.00,3.38,0.69
1738510059.645318,37.7,4.87,0.00,3.38,0.69
1738510059.747151,37.7,4.87,0.00,3.38,0.69
1738510059.848841,37.7,4.87,0.00,3.38,0.69
1738510059.950431,37.7,4.87,0.00,3.38,0.69
1738510060.052115,37.7,4.87,0.00,3.38,0.69
1738510060.153458,37.7,4.87,0.00,3.38,0.69
1738510060.255265,37.7,4.87,0.00,3.38,0.69
1738510060.357115,37.7,4.87,0.00,3.38,0.69
1738510060.458307,38.6,4.87,0.00,3.30,0.69
