timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510186.133124,36.8,4.87,0.00,3.38,0.69
1738510186.234485,36.8,4.87,0.00,3.38,0.69
1738510186.335021,36.8,4.87,0.00,3.38,0.69
1738510186.437440,36.8,4.87,0.00,3.38,0.69
1738510186.539023,36.8,4.87,0.00,3.38,0.69
1738510186.640652,36.8,4.87,0.00,3.38,0.70
1738510186.741997,36.8,4.87,0.00,3.38,0.70
1738510186.843377,36.8,4.87,0.00,3.38,0.69
1738510186.944417,36.8,4.87,0.00,3.38,0.69
1738510187.046750,36.8,4.87,0.00,3.38,0.69
1738510187.147886,37.7,4.88,0.00,3.38,0.69
1738510187.249745,37.7,4.87,0.00,3.38,0.69
1738510187.351244,37.7,4.88,0.00,3.38,0.69
1738510187.453461,37.7,4.87,0.00,3.30,0.69
1738510187.554941,37.7,4.87,0.00,3.30,0.69
1738510187.656558,37.7,4.87,0.00,3.38,0.69
1738510187.758168,37.7,4.87,0.00,3.38,0.69
1738510187.859333,37.7,4.87,0.00,3.38,0.69
1738510187.960640,37.7,4.87,0.00,3.38,0.69
1738510188.061364,37.7,4.87,0.00,3.30,0.69
1738510188.162785,37.7,4.87,0.00,3.38,0.69
1738510188.263955,37.7,4.87,0.00,3.30,0.69
1738510188.365829,37.7,4.87,0.00,3.38,0.69
1738510188.466729,37.7,4.87,0.00,3.38,0.69
1738510188.567454,37.7,4.87,0.00,3.38,0.70
1738510188.669074,37.7,4.87,0.00,3.30,0.69
1738510188.770628,37.7,4.87,0.00,3.38,0.69
1738510188.871998,38.6,4.87,0.00,3.38,0.69
1738510188.973776,38.6,4.87,0.00,3.38,0.69
1738510189.075186,38.6,4.87,0.00,3.38,0.69
1738510189.176904,38.6,4.87,0.00,3.38,0.69
1738510189.278518,38.6,4.87,0.00,3.38,0.69
1738510189.377942,38.6,4.88,0.00,3.38,0.69
1738510189.478559,38.6,4.87,0.00,3.38,0.69
1738510189.580000,38.6,4.87,0.00,3.38,0.69
1738510189.681403,39.5,4.87,0.00,3.38,0.70
1738510189.782351,39.5,4.87,0.00,3.38,0.69
1738510189.884234,39.5,4.87,0.00,3.38,0.69
1738510189.986305,39.5,4.87,0.00,3.38,0.69
1738510190.087452,39.5,4.87,0.00,3.38,0.69
1738510190.189482,39.5,4.87,0.00,3.38,0.69
1738510190.291059,39.5,4.87,0.00,3.38,0.69
1738510190.391820,39.5,4.87,0.00,3.38,0.69
1738510190.494236,38.6,4.87,0.00,3.38,0.69
1738510190.595002,38.6,4.87,0.00,3.38,0.69
1738510190.695840,38.6,4.87,0.00,3.38,0.69
1738510190.797035,38.6,4.87,0.00,3.38,0.69
1738510190.898824,38.6,4.87,0.00,3.38,0.69
1738510191.000188,38.6,4.88,0.00,3.38,0.69
1738510191.100640,38.6,4.87,0.00,3.38,0.69
1738510191.202670,38.6,4.87,0.00,3.38,0.69
1738510191.303247,38.6,4.87,0.00,3.40,0.69
1738510191.404804,38.6,4.87,0.00,3.38,0.69
1738510191.506200,38.6,4.87,0.00,3.38,0.69
1738510191.607954,38.6,4.87,0.00,3.38,0.69
1738510191.709589,38.6,4.87,0.00,3.38,0.69
1738510191.811063,38.6,4.87,0.00,3.38,0.69
1738510191.911588,38.6,4.87,0.00,3.38,0.69
1738510192.013706,38.6,4.87,0.00,3.38,0.69
1738510192.114984,38.6,4.87,0.00,3.38,0.69
1738510192.216743,38.6,4.88,0.00,3.38,0.69
1738510192.319019,38.6,4.87,0.00,3.38,0.69
1738510192.420344,38.6,4.87,0.00,3.38,0.69
1738510192.522129,38.6,4.87,0.00,3.38,0.69
1738510192.623657,38.6,4.87,0.00,3.38,0.69
1738510192.725128,38.6,4.87,0.00,3.38,0.69
1738510192.826823,38.6,4.87,0.00,3.38,0.69
1738510192.928461,38.6,4.87,0.00,3.38,0.69
1738510193.029471,38.6,4.87,0.00,3.38,0.69
1738510193.131641,38.6,4.87,0.00,3.38,0.69
1738510193.233107,38.6,4.87,0.00,3.38,0.69
1738510193.333025,38.6,4.87,0.00,3.38,0.69
1738510193.433878,38.6,4.87,0.00,3.40,0.69
1738510193.536410,38.6,4.88,0.00,3.38,0.69
1738510193.637957,38.6,4.87,0.00,3.38,0.69
1738510193.739469,38.6,4.87,0.00,3.38,0.69
1738510193.839500,38.6,4.87,0.00,3.38,0.69
1738510193.940609,38.6,4.87,0.00,3.38,0.69
1738510194.042780,38.6,4.87,0.00,3.38,0.70
1738510194.143720,38.6,4.87,0.00,3.38,0.69
1738510194.245570,38.6,4.87,0.00,3.38,0.69
1738510194.347165,38.6,4.87,0.00,3.38,0.69
1738510194.448710,38.6,4.87,0.00,3.38,0.69
1738510194.550478,38.6,4.87,0.00,3.38,0.69
1738510194.652000,38.6,4.87,0.00,3.40,0.69
1738510194.753373,39.5,4.87,0.00,3.30,0.69
1738510194.854035,39.5,4.87,0.00,3.38,0.69
1738510194.955591,39.5,4.87,0.00,3.38,0.69
1738510195.057210,39.5,4.87,0.00,3.38,0.70
1738510195.158184,39.5,4.88,0.00,3.38,0.69
1738510195.259814,39.5,4.87,0.00,3.38,0.69
1738510195.361376,39.5,4.88,0.00,3.38,0.69
1738510195.462715,39.5,4.87,0.00,3.38,0.69
1738510195.564454,38.6,4.87,0.00,3.30,0.69
1738510195.665903,38.6,4.87,0.00,3.38,0.69
1738510195.767671,38.6,4.87,0.00,3.30,0.69
1738510195.871264,38.6,4.87,0.00,3.38,0.69
1738510195.970864,38.6,4.87,0.00,3.30,0.69
1738510196.071969,38.6,4.87,0.00,3.38,0.69
1738510196.174061,38.6,4.88,0.00,3.38,0.69
1738510196.289984,38.6,4.87,0.00,3.38,0.69
1738510196.377063,38.6,4.87,0.00,3.38,0.69
1738510196.478837,38.6,4.87,0.00,3.38,0.69
1738510196.580320,38.6,4.88,0.00,3.38,0.69
1738510196.681953,38.6,4.87,0.00,3.38,0.70
1738510196.785493,38.6,4.87,0.00,3.38,0.70
1738510196.883558,38.6,4.88,0.00,3.38,0.69
1738510196.984734,38.6,4.87,0.00,3.38,0.69
1738510197.086507,38.6,4.87,0.00,3.38,0.69
1738510197.188260,39.5,4.87,0.00,3.38,0.69
1738510197.289407,39.5,4.87,0.00,3.38,0.69
1738510197.391358,39.5,4.87,0.00,3.38,0.69
1738510197.492812,39.5,4.87,0.00,3.38,0.69
1738510197.594197,39.5,4.87,0.00,3.38,0.70
1738510197.696215,39.5,4.87,0.00,3.38,0.69
1738510197.797642,39.5,4.87,0.00,3.38,0.70
1738510197.899085,39.5,4.88,0.00,3.38,0.69
1738510198.000566,39.5,4.87,0.00,3.38,0.69
1738510198.102290,39.5,4.87,0.00,3.38,0.70
1738510198.203977,39.5,4.87,0.00,3.38,0.69
1738510198.305445,39.5,4.88,0.00,3.38,0.70
1738510198.407197,39.5,4.87,0.00,3.38,0.69
1738510198.508642,39.5,4.87,0.00,3.38,0.69
1738510198.610232,39.5,4.87,0.00,3.38,0.69
1738510198.711922,39.5,4.88,0.00,3.38,0.69
1738510198.813327,39.5,4.87,0.00,3.38,0.69
1738510198.915155,39.5,4.87,0.00,3.38,0.69
1738510199.016643,39.5,4.88,0.00,3.38,0.69
1738510199.118244,39.5,4.87,0.00,3.38,0.69
1738510199.219011,39.5,4.87,0.00,3.30,0.68
1738510199.321264,39.5,4.87,0.00,3.38,0.69
1738510199.422983,39.5,4.87,0.00,3.38,0.69
1738510199.523729,39.5,4.87,0.00,3.38,0.69
1738510199.626063,39.5,4.87,0.00,3.38,0.69
1738510199.727454,39.5,4.88,0.00,3.38,0.69
1738510199.829002,39.5,4.87,0.00,3.38,0.69
1738510199.930778,39.5,4.87,0.00,3.30,0.69
1738510200.031954,39.5,4.87,0.00,3.38,0.69
1738510200.131743,39.5,4.87,0.00,3.30,0.69
1738510200.233853,39.5,4.87,0.00,3.38,0.69
1738510200.334884,39.5,4.87,0.00,3.30,0.69
1738510200.436690,39.5,4.87,0.00,3.38,0.69
1738510200.538427,38.6,4.88,0.00,3.38,0.69
1738510200.639701,38.6,4.87,0.00,3.38,0.69
1738510200.741230,38.6,4.87,0.00,3.30,0.70
1738510200.841203,38.6,4.87,0.00,3.38,0.69
1738510200.942755,38.6,4.87,0.00,3.38,0.69
