timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509308.347276,33.3,4.94,0.00,2.82,0.57
1738509308.449286,33.3,4.94,0.00,2.76,0.57
1738509308.550803,33.3,4.94,0.00,2.76,0.56
1738509308.652335,33.3,4.94,0.00,2.76,0.57
1738509308.754042,33.3,4.94,0.00,2.82,0.56
1738509308.855615,32.5,4.94,0.00,2.82,0.57
1738509308.957256,32.5,4.94,0.00,2.82,0.57
1738509309.058753,32.5,4.94,0.00,2.82,0.57
1738509309.160345,32.5,4.94,0.00,2.76,0.56
1738509309.261915,32.5,4.94,0.00,2.76,0.57
1738509309.363540,32.5,4.94,0.00,2.76,0.56
1738509309.465119,32.5,4.94,0.00,2.82,0.57
1738509309.566731,32.5,4.94,0.00,2.76,0.56
1738509309.668302,30.7,4.94,0.00,2.76,0.57
1738509309.769865,30.7,4.94,0.00,2.76,0.56
1738509309.871407,30.7,4.94,0.00,2.76,0.57
1738509309.977629,30.7,4.94,0.00,2.76,0.56
1738509310.077855,30.7,4.94,0.00,2.82,0.57
1738509310.179441,30.7,4.94,0.00,2.76,0.56
1738509310.281038,30.7,4.94,0.00,2.76,0.56
1738509310.382609,30.7,4.94,0.00,2.82,0.56
1738509310.484099,30.7,4.94,0.00,2.82,0.57
1738509310.585765,30.7,4.94,0.00,2.76,0.56
1738509310.687089,30.7,4.94,0.00,2.82,0.57
1738509310.788871,30.7,4.94,0.00,2.76,0.57
1738509310.890493,30.7,4.94,0.00,2.82,0.57
1738509310.991822,30.7,4.94,0.00,2.82,0.56
1738509311.093596,30.7,4.94,0.00,2.76,0.56
1738509311.195260,30.7,4.94,0.00,2.82,0.56
1738509311.296807,30.7,4.94,0.00,2.82,0.57
1738509311.398258,30.7,4.94,0.00,2.76,0.56
1738509311.499950,30.7,4.94,0.00,2.82,0.57
1738509311.601627,30.7,4.94,0.00,2.76,0.57
1738509311.703125,30.7,4.94,0.00,2.76,0.57
1738509311.804704,30.7,4.94,0.00,2.76,0.57
1738509311.906316,30.7,4.94,0.00,2.76,0.56
1738509312.007929,30.7,4.94,0.00,2.76,0.56
