timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509325.163665,30.7,4.94,0.00,2.76,0.57
1738509325.265247,30.7,4.94,0.00,2.76,0.56
1738509325.367196,30.7,4.94,0.00,2.82,0.56
1738509325.468915,30.7,4.94,0.00,2.82,0.57
1738509325.570430,30.7,4.94,0.00,2.82,0.56
1738509325.671958,31.6,4.94,0.00,2.76,0.57
1738509325.773520,31.6,4.94,0.00,2.76,0.56
1738509325.875238,31.6,4.94,0.00,2.76,0.56
1738509325.976704,31.6,4.94,0.00,2.76,0.56
1738509326.078414,31.6,4.94,0.00,2.82,0.56
1738509326.179931,31.6,4.94,0.00,2.82,0.56
1738509326.281408,31.6,4.94,0.00,2.76,0.57
1738509326.383081,31.6,4.94,0.00,2.76,0.57
1738509326.484624,31.6,4.94,0.00,2.82,0.56
1738509326.586171,31.6,4.94,0.00,2.82,0.57
1738509326.687837,31.6,4.94,0.00,2.76,0.56
1738509326.789370,31.6,4.94,0.00,2.82,0.57
1738509326.891063,31.6,4.94,0.00,2.76,0.56
1738509326.992345,31.6,4.94,0.00,2.76,0.57
1738509327.093913,31.6,4.94,0.00,2.76,0.56
1738509327.195642,31.6,4.94,0.00,2.76,0.57
1738509327.296945,31.6,4.94,0.00,2.76,0.56
1738509327.398764,31.6,4.94,0.00,2.82,0.57
1738509327.500270,31.6,4.94,0.00,2.76,0.57
1738509327.602019,31.6,4.94,0.00,2.76,0.57
1738509327.703392,31.6,4.94,0.00,2.76,0.57
1738509327.805124,31.6,4.94,0.00,2.76,0.56
1738509327.906753,31.6,4.94,0.00,2.76,0.57
1738509328.008328,31.6,4.94,0.00,2.76,0.56
1738509328.109797,31.6,4.94,0.00,2.82,0.56
1738509328.211509,31.6,4.94,0.00,2.82,0.57
1738509328.313047,31.6,4.94,0.00,2.76,0.56
1738509328.414686,31.6,4.94,0.00,2.82,0.57
1738509328.516348,31.6,4.94,0.00,2.76,0.56
1738509328.617846,31.6,4.94,0.00,2.76,0.57
1738509328.719375,31.6,4.94,0.00,2.82,0.57
1738509328.821125,31.6,4.94,0.00,2.82,0.56
1738509328.922588,31.6,4.94,0.00,2.76,0.57
1738509329.024191,30.7,4.94,0.00,2.76,0.57
1738509329.125714,30.7,4.94,0.00,2.76,0.56
1738509329.227330,30.7,4.94,0.00,2.82,0.56
1738509329.328976,30.7,4.94,0.00,2.76,0.56
1738509329.430509,30.7,4.94,0.00,2.82,0.57
1738509329.532010,30.7,4.94,0.00,2.82,0.57
1738509329.633539,30.7,4.94,0.00,2.82,0.57
1738509329.735231,30.7,4.94,0.00,2.82,0.57
1738509329.836802,30.7,4.94,0.00,2.82,0.57
1738509329.938463,30.7,4.94,0.00,2.76,0.56
1738509330.039979,30.7,4.94,0.00,2.82,0.57
1738509330.141381,30.7,4.94,0.00,2.82,0.57
1738509330.243123,30.7,4.94,0.00,2.82,0.56
1738509330.344686,30.7,4.94,0.00,2.76,0.57
1738509330.446229,30.7,4.94,0.00,2.82,0.56
1738509330.547976,30.7,4.94,0.00,2.76,0.57
1738509330.649450,31.6,4.94,0.00,2.82,0.56
1738509330.751011,31.6,4.94,0.00,2.76,0.56
1738509330.852524,31.6,4.94,0.00,2.76,0.57
1738509330.954214,31.6,4.94,0.00,2.82,0.57
1738509331.055715,31.6,4.94,0.00,2.82,0.57
1738509331.157365,31.6,4.94,0.00,2.82,0.57
1738509331.258957,31.6,4.94,0.00,2.82,0.56
1738509331.360523,31.6,4.94,0.00,2.76,0.57
1738509331.462120,31.6,4.94,0.00,2.82,0.56
1738509331.563712,30.7,4.94,0.00,2.82,0.57
1738509331.665304,30.7,4.94,0.00,2.82,0.56
1738509331.766976,30.7,4.94,0.00,2.82,0.57
1738509331.868386,30.7,4.94,0.00,2.76,0.56
1738509331.969964,30.7,4.94,0.00,2.82,0.56
1738509332.071627,30.7,4.94,0.00,2.76,0.56
1738509332.173111,30.7,4.94,0.00,2.82,0.57
1738509332.274781,30.7,4.94,0.00,2.82,0.57
1738509332.376344,31.6,4.94,0.00,2.76,0.56
