timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508388.689194,32.5,4.93,0.00,2.86,0.59
1738508388.790770,32.5,4.93,0.00,2.86,0.59
1738508388.892348,32.5,4.93,0.00,2.92,0.59
1738508388.993938,32.5,4.93,0.00,2.92,0.59
1738508389.095517,32.5,4.93,0.00,2.86,0.59
1738508389.197099,32.5,4.93,0.00,2.92,0.59
1738508389.298680,32.5,4.93,0.00,2.86,0.59
1738508389.400163,32.5,4.93,0.00,2.86,0.59
1738508389.501820,32.5,4.93,0.00,2.92,0.59
1738508389.603424,32.5,4.93,0.00,2.92,0.59
1738508389.704999,32.5,4.93,0.00,2.92,0.59
1738508389.806579,32.5,4.93,0.00,2.92,0.58
1738508389.908145,32.5,4.93,0.00,2.92,0.59
1738508390.009769,32.5,4.93,0.00,2.86,0.59
1738508390.111548,32.5,4.93,0.00,2.92,0.59
1738508390.212862,32.5,4.93,0.00,2.86,0.58
1738508390.314436,31.6,4.93,0.00,2.92,0.59
1738508390.416002,31.6,4.93,0.00,2.92,0.59
1738508390.517534,31.6,4.93,0.00,2.92,0.59
1738508390.619254,31.6,4.93,0.00,2.86,0.59
1738508390.720713,31.6,4.93,0.00,2.92,0.59
1738508390.822316,31.6,4.93,0.00,2.92,0.59
1738508390.923874,31.6,4.93,0.00,2.92,0.58
1738508391.025605,31.6,4.93,0.00,2.92,0.59
1738508391.127138,31.6,4.93,0.00,2.92,0.59
1738508391.228680,31.6,4.93,0.00,2.92,0.59
1738508391.330078,31.6,4.93,0.00,2.92,0.59
1738508391.431816,31.6,4.93,0.00,2.92,0.59
1738508391.533425,31.6,4.93,0.00,2.92,0.59
1738508391.635054,31.6,4.93,0.00,2.86,0.59
1738508391.736532,31.6,4.93,0.00,2.92,0.59
1738508391.838136,31.6,4.93,0.00,2.92,0.59
1738508391.939704,31.6,4.93,0.00,2.92,0.59
1738508392.041329,31.6,4.93,0.00,2.86,0.59
1738508392.142916,31.6,4.93,0.00,2.92,0.59
1738508392.244430,31.6,4.93,0.00,2.92,0.59
1738508392.346067,31.6,4.93,0.00,2.92,0.59
1738508392.447670,31.6,4.93,0.00,2.92,0.59
1738508392.549311,31.6,4.93,0.00,2.92,0.59
1738508392.650819,31.6,4.93,0.00,2.92,0.59
1738508392.752359,31.6,4.93,0.00,2.92,0.59
1738508392.853955,31.6,4.93,0.00,2.92,0.59
1738508392.955516,31.6,4.93,0.00,2.86,0.59
1738508393.057143,31.6,4.93,0.00,2.92,0.59
1738508393.158704,31.6,4.93,0.00,2.92,0.59
1738508393.260274,31.6,4.93,0.00,2.92,0.59
1738508393.361834,31.6,4.93,0.00,2.92,0.59
1738508393.463468,31.6,4.93,0.00,2.92,0.59
1738508393.564823,31.6,4.93,0.00,2.92,0.59
1738508393.666618,31.6,4.93,0.00,2.92,0.58
1738508393.768260,31.6,4.93,0.00,2.92,0.59
1738508393.869767,31.6,4.93,0.00,2.92,0.59
1738508393.971339,31.6,4.93,0.00,2.92,0.59
1738508394.072932,31.6,4.93,0.00,2.92,0.59
1738508394.174522,31.6,4.93,0.00,2.86,0.59
1738508394.276077,31.6,4.93,0.00,2.92,0.59
1738508394.377697,31.6,4.93,0.00,2.86,0.59
1738508394.479235,31.6,4.93,0.00,2.86,0.58
1738508394.580881,30.7,4.93,0.00,2.92,0.59
1738508394.682182,30.7,4.93,0.00,2.92,0.59
1738508394.784031,30.7,4.93,0.00,2.92,0.59
1738508394.885540,30.7,4.93,0.00,2.86,0.59
1738508394.987111,30.7,4.93,0.00,2.86,0.59
1738508395.088794,30.7,4.93,0.00,2.92,0.59
1738508395.190305,30.7,4.93,0.00,2.86,0.59
1738508395.291825,30.7,4.93,0.00,2.92,0.59
1738508395.393484,31.6,4.93,0.00,2.92,0.59
1738508395.495123,31.6,4.93,0.00,2.92,0.59
1738508395.596658,31.6,4.93,0.00,2.92,0.58
1738508395.698322,31.6,4.93,0.00,2.92,0.59
1738508395.799856,31.6,4.93,0.00,2.92,0.59
1738508395.901456,31.6,4.93,0.00,2.92,0.59
1738508396.002980,31.6,4.93,0.00,2.92,0.59
1738508396.104607,31.6,4.93,0.00,2.92,0.59
1738508396.206081,31.6,4.93,0.00,2.86,0.59
1738508396.307760,31.6,4.93,0.00,2.92,0.59
1738508396.412376,31.6,4.93,0.00,2.92,0.59
1738508396.510531,31.6,4.93,0.00,2.92,0.59
1738508396.612429,31.6,4.93,0.00,2.92,0.58
1738508396.713954,31.6,4.93,0.00,2.92,0.59
1738508396.815624,31.6,4.93,0.00,2.86,0.59
1738508396.917285,31.6,4.93,0.00,2.92,0.59
1738508397.018742,31.6,4.93,0.00,2.92,0.59
1738508397.120294,31.6,4.93,0.00,2.92,0.59
1738508397.221994,31.6,4.93,0.00,2.92,0.59
1738508397.323487,31.6,4.93,0.00,2.92,0.59
1738508397.425127,31.6,4.93,0.00,2.92,0.59
1738508397.526732,31.6,4.93,0.00,2.92,0.59
1738508397.628305,31.6,4.93,0.00,2.92,0.59
1738508397.729790,31.6,4.93,0.00,2.92,0.59
1738508397.831488,31.6,4.93,0.00,2.86,0.59
1738508397.933015,31.6,4.93,0.00,2.92,0.59
1738508398.034631,31.6,4.93,0.00,2.92,0.59
1738508398.136139,31.6,4.93,0.00,2.86,0.58
1738508398.237791,31.6,4.93,0.00,2.92,0.59
1738508398.339082,31.6,4.93,0.00,2.92,0.59
1738508398.440857,31.6,4.93,0.00,2.86,0.60
1738508398.542181,31.6,4.93,0.00,2.86,0.59
1738508398.643802,31.6,4.93,0.00,2.92,0.59
1738508398.745613,31.6,4.93,0.00,2.86,0.58
1738508398.847187,31.6,4.93,0.00,2.92,0.59
1738508398.948785,31.6,4.93,0.00,2.92,0.59
1738508399.050436,31.6,4.93,0.00,2.92,0.59
1738508399.151940,31.6,4.93,0.00,2.92,0.59
1738508399.253357,31.6,4.93,0.00,2.86,0.59
1738508399.355151,31.6,4.93,0.00,2.92,0.59
1738508399.456768,31.6,4.93,0.00,2.92,0.59
1738508399.558320,31.6,4.93,0.00,2.92,0.59
1738508399.659726,31.6,4.93,0.00,2.86,0.59
1738508399.761457,31.6,4.93,0.00,2.92,0.59
1738508399.863015,31.6,4.93,0.00,2.92,0.59
1738508399.964520,31.6,4.93,0.00,2.86,0.58
1738508400.066173,31.6,4.93,0.00,2.92,0.59
1738508400.167806,31.6,4.93,0.00,2.86,0.58
1738508400.269198,31.6,4.93,0.00,2.92,0.59
1738508400.370920,31.6,4.93,0.00,2.86,0.59
1738508400.472508,31.6,4.93,0.00,2.92,0.59
1738508400.574206,31.6,4.93,0.00,2.92,0.59
1738508400.675705,31.6,4.93,0.00,2.92,0.58
1738508400.777331,31.6,4.93,0.00,2.86,0.59
1738508400.878879,31.6,4.93,0.00,2.92,0.59
1738508400.980453,31.6,4.93,0.00,2.92,0.58
1738508401.082078,31.6,4.93,0.00,2.92,0.59
1738508401.183523,31.6,4.93,0.00,2.92,0.59
1738508401.285143,30.7,4.93,0.00,2.86,0.59
1738508401.386768,30.7,4.93,0.00,2.92,0.59
1738508401.488263,30.7,4.93,0.00,2.92,0.59
1738508401.589885,30.7,4.93,0.00,2.92,0.59
1738508401.691506,30.7,4.93,0.00,2.86,0.59
1738508401.793099,30.7,4.93,0.00,2.92,0.59
1738508401.894623,30.7,4.93,0.00,2.92,0.59
1738508401.996294,30.7,4.93,0.00,2.86,0.59
1738508402.097856,31.6,4.93,0.00,2.92,0.59
1738508402.199443,31.6,4.93,0.00,2.92,0.59
1738508402.300926,31.6,4.93,0.00,2.92,0.59
1738508402.402574,31.6,4.93,0.00,2.92,0.59
1738508402.504202,31.6,4.93,0.00,2.92,0.59
1738508402.605657,31.6,4.93,0.00,2.92,0.59
1738508402.707300,31.6,4.93,0.00,2.92,0.59
1738508402.808896,31.6,4.93,0.00,2.92,0.59
1738508402.910222,30.7,4.93,0.00,2.86,0.58
1738508403.012115,30.7,4.93,0.00,2.92,0.59
1738508403.113703,30.7,4.93,0.00,2.92,0.59
1738508403.215235,30.7,4.93,0.00,2.92,0.59
1738508403.316747,30.7,4.93,0.00,2.92,0.59
1738508403.418361,30.7,4.93,0.00,2.92,0.59
1738508403.520006,30.7,4.93,0.00,2.92,0.59
