timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508526.867368,33.3,4.93,0.00,2.92,0.59
1738508526.968798,33.3,4.93,0.00,2.92,0.59
1738508527.070494,33.3,4.93,0.00,2.92,0.59
1738508527.172025,33.3,4.93,0.00,2.92,0.59
1738508527.273697,33.3,4.93,0.00,2.92,0.59
1738508527.374913,33.3,4.93,0.00,2.86,0.59
1738508527.476494,33.3,4.93,0.00,2.86,0.58
1738508527.578382,33.3,4.93,0.00,2.92,0.59
1738508527.680007,33.3,4.93,0.00,2.92,0.59
1738508527.781493,33.3,4.93,0.00,2.92,0.59
1738508527.883068,32.5,4.93,0.00,2.92,0.59
1738508527.984689,32.5,4.93,0.00,2.86,0.59
1738508528.086236,32.5,4.93,0.00,2.92,0.59
1738508528.187896,32.5,4.93,0.00,2.86,0.59
1738508528.289397,32.5,4.93,0.00,2.92,0.59
1738508528.390962,32.5,4.93,0.00,2.92,0.59
1738508528.492592,32.5,4.93,0.00,2.92,0.59
1738508528.594124,32.5,4.93,0.00,2.92,0.59
1738508528.695727,32.5,4.93,0.00,2.92,0.59
1738508528.797341,31.6,4.93,0.00,2.92,0.58
1738508528.898894,31.6,4.93,0.00,2.92,0.59
1738508529.000447,31.6,4.93,0.00,2.92,0.59
1738508529.102049,31.6,4.93,0.00,2.92,0.59
1738508529.203612,31.6,4.93,0.00,2.92,0.58
1738508529.305243,31.6,4.93,0.00,2.92,0.59
1738508529.406732,31.6,4.93,0.00,2.86,0.59
1738508529.508401,31.6,4.93,0.00,2.92,0.59
1738508529.610013,31.6,4.93,0.00,2.92,0.59
1738508529.711402,31.6,4.93,0.00,2.86,0.59
1738508529.813133,31.6,4.93,0.00,2.92,0.59
1738508529.914580,31.6,4.93,0.00,2.92,0.59
1738508530.016237,31.6,4.93,0.00,2.92,0.59
1738508530.117761,31.6,4.93,0.00,2.92,0.59
1738508530.219446,31.6,4.93,0.00,2.92,0.59
1738508530.321062,31.6,4.93,0.00,2.92,0.59
