timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508404.187693,29.8,4.93,0.00,2.86,0.58
1738508404.289649,29.8,4.93,0.00,2.92,0.59
1738508404.391339,29.8,4.93,0.00,2.92,0.59
1738508404.492885,29.8,4.93,0.00,2.92,0.59
1738508404.594487,31.6,4.93,0.00,2.92,0.58
1738508404.696063,31.6,4.93,0.00,2.86,0.58
1738508404.797614,31.6,4.93,0.00,2.92,0.59
1738508404.899224,31.6,4.93,0.00,2.92,0.59
1738508405.000781,31.6,4.93,0.00,2.92,0.59
1738508405.102413,31.6,4.93,0.00,2.92,0.59
1738508405.203987,31.6,4.93,0.00,2.92,0.59
1738508405.305528,31.6,4.93,0.00,2.92,0.59
1738508405.407115,31.6,4.93,0.00,2.92,0.59
1738508405.508715,31.6,4.93,0.00,2.92,0.59
1738508405.610338,31.6,4.93,0.00,2.92,0.59
1738508405.711953,31.6,4.93,0.00,2.92,0.59
1738508405.813503,31.6,4.93,0.00,2.92,0.59
1738508405.914991,31.6,4.93,0.00,2.92,0.59
1738508406.016576,31.6,4.93,0.00,2.92,0.59
1738508406.118236,31.6,4.93,0.00,2.86,0.59
1738508406.219435,31.6,4.93,0.00,2.86,0.59
1738508406.321432,31.6,4.93,0.00,2.92,0.59
1738508406.422929,31.6,4.93,0.00,2.92,0.59
1738508406.524585,31.6,4.93,0.00,2.92,0.59
1738508406.626146,31.6,4.93,0.00,2.86,0.59
1738508406.727740,31.6,4.93,0.00,2.92,0.59
1738508406.829308,31.6,4.93,0.00,2.92,0.59
1738508406.930905,31.6,4.93,0.00,2.92,0.59
1738508407.032481,31.6,4.93,0.00,2.92,0.59
1738508407.133720,31.6,4.93,0.00,2.92,0.59
1738508407.235689,31.6,4.93,0.00,2.92,0.59
1738508407.337175,31.6,4.93,0.00,2.92,0.59
1738508407.438659,31.6,4.93,0.00,2.92,0.59
1738508407.540296,31.6,4.93,0.00,2.92,0.59
1738508407.641881,31.6,4.93,0.00,2.92,0.60
1738508407.743464,31.6,4.93,0.00,2.92,0.59
1738508407.845096,31.6,4.93,0.00,2.86,0.59
1738508407.946638,31.6,4.93,0.00,2.92,0.58
1738508408.048271,31.6,4.93,0.00,2.92,0.59
1738508408.149844,31.6,4.93,0.00,2.92,0.59
1738508408.251330,31.6,4.93,0.00,2.92,0.59
1738508408.353003,31.6,4.93,0.00,2.92,0.59
1738508408.454509,31.6,4.93,0.00,2.92,0.59
1738508408.556118,31.6,4.93,0.00,2.92,0.59
1738508408.657773,31.6,4.93,0.00,2.86,0.59
1738508408.759340,31.6,4.93,0.00,2.92,0.59
1738508408.860838,31.6,4.93,0.00,2.92,0.59
1738508408.962523,31.6,4.93,0.00,2.92,0.59
1738508409.064057,31.6,4.93,0.00,2.92,0.59
1738508409.165682,31.6,4.93,0.00,2.92,0.59
1738508409.267072,31.6,4.93,0.00,2.92,0.59
1738508409.368792,31.6,4.93,0.00,2.86,0.59
1738508409.470413,31.6,4.93,0.00,2.86,0.59
1738508409.571972,31.6,4.93,0.00,2.92,0.59
1738508409.673586,30.7,4.93,0.00,2.92,0.59
1738508409.775161,30.7,4.93,0.00,2.92,0.59
1738508409.876709,30.7,4.93,0.00,2.86,0.59
1738508409.978341,30.7,4.93,0.00,2.92,0.58
1738508410.079849,30.7,4.93,0.00,2.94,0.59
1738508410.181449,30.7,4.93,0.00,2.92,0.59
1738508410.282800,30.7,4.93,0.00,2.92,0.59
1738508410.384565,30.7,4.93,0.00,2.86,0.59
1738508410.486186,31.6,4.93,0.00,2.92,0.59
1738508410.587795,31.6,4.93,0.00,2.86,0.59
1738508410.689389,31.6,4.93,0.00,2.92,0.59
1738508410.790944,31.6,4.93,0.00,2.86,0.59
1738508410.892541,31.6,4.93,0.00,2.92,0.59
1738508410.994142,31.6,4.93,0.00,2.92,0.58
1738508411.095694,31.6,4.93,0.00,2.92,0.59
1738508411.197305,31.6,4.93,0.00,2.92,0.59
1738508411.298835,31.6,4.93,0.00,2.86,0.59
1738508411.400433,31.6,4.93,0.00,2.92,0.59
1738508411.501955,31.6,4.93,0.00,2.92,0.59
1738508411.603635,31.6,4.93,0.00,2.92,0.59
1738508411.705155,31.6,4.93,0.00,2.92,0.59
1738508411.806764,31.6,4.93,0.00,2.86,0.58
1738508411.908081,31.6,4.93,0.00,2.92,0.59
1738508412.009877,31.6,4.93,0.00,2.92,0.59
1738508412.111521,32.5,4.93,0.00,2.86,0.59
1738508412.213047,32.5,4.93,0.00,2.86,0.59
1738508412.314645,32.5,4.93,0.00,2.92,0.59
1738508412.416146,32.5,4.93,0.00,2.92,0.59
1738508412.517779,32.5,4.93,0.00,2.92,0.59
1738508412.619397,32.5,4.93,0.00,2.92,0.59
1738508412.720963,32.5,4.93,0.00,2.92,0.59
1738508412.822643,32.5,4.93,0.00,2.92,0.59
1738508412.924122,32.5,4.93,0.00,2.92,0.59
1738508413.025737,31.6,4.93,0.00,2.86,0.59
1738508413.127305,31.6,4.93,0.00,2.92,0.59
1738508413.228928,31.6,4.93,0.00,2.86,0.59
1738508413.330436,31.6,4.93,0.00,2.92,0.59
1738508413.432040,31.6,4.93,0.00,2.92,0.59
1738508413.533634,31.6,4.93,0.00,2.92,0.58
1738508413.635259,31.6,4.93,0.00,2.92,0.59
1738508413.736866,31.6,4.93,0.00,2.92,0.59
1738508413.838327,30.7,4.93,0.00,2.86,0.59
1738508413.939907,30.7,4.93,0.00,2.86,0.59
1738508414.041519,30.7,4.93,0.00,2.92,0.59
1738508414.143156,30.7,4.93,0.00,2.92,0.59
1738508414.244537,30.7,4.93,0.00,2.92,0.59
1738508414.346319,30.7,4.93,0.00,2.92,0.59
