timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508561.746219,32.5,4.92,0.00,2.92,0.60
1738508561.846432,32.5,4.92,0.00,2.94,0.60
1738508561.946308,32.5,4.92,0.00,2.94,0.59
1738508562.046402,32.5,4.92,0.00,2.92,0.60
1738508562.146389,32.5,4.92,0.00,2.92,0.60
1738508562.246229,32.5,4.92,0.00,2.92,0.60
1738508562.346441,31.6,4.92,0.00,2.94,0.60
1738508562.446256,31.6,4.92,0.00,2.92,0.60
1738508562.546378,31.6,4.92,0.00,2.92,0.60
1738508562.646257,31.6,4.92,0.00,2.94,0.59
1738508562.746334,31.6,4.92,0.00,2.94,0.60
1738508562.846317,31.6,4.92,0.00,2.94,0.60
1738508562.946301,31.6,4.92,0.00,2.92,0.60
1738508563.046263,31.6,4.92,0.00,2.92,0.60
1738508563.146371,31.6,4.92,0.00,2.94,0.60
1738508563.246310,31.6,4.92,0.00,2.94,0.60
1738508563.346325,31.6,4.92,0.00,2.92,0.59
1738508563.446385,31.6,4.92,0.00,2.94,0.60
1738508563.546337,31.6,4.92,0.00,2.92,0.59
1738508563.646351,31.6,4.92,0.00,2.94,0.60
1738508563.746380,31.6,4.92,0.00,2.94,0.59
1738508563.846457,31.6,4.92,0.00,2.94,0.60
1738508563.946267,31.6,4.92,0.00,2.94,0.60
1738508564.046009,31.6,4.92,0.00,2.94,0.59
1738508564.146388,31.6,4.92,0.00,2.92,0.59
1738508564.246334,31.6,4.92,0.00,2.92,0.60
1738508564.346457,31.6,4.92,0.00,2.92,0.59
1738508564.446037,31.6,4.92,0.00,2.92,0.60
1738508564.546436,31.6,4.92,0.00,2.92,0.59
1738508564.646287,31.6,4.92,0.00,2.94,0.60
1738508564.746368,31.6,4.93,0.00,2.92,0.60
1738508564.846425,31.6,4.92,0.00,2.94,0.60
1738508564.946388,31.6,4.92,0.00,2.92,0.59
1738508565.046051,31.6,4.92,0.00,2.94,0.60
1738508565.146445,31.6,4.92,0.00,2.94,0.60
1738508565.245916,31.6,4.92,0.00,2.92,0.59
1738508565.346401,31.6,4.92,0.00,2.94,0.60
1738508565.446286,31.6,4.92,0.00,2.94,0.60
1738508565.546384,31.6,4.92,0.00,2.92,0.60
1738508565.646381,31.6,4.92,0.00,2.92,0.60
1738508565.746300,31.6,4.92,0.00,2.92,0.60
1738508565.846392,31.6,4.92,0.00,2.92,0.60
1738508565.946326,31.6,4.92,0.00,2.92,0.60
1738508566.046384,31.6,4.92,0.00,2.94,0.59
1738508566.146342,31.6,4.92,0.00,2.94,0.60
1738508566.246284,31.6,4.92,0.00,2.92,0.60
1738508566.346403,31.6,4.92,0.00,2.94,0.60
1738508566.446407,31.6,4.92,0.00,2.92,0.59
1738508566.546308,207.9,4.92,0.00,2.94,0.60
1738508566.646378,207.9,4.92,0.00,2.92,0.60
1738508566.746394,207.9,4.92,0.00,2.94,0.60
1738508566.846446,207.9,4.92,0.00,2.92,0.60
1738508566.946422,207.9,4.92,0.00,2.94,0.59
1738508567.046373,207.9,4.92,0.00,2.94,0.60
1738508567.146402,207.9,4.92,0.00,2.92,0.60
1738508567.246470,207.9,4.92,0.00,2.92,0.60
1738508567.346376,31.6,4.92,0.00,2.94,0.60
1738508567.446236,31.6,4.92,0.00,2.94,0.59
1738508567.546352,31.6,4.92,0.00,2.92,0.59
1738508567.646351,31.6,4.92,0.00,2.94,0.60
1738508567.746428,31.6,4.92,0.00,2.92,0.60
1738508567.846382,31.6,4.92,0.00,2.92,0.60
1738508567.946373,31.6,4.92,0.00,2.92,0.60
1738508568.046430,31.6,4.92,0.00,2.94,0.60
1738508568.146402,31.6,4.92,0.00,2.92,0.60
1738508568.246456,31.6,4.92,0.00,2.94,0.60
1738508568.346285,31.6,4.92,0.00,2.94,0.60
1738508568.446413,31.6,4.92,0.00,2.92,0.59
1738508568.546420,31.6,4.92,0.00,2.92,0.60
1738508568.646412,31.6,4.92,0.00,2.94,0.59
1738508568.746485,31.6,4.92,0.00,2.94,0.59
1738508568.846367,31.6,4.92,0.00,2.94,0.59
1738508568.946068,31.6,4.92,0.00,2.94,0.59
1738508569.046404,31.6,4.92,0.00,2.94,0.60
1738508569.146454,31.6,4.92,0.00,2.92,0.60
1738508569.246447,31.6,4.92,0.00,2.94,0.60
1738508569.346441,31.6,4.92,0.00,2.92,0.60
1738508569.446476,31.6,4.92,0.00,2.94,0.60
1738508569.546458,31.6,4.92,0.00,2.94,0.59
1738508569.646426,31.6,4.92,0.00,2.94,0.60
1738508569.746313,31.6,4.92,0.00,2.92,0.60
1738508569.846372,31.6,4.92,0.00,2.92,0.60
1738508569.946335,31.6,4.92,0.00,2.92,0.60
1738508570.046391,31.6,4.92,0.00,2.94,0.60
1738508570.146271,31.6,4.92,0.00,2.92,0.59
1738508570.246356,31.6,4.92,0.00,2.92,0.59
1738508570.346164,31.6,4.92,0.00,2.92,0.60
1738508570.446321,31.6,4.92,0.00,2.92,0.59
1738508570.546382,31.6,4.92,0.00,2.94,0.60
1738508570.646459,31.6,4.92,0.00,2.92,0.59
1738508570.746362,31.6,4.92,0.00,2.94,0.60
1738508570.846465,31.6,4.92,0.00,2.94,0.60
1738508570.946475,31.6,4.92,0.00,2.94,0.60
1738508571.046410,31.6,4.92,0.00,2.92,0.60
1738508571.146322,31.6,4.92,0.00,2.92,0.59
1738508571.246403,31.6,4.92,0.00,2.92,0.59
1738508571.346594,31.6,4.92,0.00,2.94,0.60
1738508571.446397,31.6,4.92,0.00,2.92,0.60
1738508571.546533,31.6,4.92,0.00,2.94,0.59
1738508571.646432,31.6,4.92,0.00,2.92,0.60
1738508571.746416,31.6,4.92,0.00,2.94,0.60
1738508571.846376,31.6,4.92,0.00,2.94,0.60
1738508571.946475,31.6,4.92,0.00,2.92,0.59
1738508572.046437,31.6,4.92,0.00,2.92,0.60
1738508572.146432,31.6,4.92,0.00,2.92,0.60
1738508572.246039,31.6,4.92,0.00,2.92,0.59
1738508572.346409,31.6,4.92,0.00,2.94,0.59
1738508572.446389,31.6,4.92,0.00,2.92,0.59
1738508572.546378,31.6,4.92,0.00,2.94,0.60
1738508572.646440,31.6,4.92,0.00,2.92,0.60
1738508572.746397,31.6,4.92,0.00,2.92,0.60
1738508572.846413,31.6,4.92,0.00,2.92,0.59
1738508572.946503,31.6,4.92,0.00,2.92,0.60
1738508573.046350,31.6,4.92,0.00,2.94,0.59
1738508573.146557,31.6,4.92,0.00,2.94,0.59
1738508573.246079,31.6,4.92,0.00,2.92,0.60
1738508573.346327,31.6,4.92,0.00,2.92,0.59
1738508573.446390,31.6,4.92,0.00,2.94,0.60
1738508573.546508,31.6,4.92,0.00,2.94,0.59
1738508573.646453,31.6,4.92,0.00,2.92,0.60
1738508573.746323,31.6,4.92,0.00,2.94,0.59
1738508573.846446,31.6,4.92,0.00,2.94,0.60
1738508573.946444,31.6,4.92,0.00,2.92,0.60
1738508574.046487,31.6,4.92,0.00,2.94,0.60
1738508574.146399,31.6,4.92,0.00,2.94,0.60
1738508574.246443,31.6,4.92,0.00,2.92,0.60
1738508574.346428,31.6,4.92,0.00,2.92,0.60
1738508574.446461,31.6,4.92,0.00,2.94,0.59
1738508574.546343,31.6,4.92,0.00,2.92,0.59
1738508574.646442,31.6,4.92,0.00,2.94,0.60
1738508574.746426,31.6,4.92,0.00,2.92,0.60
1738508574.846227,31.6,4.92,0.00,2.94,0.60
1738508574.946434,31.6,4.92,0.00,2.94,0.60
1738508575.046412,31.6,4.92,0.00,2.94,0.60
1738508575.146490,31.6,4.92,0.00,2.92,0.59
1738508575.246507,31.6,4.92,0.00,2.92,0.59
1738508575.346094,31.6,4.92,0.00,2.92,0.59
1738508575.446485,31.6,4.92,0.00,2.94,0.60
1738508575.546442,31.6,4.92,0.00,2.94,0.60
1738508575.646459,31.6,4.92,0.00,2.92,0.59
1738508575.746438,32.5,4.92,0.00,2.94,0.59
1738508575.846519,32.5,4.92,0.00,2.94,0.60
1738508575.946443,32.5,4.92,0.00,2.94,0.60
1738508576.046368,32.5,4.92,0.00,2.92,0.59
1738508576.146413,32.5,4.92,0.00,2.94,0.60
1738508576.246484,32.5,4.92,0.00,2.94,0.60
1738508576.346484,32.5,4.92,0.00,2.94,0.60
1738508576.446376,32.5,4.92,0.00,2.92,0.60
1738508576.546441,31.6,4.92,0.00,2.94,0.59
