timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508579.747226,34.2,4.92,0.00,2.94,0.60
1738508579.847089,34.2,4.92,0.00,2.92,0.60
1738508579.947467,32.5,4.92,0.00,2.94,0.60
1738508580.047505,32.5,4.92,0.00,2.94,0.60
1738508580.147464,32.5,4.92,0.00,2.94,0.60
1738508580.247500,32.5,4.92,0.00,2.94,0.60
1738508580.347624,32.5,4.92,0.00,3.02,0.60
1738508580.447530,32.5,4.92,0.00,2.92,0.59
1738508580.547500,32.5,4.92,0.00,2.94,0.60
1738508580.647554,32.5,4.92,0.00,2.92,0.60
1738508580.747143,31.6,4.92,0.00,2.94,0.60
1738508580.847126,31.6,4.92,0.00,2.92,0.59
1738508580.947636,31.6,4.92,0.00,2.94,0.60
1738508581.047462,31.6,4.92,0.00,2.92,0.60
1738508581.147529,31.6,4.92,0.00,2.92,0.59
1738508581.247493,31.6,4.92,0.00,2.92,0.60
1738508581.347557,31.6,4.92,0.00,2.92,0.60
1738508581.447484,31.6,4.92,0.00,2.94,0.59
1738508581.547494,31.6,4.92,0.00,2.94,0.60
1738508581.647473,31.6,4.92,0.00,2.92,0.59
1738508581.747549,31.6,4.92,0.00,2.92,0.59
1738508581.847496,31.6,4.92,0.00,2.92,0.59
1738508581.947532,31.6,4.92,0.00,2.94,0.60
1738508582.047558,31.6,4.92,0.00,2.94,0.60
1738508582.147523,31.6,4.92,0.00,2.94,0.60
1738508582.247526,31.6,4.92,0.00,2.94,0.60
1738508582.347632,31.6,4.92,0.00,2.92,0.60
1738508582.447548,31.6,4.92,0.00,2.94,0.59
1738508582.547495,31.6,4.92,0.00,2.92,0.59
1738508582.647564,31.6,4.93,0.00,2.92,0.59
1738508582.747528,31.6,4.92,0.00,2.92,0.59
1738508582.847556,31.6,4.92,0.00,2.94,0.59
1738508582.947518,31.6,4.92,0.00,2.92,0.60
1738508583.047519,31.6,4.92,0.00,2.94,0.60
1738508583.147308,31.6,4.92,0.00,2.94,0.60
1738508583.247613,32.5,4.92,0.00,2.94,0.60
1738508583.347507,32.5,4.92,0.00,2.94,0.59
1738508583.447453,32.5,4.92,0.00,2.92,0.60
1738508583.547600,32.5,4.92,0.00,2.94,0.60
1738508583.647536,32.5,4.92,0.00,2.94,0.60
1738508583.747636,32.5,4.92,0.00,2.92,0.59
1738508583.847537,32.5,4.92,0.00,2.94,0.60
1738508583.947562,32.5,4.92,0.00,2.92,0.60
1738508584.047548,32.5,4.92,0.00,2.92,0.60
1738508584.147452,32.5,4.92,0.00,2.92,0.60
1738508584.247566,32.5,4.92,0.00,2.94,0.60
1738508584.347489,32.5,4.92,0.00,2.94,0.60
1738508584.447580,32.5,4.92,0.00,2.94,0.59
1738508584.547355,32.5,4.92,0.00,2.92,0.60
1738508584.647493,32.5,4.92,0.00,2.94,0.60
1738508584.747527,32.5,4.92,0.00,2.94,0.59
1738508584.847486,32.5,4.92,0.00,2.94,0.59
1738508584.947546,31.6,4.92,0.00,2.92,0.60
1738508585.047541,31.6,4.92,0.00,2.94,0.60
1738508585.147541,31.6,4.92,0.00,2.94,0.60
1738508585.247594,31.6,4.92,0.00,2.94,0.59
1738508585.347440,31.6,4.92,0.00,2.94,0.60
1738508585.447597,31.6,4.92,0.00,2.92,0.60
1738508585.547561,31.6,4.92,0.00,2.92,0.60
1738508585.647539,31.6,4.92,0.00,2.92,0.60
1738508585.747520,32.5,4.92,0.00,2.92,0.59
1738508585.847518,32.5,4.92,0.00,2.94,0.60
1738508585.947533,32.5,4.92,0.00,2.94,0.60
1738508586.047566,32.5,4.92,0.00,2.94,0.60
