timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509831.520701,32.5,4.93,0.00,2.86,0.59
1738509831.622634,32.5,4.93,0.00,2.86,0.58
1738509831.724357,32.5,4.93,0.00,2.86,0.58
1738509831.825920,32.5,4.93,0.00,2.86,0.58
1738509831.927464,32.5,4.93,0.00,2.86,0.58
1738509832.029092,32.5,4.93,0.00,2.86,0.58
1738509832.130680,32.5,4.93,0.00,2.86,0.59
1738509832.232310,32.5,4.93,0.00,2.86,0.58
1738509832.333848,32.5,4.93,0.00,2.86,0.58
1738509832.435333,32.5,4.93,0.00,2.86,0.58
1738509832.536974,32.5,4.93,0.00,2.86,0.58
1738509832.638355,32.5,4.93,0.00,2.86,0.58
1738509832.740112,32.5,4.93,0.00,2.92,0.58
1738509832.841649,32.5,4.93,0.00,2.86,0.58
1738509832.943349,32.5,4.93,0.00,2.86,0.58
1738509833.044853,32.5,4.93,0.00,2.86,0.58
1738509833.146423,31.6,4.93,0.00,2.86,0.58
1738509833.248029,31.6,4.93,0.00,2.86,0.58
1738509833.349609,31.6,4.93,0.00,2.86,0.58
1738509833.451250,31.6,4.93,0.00,2.86,0.58
1738509833.552819,31.6,4.93,0.00,2.86,0.58
1738509833.654391,31.6,4.93,0.00,2.86,0.58
1738509833.755900,31.6,4.93,0.00,2.86,0.58
1738509833.857498,31.6,4.93,0.00,2.86,0.58
1738509833.959113,32.5,4.93,0.00,2.82,0.58
1738509834.060610,32.5,4.93,0.00,2.86,0.58
1738509834.162266,32.5,4.93,0.00,2.86,0.58
1738509834.263650,32.5,4.93,0.00,2.86,0.58
1738509834.365451,32.5,4.93,0.00,2.86,0.58
1738509834.466879,32.5,4.93,0.00,2.86,0.58
1738509834.568361,32.5,4.93,0.00,2.86,0.58
1738509834.669896,32.5,4.93,0.00,2.86,0.58
1738509834.771753,32.5,4.93,0.00,2.86,0.58
1738509834.873359,31.6,4.93,0.00,2.86,0.58
1738509834.974925,31.6,4.93,0.00,2.82,0.58
1738509835.076489,31.6,4.93,0.00,2.86,0.58
1738509835.178040,31.6,4.93,0.00,2.86,0.58
1738509835.279621,31.6,4.93,0.00,2.86,0.58
1738509835.381268,31.6,4.93,0.00,2.86,0.58
1738509835.482776,31.6,4.93,0.00,2.86,0.59
1738509835.584449,31.6,4.93,0.00,2.82,0.58
1738509835.686002,32.5,4.93,0.00,2.86,0.58
1738509835.787584,32.5,4.93,0.00,2.86,0.58
1738509835.889122,32.5,4.93,0.00,2.86,0.58
1738509835.990745,32.5,4.93,0.00,2.86,0.58
1738509836.092274,32.5,4.93,0.00,2.86,0.58
1738509836.193860,32.5,4.93,0.00,2.86,0.57
1738509836.295414,32.5,4.93,0.00,2.86,0.58
1738509836.396847,32.5,4.93,0.00,2.86,0.58
1738509836.498431,31.6,4.93,0.00,2.86,0.59
1738509836.600223,31.6,4.93,0.00,2.86,0.58
1738509836.701755,31.6,4.93,0.00,2.86,0.58
1738509836.803334,31.6,4.93,0.00,2.86,0.58
1738509836.904922,31.6,4.93,0.00,2.86,0.58
1738509837.006431,31.6,4.93,0.00,2.86,0.58
1738509837.108101,31.6,4.93,0.00,2.86,0.58
1738509837.209615,31.6,4.93,0.00,2.86,0.58
1738509837.311285,32.5,4.93,0.00,2.86,0.58
1738509837.412646,32.5,4.93,0.00,2.82,0.58
1738509837.514434,32.5,4.93,0.00,2.86,0.58
1738509837.615979,32.5,4.93,0.00,2.86,0.57
1738509837.717610,32.5,4.93,0.00,2.86,0.58
1738509837.819145,32.5,4.93,0.00,2.86,0.58
1738509837.920790,32.5,4.93,0.00,2.86,0.58
1738509838.022299,32.5,4.93,0.00,2.92,0.59
1738509838.123901,32.5,4.93,0.00,2.86,0.58
1738509838.225314,32.5,4.93,0.00,2.86,0.58
1738509838.327044,32.5,4.93,0.00,2.86,0.58
