timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509848.331090,31.6,4.93,0.00,2.86,0.58
1738509848.433194,31.6,4.93,0.00,2.86,0.58
1738509848.534731,31.6,4.93,0.00,2.86,0.58
1738509848.636286,31.6,4.93,0.00,2.86,0.58
1738509848.737872,31.6,4.93,0.00,2.86,0.57
1738509848.839403,31.6,4.93,0.00,2.86,0.58
1738509848.941080,31.6,4.93,0.00,2.86,0.58
1738509849.042682,31.6,4.93,0.00,2.86,0.58
1738509849.144233,32.5,4.93,0.00,2.86,0.58
1738509849.245783,32.5,4.93,0.00,2.86,0.58
1738509849.347337,32.5,4.93,0.00,2.86,0.58
1738509849.448768,32.5,4.93,0.00,2.86,0.58
1738509849.550506,32.5,4.93,0.00,2.86,0.58
1738509849.651971,32.5,4.93,0.00,2.86,0.58
1738509849.753734,32.5,4.93,0.00,2.86,0.58
1738509849.855211,32.5,4.93,0.00,2.82,0.58
1738509849.956846,31.6,4.93,0.00,2.86,0.58
1738509850.058465,31.6,4.93,0.00,2.86,0.59
1738509850.159977,31.6,4.93,0.00,2.86,0.58
1738509850.261610,31.6,4.93,0.00,2.86,0.58
1738509850.363184,31.6,4.93,0.00,2.86,0.58
1738509850.464807,31.6,4.93,0.00,2.86,0.58
1738509850.566340,31.6,4.93,0.00,2.82,0.58
1738509850.667902,31.6,4.93,0.00,2.86,0.58
1738509850.769452,32.5,4.93,0.00,2.82,0.57
1738509850.871129,32.5,4.93,0.00,2.86,0.58
1738509850.972665,32.5,4.93,0.00,2.86,0.59
1738509851.074242,32.5,4.93,0.00,2.86,0.58
1738509851.175863,32.5,4.93,0.00,2.86,0.58
1738509851.277425,32.5,4.93,0.00,2.86,0.59
1738509851.378717,32.5,4.93,0.00,2.86,0.58
1738509851.480591,32.5,4.93,0.00,2.86,0.58
1738509851.581905,32.5,4.93,0.00,2.86,0.58
1738509851.683657,32.5,4.93,0.00,2.82,0.58
1738509851.785220,32.5,4.93,0.00,2.86,0.58
1738509851.886906,32.5,4.93,0.00,2.86,0.58
1738509851.988223,32.5,4.93,0.00,2.86,0.58
1738509852.090044,32.5,4.93,0.00,2.86,0.58
1738509852.191590,32.5,4.93,0.00,2.82,0.58
1738509852.293245,32.5,4.93,0.00,2.82,0.58
1738509852.394754,32.5,4.93,0.00,2.86,0.58
1738509852.496221,32.5,4.93,0.00,2.86,0.58
1738509852.597895,32.5,4.93,0.00,2.86,0.58
1738509852.699443,32.5,4.93,0.00,2.86,0.58
1738509852.801065,32.5,4.93,0.00,2.86,0.59
1738509852.902655,32.5,4.93,0.00,2.86,0.58
1738509853.004248,32.5,4.93,0.00,2.86,0.58
1738509853.105861,32.5,4.93,0.00,2.86,0.59
1738509853.207334,32.5,4.93,0.00,2.86,0.58
1738509853.308883,32.5,4.93,0.00,2.86,0.58
1738509853.410571,32.5,4.93,0.00,2.86,0.58
1738509853.512150,32.5,4.93,0.00,2.86,0.58
1738509853.613732,32.5,4.93,0.00,2.82,0.58
1738509853.715345,32.5,4.93,0.00,2.86,0.58
1738509853.816870,32.5,4.93,0.00,2.86,0.58
1738509853.918500,32.5,4.93,0.00,2.86,0.58
1738509854.020050,32.5,4.93,0.00,2.86,0.58
1738509854.121655,31.6,4.93,0.00,2.86,0.58
1738509854.223158,31.6,4.93,0.00,2.82,0.58
