timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509865.159318,33.3,4.91,0.00,3.04,0.62
1738509865.259552,33.3,4.91,0.00,3.04,0.63
1738509865.359688,33.3,4.91,0.00,3.04,0.62
1738509865.459608,33.3,4.91,0.00,3.04,0.63
1738509865.559690,33.3,4.91,0.00,3.04,0.63
1738509865.659696,33.3,4.91,0.00,3.08,0.63
1738509865.759626,33.3,4.91,0.00,3.04,0.62
1738509865.859731,33.3,4.91,0.00,3.08,0.62
1738509865.959675,33.3,4.91,0.00,3.04,0.63
1738509866.059709,33.3,4.91,0.00,3.04,0.63
1738509866.159682,33.3,4.91,0.00,3.04,0.62
1738509866.259668,33.3,4.91,0.00,3.08,0.62
1738509866.359799,33.3,4.91,0.00,3.04,0.63
1738509866.459551,33.3,4.91,0.00,3.08,0.63
1738509866.559643,33.3,4.91,0.00,3.04,0.63
1738509866.659634,33.3,4.91,0.00,3.04,0.63
1738509866.759662,33.3,4.90,0.00,3.08,0.62
1738509866.859429,33.3,4.91,0.00,3.08,0.63
1738509866.959321,33.3,4.91,0.00,3.08,0.63
1738509867.059583,33.3,4.91,0.00,3.04,0.62
1738509867.159678,33.3,4.91,0.00,3.04,0.63
1738509867.259674,33.3,4.91,0.00,3.04,0.63
1738509867.359688,33.3,4.91,0.00,3.08,0.62
1738509867.459706,33.3,4.91,0.00,3.04,0.62
1738509867.559682,32.5,4.91,0.00,3.08,0.63
1738509867.659624,32.5,4.90,0.00,3.04,0.62
1738509867.759701,32.5,4.91,0.00,3.04,0.62
1738509867.859719,32.5,4.91,0.00,3.04,0.63
1738509867.959668,32.5,4.90,0.00,3.08,0.63
1738509868.059646,32.5,4.91,0.00,3.08,0.63
1738509868.159624,32.5,4.91,0.00,3.08,0.63
1738509868.259668,32.5,4.91,0.00,3.04,0.63
1738509868.359662,34.2,4.90,0.00,3.04,0.63
1738509868.459581,34.2,4.91,0.00,3.04,0.62
1738509868.559689,34.2,4.91,0.00,3.04,0.62
1738509868.659700,34.2,4.91,0.00,3.04,0.63
1738509868.759625,34.2,4.91,0.00,3.08,0.63
1738509868.859591,34.2,4.91,0.00,3.08,0.62
1738509868.959653,34.2,4.91,0.00,3.04,0.63
1738509869.059705,34.2,4.91,0.00,3.04,0.62
1738509869.159742,34.2,4.91,0.00,3.08,0.62
1738509869.259639,33.3,4.91,0.00,3.04,0.63
1738509869.359745,33.3,4.91,0.00,3.04,0.62
1738509869.459707,33.3,4.91,0.00,3.04,0.62
1738509869.559640,33.3,4.91,0.00,3.04,0.63
1738509869.659631,33.3,4.91,0.00,3.08,0.63
1738509869.759655,33.3,4.91,0.00,3.04,0.63
1738509869.859414,33.3,4.91,0.00,3.04,0.63
1738509869.959717,33.3,4.91,0.00,3.04,0.62
1738509870.059672,33.3,4.90,0.00,3.04,0.62
1738509870.159647,33.3,4.90,0.00,3.04,0.62
1738509870.259636,33.3,4.91,0.00,3.08,0.63
1738509870.359658,33.3,4.91,0.00,3.08,0.62
1738509870.459664,33.3,4.90,0.00,3.04,0.63
1738509870.559570,33.3,4.91,0.00,3.04,0.63
1738509870.659734,33.3,4.91,0.00,3.04,0.63
1738509870.759645,33.3,4.91,0.00,3.04,0.62
1738509870.859672,33.3,4.91,0.00,3.08,0.63
