timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508933.106410,29.8,4.93,0.00,2.92,0.59
1738508933.207957,29.8,4.93,0.00,2.92,0.59
1738508933.309926,29.8,4.93,0.00,2.92,0.59
1738508933.411532,29.8,4.93,0.00,2.92,0.60
1738508933.513092,29.8,4.93,0.00,2.92,0.59
1738508933.614708,29.8,4.92,0.00,2.92,0.59
1738508933.716302,29.8,4.93,0.00,2.92,0.59
1738508933.817873,29.8,4.93,0.00,2.92,0.59
1738508933.919425,31.6,4.93,0.00,2.92,0.59
1738508934.020991,31.6,4.92,0.00,2.92,0.59
1738508934.122622,31.6,4.93,0.00,2.92,0.60
1738508934.224128,31.6,4.93,0.00,2.92,0.59
1738508934.325759,31.6,4.93,0.00,2.92,0.59
1738508934.427351,31.6,4.93,0.00,2.92,0.59
1738508934.528939,31.6,4.93,0.00,2.92,0.59
1738508934.630425,31.6,4.93,0.00,2.92,0.59
1738508934.731862,31.6,4.93,0.00,2.92,0.59
1738508934.833620,31.6,4.93,0.00,2.92,0.59
1738508934.935221,31.6,4.93,0.00,2.92,0.59
1738508935.036529,31.6,4.93,0.00,2.92,0.59
1738508935.138161,31.6,4.93,0.00,2.92,0.59
1738508935.239864,31.6,4.93,0.00,2.92,0.59
1738508935.341388,31.6,4.93,0.00,2.92,0.59
1738508935.443133,31.6,4.93,0.00,2.92,0.59
1738508935.544707,31.6,4.93,0.00,2.92,0.59
1738508935.646338,30.7,4.93,0.00,2.92,0.60
1738508935.747879,30.7,4.92,0.00,2.92,0.59
1738508935.849460,30.7,4.93,0.00,2.92,0.59
1738508935.951014,30.7,4.93,0.00,2.92,0.59
1738508936.052659,30.7,4.93,0.00,2.92,0.59
1738508936.154213,30.7,4.93,0.00,2.92,0.59
1738508936.255579,30.7,4.93,0.00,2.92,0.59
1738508936.357336,30.7,4.92,0.00,2.86,0.59
1738508936.458954,30.7,4.93,0.00,2.92,0.59
1738508936.560567,30.7,4.93,0.00,2.92,0.59
1738508936.662127,30.7,4.93,0.00,2.92,0.59
1738508936.763738,30.7,4.93,0.00,2.92,0.59
1738508936.865105,30.7,4.93,0.00,2.92,0.59
1738508936.966918,30.7,4.93,0.00,2.92,0.59
1738508937.068362,30.7,4.93,0.00,2.92,0.59
1738508937.170015,30.7,4.93,0.00,2.92,0.59
1738508937.271618,31.6,4.93,0.00,2.92,0.59
1738508937.373240,31.6,4.92,0.00,2.92,0.59
1738508937.474786,31.6,4.93,0.00,2.92,0.59
1738508937.576319,31.6,4.93,0.00,2.92,0.59
1738508937.677938,31.6,4.93,0.00,2.92,0.59
1738508937.779546,31.6,4.93,0.00,2.92,0.59
1738508937.881066,31.6,4.93,0.00,2.92,0.59
1738508937.982652,31.6,4.93,0.00,2.92,0.59
1738508938.084189,31.6,4.93,0.00,2.92,0.59
1738508938.185782,31.6,4.93,0.00,2.92,0.59
1738508938.287438,31.6,4.93,0.00,2.92,0.59
1738508938.389009,31.6,4.93,0.00,2.92,0.59
1738508938.490551,31.6,4.93,0.00,2.92,0.59
1738508938.592097,31.6,4.93,0.00,2.92,0.59
1738508938.693731,31.6,4.93,0.00,2.92,0.59
1738508938.795150,31.6,4.93,0.00,2.92,0.59
1738508938.896920,31.6,4.93,0.00,2.92,0.59
1738508938.998472,32.5,4.93,0.00,2.92,0.59
1738508939.099960,32.5,4.93,0.00,2.86,0.60
1738508939.201752,32.5,4.93,0.00,2.92,0.59
1738508939.303204,32.5,4.93,0.00,2.92,0.60
1738508939.404809,32.5,4.93,0.00,2.92,0.59
1738508939.506261,32.5,4.93,0.00,2.92,0.59
1738508939.607938,32.5,4.93,0.00,2.92,0.59
1738508939.709556,32.5,4.93,0.00,2.92,0.59
1738508939.811096,32.5,4.93,0.00,2.92,0.59
1738508939.912672,32.5,4.92,0.00,2.92,0.59
1738508940.013972,32.5,4.93,0.00,2.92,0.59
1738508940.115727,32.5,4.92,0.00,2.92,0.59
1738508940.217353,32.5,4.93,0.00,2.92,0.59
1738508940.319023,32.5,4.92,0.00,2.92,0.59
1738508940.420470,32.5,4.93,0.00,2.92,0.59
1738508940.522103,32.5,4.93,0.00,2.92,0.59
1738508940.623715,31.6,4.92,0.00,2.86,0.59
1738508940.725258,31.6,4.92,0.00,2.92,0.59
1738508940.826974,31.6,4.93,0.00,2.92,0.59
1738508940.928454,31.6,4.93,0.00,2.92,0.60
1738508941.030033,31.6,4.93,0.00,2.92,0.59
1738508941.131587,31.6,4.93,0.00,2.92,0.59
1738508941.233094,31.6,4.93,0.00,2.92,0.59
1738508941.334712,31.6,4.93,0.00,2.92,0.59
1738508941.436389,32.5,4.93,0.00,2.92,0.59
1738508941.537926,32.5,4.92,0.00,2.92,0.59
1738508941.639600,32.5,4.93,0.00,2.92,0.59
1738508941.740953,32.5,4.92,0.00,2.92,0.59
