timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509057.659943,27.2,4.93,0.00,2.92,0.59
1738509057.761742,27.2,4.92,0.00,2.92,0.59
1738509057.863603,27.2,4.93,0.00,2.92,0.59
1738509057.965162,27.2,4.92,0.00,2.92,0.60
1738509058.066663,30.7,4.93,0.00,2.92,0.59
1738509058.168347,30.7,4.93,0.00,2.92,0.59
1738509058.269879,30.7,4.93,0.00,2.92,0.59
1738509058.371487,30.7,4.93,0.00,2.92,0.59
1738509058.473074,30.7,4.93,0.00,2.92,0.59
1738509058.574645,30.7,4.93,0.00,2.86,0.59
1738509058.676376,30.7,4.93,0.00,2.92,0.59
1738509058.777810,30.7,4.93,0.00,2.86,0.59
1738509058.879384,31.6,4.93,0.00,2.92,0.59
1738509058.980976,31.6,4.93,0.00,2.92,0.59
1738509059.082501,31.6,4.93,0.00,2.92,0.59
1738509059.184146,31.6,4.93,0.00,2.92,0.59
1738509059.285529,31.6,4.92,0.00,2.92,0.59
1738509059.387254,31.6,4.93,0.00,2.92,0.59
1738509059.488865,31.6,4.93,0.00,2.92,0.59
1738509059.590443,31.6,4.93,0.00,2.92,0.59
1738509059.691956,31.6,4.93,0.00,2.92,0.59
1738509059.793587,31.6,4.93,0.00,2.92,0.59
1738509059.895185,31.6,4.93,0.00,2.92,0.59
1738509059.996749,31.6,4.93,0.00,2.86,0.59
1738509060.098273,31.6,4.93,0.00,2.92,0.59
1738509060.199938,31.6,4.93,0.00,2.92,0.59
1738509060.301514,31.6,4.93,0.00,2.92,0.59
1738509060.403073,31.6,4.92,0.00,2.92,0.59
1738509060.504690,31.6,4.93,0.00,2.92,0.59
1738509060.606185,31.6,4.93,0.00,2.92,0.59
1738509060.707853,31.6,4.93,0.00,2.92,0.59
1738509060.809138,31.6,4.93,0.00,2.86,0.58
1738509060.911008,31.6,4.93,0.00,2.92,0.59
1738509061.012546,31.6,4.93,0.00,2.86,0.59
1738509061.114122,31.6,4.93,0.00,2.92,0.59
1738509061.215698,31.6,4.93,0.00,2.92,0.59
1738509061.317287,31.6,4.92,0.00,2.92,0.59
1738509061.418907,31.6,4.93,0.00,2.92,0.59
1738509061.520392,31.6,4.93,0.00,2.92,0.59
1738509061.622081,31.6,4.93,0.00,2.92,0.59
1738509061.723409,31.6,4.93,0.00,2.92,0.59
1738509061.825206,31.6,4.93,0.00,2.92,0.59
1738509061.926688,31.6,4.92,0.00,2.92,0.59
1738509062.028345,31.6,4.93,0.00,2.92,0.59
1738509062.129959,31.6,4.93,0.00,2.86,0.59
1738509062.231580,31.6,4.93,0.00,2.92,0.59
1738509062.333179,31.6,4.93,0.00,2.92,0.59
1738509062.434639,31.6,4.93,0.00,2.92,0.59
1738509062.536242,31.6,4.93,0.00,2.92,0.59
1738509062.637801,31.6,4.93,0.00,2.92,0.59
1738509062.739366,31.6,4.93,0.00,2.92,0.59
1738509062.840960,31.6,4.93,0.00,2.92,0.59
1738509062.942395,31.6,4.93,0.00,2.92,0.59
1738509063.044123,31.6,4.92,0.00,2.92,0.59
1738509063.145715,32.5,4.93,0.00,2.92,0.59
1738509063.247325,32.5,4.93,0.00,2.92,0.59
1738509063.348809,32.5,4.93,0.00,2.92,0.59
1738509063.450462,32.5,4.93,0.00,2.94,0.59
1738509063.552050,32.5,4.93,0.00,2.86,0.59
1738509063.653628,32.5,4.93,0.00,2.92,0.59
1738509063.755348,32.5,4.93,0.00,2.92,0.59
1738509063.856581,32.5,4.93,0.00,2.92,0.59
1738509063.958355,31.6,4.93,0.00,2.92,0.59
1738509064.059835,31.6,4.93,0.00,2.92,0.59
1738509064.161580,31.6,4.93,0.00,2.92,0.59
1738509064.263110,31.6,4.93,0.00,2.92,0.59
1738509064.364344,31.6,4.93,0.00,2.92,0.59
1738509064.466119,31.6,4.93,0.00,2.92,0.59
1738509064.567588,31.6,4.93,0.00,2.92,0.59
1738509064.669394,31.6,4.93,0.00,2.92,0.59
1738509064.770985,31.6,4.93,0.00,2.92,0.59
1738509064.872622,31.6,4.92,0.00,2.92,0.59
1738509064.974154,31.6,4.93,0.00,2.92,0.60
1738509065.075713,31.6,4.93,0.00,2.92,0.59
1738509065.177181,31.6,4.92,0.00,2.92,0.59
1738509065.278964,31.6,4.93,0.00,2.86,0.60
1738509065.380556,31.6,4.93,0.00,2.92,0.59
1738509065.482098,31.6,4.93,0.00,2.92,0.58
1738509065.583674,32.5,4.93,0.00,2.92,0.59
1738509065.685248,32.5,4.93,0.00,2.92,0.59
1738509065.786899,32.5,4.93,0.00,2.86,0.59
1738509065.888421,32.5,4.93,0.00,2.92,0.59
1738509065.989991,32.5,4.93,0.00,2.92,0.59
1738509066.091653,32.5,4.93,0.00,2.94,0.59
1738509066.193166,32.5,4.93,0.00,2.92,0.59
1738509066.294714,32.5,4.93,0.00,2.92,0.59
1738509066.396399,32.5,4.93,0.00,2.92,0.59
1738509066.497807,31.6,4.93,0.00,2.92,0.59
1738509066.599585,31.6,4.93,0.00,2.92,0.59
1738509066.701104,31.6,4.93,0.00,2.92,0.59
1738509066.802614,31.6,4.93,0.00,2.92,0.59
1738509066.903955,31.6,4.93,0.00,2.92,0.58
1738509067.005589,31.6,4.93,0.00,2.92,0.59
1738509067.107308,31.6,4.93,0.00,2.92,0.59
1738509067.209375,31.6,4.93,0.00,2.92,0.59
1738509067.310588,32.5,4.93,0.00,2.92,0.59
1738509067.412104,32.5,4.93,0.00,2.92,0.59
1738509067.513626,32.5,4.93,0.00,2.92,0.59
1738509067.615223,32.5,4.93,0.00,2.92,0.59
1738509067.716943,32.5,4.93,0.00,2.92,0.59
1738509067.818529,32.5,4.93,0.00,2.92,0.59
1738509067.920098,32.5,4.93,0.00,2.92,0.59
1738509068.021619,32.5,4.93,0.00,2.92,0.59
1738509068.123346,32.5,4.93,0.00,2.92,0.59
1738509068.224759,32.5,4.93,0.00,2.92,0.59
1738509068.326346,32.5,4.93,0.00,2.92,0.59
1738509068.427855,32.5,4.93,0.00,2.92,0.59
1738509068.529546,32.5,4.93,0.00,2.92,0.59
