timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509073.061993,32.5,4.93,0.00,2.92,0.59
1738509073.163851,31.6,4.93,0.00,2.92,0.59
1738509073.265530,31.6,4.93,0.00,2.86,0.59
1738509073.367251,31.6,4.93,0.00,2.92,0.59
1738509073.468834,31.6,4.93,0.00,2.92,0.59
1738509073.570079,31.6,4.93,0.00,2.92,0.58
1738509073.671946,31.6,4.93,0.00,2.92,0.59
1738509073.773442,31.6,4.93,0.00,2.94,0.59
1738509073.875111,31.6,4.93,0.00,2.92,0.59
1738509073.976569,31.6,4.93,0.00,2.92,0.59
1738509074.078264,31.6,4.92,0.00,2.92,0.60
1738509074.179815,31.6,4.93,0.00,2.92,0.59
1738509074.281434,31.6,4.93,0.00,2.92,0.59
1738509074.382993,31.6,4.93,0.00,2.92,0.59
1738509074.485274,31.6,4.93,0.00,2.92,0.59
1738509074.586175,31.6,4.93,0.00,2.92,0.58
1738509074.687757,31.6,4.93,0.00,2.92,0.59
1738509074.789306,31.6,4.93,0.00,2.92,0.59
1738509074.890887,31.6,4.93,0.00,2.92,0.59
1738509074.992535,31.6,4.93,0.00,2.92,0.59
1738509075.093935,31.6,4.93,0.00,2.92,0.59
1738509075.195354,31.6,4.93,0.00,2.92,0.59
1738509075.296921,31.6,4.93,0.00,2.92,0.59
1738509075.398690,31.6,4.93,0.00,2.92,0.59
1738509075.500310,31.6,4.93,0.00,2.92,0.59
1738509075.601977,31.6,4.93,0.00,2.92,0.59
1738509075.703551,32.5,4.93,0.00,2.92,0.60
1738509075.805117,32.5,4.93,0.00,2.92,0.59
1738509075.906700,32.5,4.93,0.00,2.92,0.60
1738509076.008252,32.5,4.93,0.00,2.92,0.59
1738509076.109876,32.5,4.93,0.00,2.92,0.59
1738509076.211516,32.5,4.93,0.00,2.86,0.58
1738509076.313077,32.5,4.93,0.00,2.92,0.59
1738509076.414635,32.5,4.93,0.00,2.92,0.59
1738509076.516228,32.5,4.93,0.00,2.92,0.59
1738509076.617847,32.5,4.93,0.00,2.92,0.59
1738509076.719367,32.5,4.93,0.00,2.92,0.59
1738509076.820935,32.5,4.93,0.00,2.92,0.59
1738509076.922531,32.5,4.92,0.00,2.92,0.59
1738509077.024105,32.5,4.93,0.00,2.92,0.59
1738509077.125642,32.5,4.93,0.00,2.92,0.59
1738509077.227301,32.5,4.93,0.00,2.92,0.59
1738509077.328845,32.5,4.93,0.00,2.92,0.59
1738509077.430501,32.5,4.92,0.00,2.94,0.60
1738509077.532031,32.5,4.93,0.00,2.92,0.59
1738509077.633677,32.5,4.93,0.00,2.92,0.59
1738509077.735186,32.5,4.93,0.00,2.92,0.59
1738509077.836856,32.5,4.93,0.00,2.92,0.59
1738509077.938268,32.5,4.93,0.00,2.92,0.59
1738509078.039928,32.5,4.93,0.00,2.92,0.59
1738509078.141525,32.5,4.93,0.00,2.86,0.59
1738509078.243125,32.5,4.92,0.00,2.92,0.59
1738509078.344697,32.5,4.93,0.00,2.92,0.59
1738509078.446368,32.5,4.93,0.00,2.92,0.59
1738509078.547847,32.5,4.93,0.00,2.92,0.59
1738509078.649466,32.5,4.93,0.00,2.92,0.59
1738509078.751025,32.5,4.92,0.00,2.92,0.59
1738509078.862965,32.5,4.93,0.00,2.92,0.59
1738509078.954116,32.5,4.92,0.00,2.92,0.59
1738509079.055626,32.5,4.93,0.00,2.92,0.59
1738509079.157310,32.5,4.93,0.00,2.92,0.59
1738509079.258884,32.5,4.93,0.00,2.92,0.59
1738509079.360377,32.5,4.93,0.00,2.92,0.59
1738509079.462098,32.5,4.93,0.00,2.92,0.59
1738509079.563699,32.5,4.93,0.00,2.92,0.59
1738509079.665294,32.5,4.93,0.00,2.92,0.59
1738509079.766840,32.5,4.93,0.00,2.92,0.59
1738509079.868309,32.5,4.93,0.00,2.92,0.59
1738509079.970000,32.5,4.92,0.00,2.92,0.59
1738509080.071566,32.5,4.93,0.00,2.92,0.59
1738509080.173242,32.5,4.93,0.00,2.92,0.59
1738509080.274744,32.5,4.93,0.00,2.92,0.59
1738509080.376308,32.5,4.93,0.00,2.92,0.59
1738509080.477914,32.5,4.93,0.00,2.92,0.59
1738509080.579431,32.5,4.93,0.00,2.92,0.59
1738509080.681035,32.5,4.93,0.00,2.92,0.59
1738509080.782777,32.5,4.93,0.00,2.92,0.59
1738509080.884187,32.5,4.93,0.00,2.92,0.59
1738509080.985811,32.5,4.93,0.00,2.92,0.59
1738509081.087433,32.5,4.93,0.00,2.92,0.59
1738509081.189065,32.5,4.93,0.00,2.92,0.59
1738509081.290243,32.5,4.93,0.00,2.92,0.59
1738509081.391884,32.5,4.92,0.00,2.92,0.59
1738509081.493749,32.5,4.93,0.00,2.92,0.59
1738509081.595197,32.5,4.93,0.00,2.92,0.59
1738509081.696811,32.5,4.93,0.00,2.86,0.59
1738509081.798975,32.5,4.93,0.00,2.92,0.59
1738509081.899975,32.5,4.93,0.00,2.92,0.59
1738509082.001436,32.5,4.93,0.00,2.94,0.59
1738509082.103162,32.5,4.93,0.00,2.92,0.59
1738509082.204609,32.5,4.93,0.00,2.92,0.59
1738509082.306134,32.5,4.93,0.00,2.92,0.59
1738509082.408130,31.6,4.92,0.00,2.92,0.59
1738509082.509308,31.6,4.93,0.00,2.86,0.59
1738509082.611081,31.6,4.93,0.00,2.92,0.59
1738509082.712639,31.6,4.92,0.00,2.92,0.59
1738509082.814091,31.6,4.93,0.00,2.92,0.59
1738509082.915834,31.6,4.93,0.00,2.92,0.59
1738509083.017279,31.6,4.93,0.00,2.92,0.59
1738509083.118950,31.6,4.93,0.00,2.92,0.59
1738509083.220580,32.5,4.92,0.00,2.92,0.59
1738509083.322158,32.5,4.93,0.00,2.92,0.59
1738509083.423560,32.5,4.93,0.00,2.92,0.59
1738509083.525177,32.5,4.93,0.00,2.92,0.59
1738509083.626840,32.5,4.93,0.00,2.92,0.59
1738509083.728396,32.5,4.93,0.00,2.92,0.59
1738509083.829871,32.5,4.93,0.00,2.92,0.59
1738509083.931439,32.5,4.92,0.00,2.92,0.59
1738509084.033074,32.5,4.93,0.00,2.92,0.59
