timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508963.904214,31.6,4.92,0.00,2.92,0.59
1738508964.004398,31.6,4.92,0.00,2.94,0.59
1738508964.104446,31.6,4.92,0.00,2.92,0.59
1738508964.204603,31.6,4.92,0.00,2.92,0.60
1738508964.304526,31.6,4.92,0.00,2.92,0.60
1738508964.404495,31.6,4.92,0.00,2.92,0.60
1738508964.504525,31.6,4.92,0.00,2.94,0.60
1738508964.604542,31.6,4.92,0.00,2.94,0.59
1738508964.704471,31.6,4.92,0.00,2.94,0.60
1738508964.804535,31.6,4.92,0.00,2.94,0.60
1738508964.904592,31.6,4.92,0.00,2.94,0.60
1738508965.004562,30.7,4.92,0.00,2.94,0.60
1738508965.104509,30.7,4.92,0.00,2.92,0.60
1738508965.204290,30.7,4.92,0.00,2.94,0.59
1738508965.304484,30.7,4.92,0.00,2.92,0.60
1738508965.404510,30.7,4.92,0.00,2.92,0.59
1738508965.504600,30.7,4.92,0.00,2.92,0.60
1738508965.604488,30.7,4.92,0.00,2.92,0.59
1738508965.704535,30.7,4.92,0.00,2.92,0.60
1738508965.804417,31.6,4.92,0.00,2.92,0.59
1738508965.904535,31.6,4.92,0.00,2.94,0.60
1738508966.004604,31.6,4.92,0.00,2.94,0.60
1738508966.104274,31.6,4.92,0.00,2.92,0.60
1738508966.204553,31.6,4.92,0.00,2.92,0.59
1738508966.304592,31.6,4.92,0.00,2.94,0.59
1738508966.404533,31.6,4.92,0.00,2.92,0.59
1738508966.504481,31.6,4.92,0.00,2.92,0.59
1738508966.604560,31.6,4.92,0.00,2.92,0.60
1738508966.704501,31.6,4.92,0.00,2.92,0.60
1738508966.804642,31.6,4.92,0.00,2.92,0.59
1738508966.904420,31.6,4.92,0.00,2.94,0.60
1738508967.004443,31.6,4.92,0.00,2.94,0.60
1738508967.104392,31.6,4.92,0.00,2.94,0.60
1738508967.204460,31.6,4.92,0.00,2.94,0.60
1738508967.304638,31.6,4.92,0.00,2.92,0.60
1738508967.404584,31.6,4.92,0.00,2.92,0.60
1738508967.504419,31.6,4.92,0.00,2.92,0.59
1738508967.604564,31.6,4.92,0.00,2.94,0.60
1738508967.704297,31.6,4.92,0.00,2.92,0.59
1738508967.804467,31.6,4.92,0.00,2.92,0.60
1738508967.904528,31.6,4.92,0.00,2.92,0.60
1738508968.004576,31.6,4.92,0.00,2.92,0.60
1738508968.104567,31.6,4.92,0.00,2.92,0.60
1738508968.204419,31.6,4.92,0.00,2.94,0.60
1738508968.304439,31.6,4.92,0.00,2.92,0.60
1738508968.404545,31.6,4.92,0.00,2.92,0.60
1738508968.504604,31.6,4.92,0.00,2.94,0.60
1738508968.604557,31.6,4.92,0.00,2.94,0.60
1738508968.704607,31.6,4.92,0.00,2.94,0.60
