timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509088.451279,31.6,4.92,0.00,2.94,0.60
1738509088.551270,31.6,4.92,0.00,2.94,0.60
1738509088.651296,31.6,4.92,0.00,2.94,0.60
1738509088.751216,31.6,4.92,0.00,2.94,0.60
1738509088.851230,31.6,4.92,0.00,2.94,0.60
1738509088.951230,31.6,4.92,0.00,2.94,0.60
1738509089.050926,31.6,4.92,0.00,2.94,0.60
1738509089.150821,31.6,4.92,0.00,2.94,0.60
1738509089.250736,31.6,4.92,0.00,2.94,0.60
1738509089.350390,31.6,4.92,0.00,2.92,0.60
1738509089.450567,31.6,4.92,0.00,2.94,0.60
1738509089.550512,31.6,4.92,0.00,2.94,0.60
1738509089.650374,31.6,4.92,0.00,2.94,0.60
1738509089.750351,31.6,4.92,0.00,2.94,0.59
1738509089.850015,31.6,4.92,0.00,2.94,0.60
1738509089.949829,30.7,4.92,0.00,2.92,0.60
1738509090.050022,30.7,4.92,0.00,2.94,0.60
1738509090.150325,30.7,4.92,0.00,2.94,0.60
1738509090.249867,30.7,4.92,0.00,2.94,0.60
1738509090.349639,30.7,4.92,0.00,2.94,0.60
1738509090.449730,30.7,4.92,0.00,2.94,0.60
1738509090.549236,30.7,4.92,0.00,2.92,0.60
1738509090.649513,30.7,4.92,0.00,2.94,0.60
1738509090.749369,31.6,4.92,0.00,2.94,0.60
1738509090.849333,31.6,4.92,0.00,2.94,0.60
1738509090.949268,31.6,4.92,0.00,2.94,0.60
1738509091.049140,31.6,4.92,0.00,2.94,0.60
1738509091.149093,31.6,4.92,0.00,2.94,0.60
1738509091.248979,31.6,4.92,0.00,2.92,0.60
1738509091.348889,31.6,4.92,0.00,2.94,0.60
1738509091.448729,31.6,4.92,0.00,2.94,0.60
1738509091.548768,31.6,4.92,0.00,2.94,0.60
1738509091.648626,31.6,4.92,0.00,2.94,0.60
1738509091.748561,31.6,4.92,0.00,2.94,0.59
1738509091.848514,31.6,4.92,0.00,2.92,0.60
1738509091.948242,31.6,4.92,0.00,2.94,0.60
1738509092.048216,31.6,4.92,0.00,2.94,0.60
1738509092.148098,31.6,4.92,0.00,2.94,0.60
1738509092.248131,31.6,4.92,0.00,2.92,0.59
1738509092.347695,31.6,4.92,0.00,2.94,0.61
1738509092.447918,31.6,4.92,0.00,2.94,0.60
1738509092.547888,31.6,4.92,0.00,2.94,0.60
1738509092.647778,31.6,4.92,0.00,2.94,0.60
1738509092.747760,31.6,4.92,0.00,2.92,0.60
1738509092.847469,31.6,4.92,0.00,2.92,0.60
1738509092.947467,31.6,4.92,0.00,2.94,0.60
1738509093.047335,31.6,4.92,0.00,2.94,0.60
1738509093.147390,31.6,4.92,0.00,2.94,0.60
1738509093.247308,31.6,4.92,0.00,2.94,0.60
1738509093.347250,31.6,4.92,0.00,2.94,0.60
1738509093.447144,31.6,4.92,0.00,2.94,0.60
1738509093.546778,31.6,4.92,0.00,2.94,0.60
1738509093.647041,31.6,4.92,0.00,2.94,0.60
1738509093.746941,31.6,4.92,0.00,2.94,0.60
1738509093.846665,31.6,4.92,0.00,2.94,0.60
1738509093.946453,31.6,4.92,0.00,2.94,0.60
1738509094.046724,31.6,4.92,0.00,2.92,0.60
1738509094.146540,31.6,4.92,0.00,2.94,0.60
1738509094.246553,31.6,4.92,0.00,2.92,0.60
1738509094.346112,31.6,4.92,0.00,2.94,0.60
1738509094.446197,31.6,4.92,0.00,2.94,0.60
1738509094.546228,31.6,4.92,0.00,2.94,0.60
1738509094.646231,31.6,4.92,0.00,2.92,0.60
1738509094.746185,31.6,4.92,0.00,2.92,0.59
1738509094.846151,31.6,4.92,0.00,2.92,0.60
