timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508979.301102,31.6,4.92,0.00,2.94,0.60
1738508979.401367,31.6,4.92,0.00,2.92,0.59
1738508979.501420,31.6,4.92,0.00,2.92,0.60
1738508979.601447,31.6,4.92,0.00,2.94,0.60
1738508979.701451,31.6,4.92,0.00,2.92,0.60
1738508979.801394,31.6,4.92,0.00,2.94,0.60
1738508979.901321,31.6,4.92,0.00,2.94,0.60
1738508980.001372,31.6,4.92,0.00,2.92,0.60
1738508980.101437,31.6,4.92,0.00,2.94,0.60
1738508980.201404,31.6,4.92,0.00,2.94,0.59
1738508980.301468,31.6,4.92,0.00,2.92,0.60
1738508980.401449,31.6,4.92,0.00,2.94,0.60
1738508980.501471,31.6,4.92,0.00,2.92,0.60
1738508980.601408,31.6,4.92,0.00,2.92,0.60
1738508980.701476,31.6,4.92,0.00,2.94,0.60
1738508980.801435,31.6,4.92,0.00,2.94,0.59
1738508980.901451,31.6,4.92,0.00,2.94,0.60
1738508981.001465,31.6,4.92,0.00,2.94,0.60
1738508981.101473,31.6,4.92,0.00,2.92,0.59
1738508981.201445,31.6,4.92,0.00,2.94,0.60
1738508981.301282,31.6,4.92,0.00,2.92,0.60
1738508981.401478,31.6,4.92,0.00,2.92,0.60
1738508981.501458,31.6,4.92,0.00,2.94,0.60
1738508981.601443,31.6,4.92,0.00,2.92,0.59
1738508981.701501,31.6,4.92,0.00,2.94,0.60
1738508981.801372,31.6,4.92,0.00,2.94,0.59
1738508981.901432,31.6,4.92,0.00,2.94,0.61
1738508982.001484,31.6,4.92,0.00,2.92,0.60
1738508982.101391,31.6,4.92,0.00,2.94,0.60
1738508982.201394,31.6,4.92,0.00,2.92,0.60
1738508982.301373,31.6,4.92,0.00,2.92,0.60
1738508982.401356,31.6,4.92,0.00,2.94,0.59
1738508982.501217,31.6,4.92,0.00,2.92,0.60
1738508982.601458,31.6,4.92,0.00,2.94,0.60
1738508982.701462,31.6,4.92,0.00,2.94,0.60
1738508982.801353,31.6,4.92,0.00,2.94,0.60
1738508982.901418,31.6,4.92,0.00,2.94,0.60
1738508983.001441,31.6,4.92,0.00,2.92,0.60
1738508983.101407,31.6,4.92,0.00,2.92,0.60
1738508983.201265,31.6,4.92,0.00,2.92,0.60
1738508983.301351,31.6,4.92,0.00,2.92,0.60
1738508983.401419,31.6,4.92,0.00,2.94,0.60
1738508983.501466,31.6,4.92,0.00,2.92,0.59
1738508983.601483,31.6,4.92,0.00,2.94,0.60
1738508983.701442,31.6,4.92,0.00,2.92,0.60
1738508983.801423,31.6,4.92,0.00,2.94,0.59
1738508983.901509,31.6,4.92,0.00,2.92,0.60
1738508984.001426,31.6,4.92,0.00,2.94,0.60
1738508984.101511,31.6,4.92,0.00,2.94,0.60
1738508984.201399,31.6,4.92,0.00,2.92,0.59
1738508984.301481,31.6,4.92,0.00,2.92,0.60
1738508984.401481,31.6,4.92,0.00,2.92,0.60
1738508984.501477,31.6,4.92,0.00,2.94,0.60
1738508984.601352,31.6,4.92,0.00,2.94,0.60
1738508984.701442,31.6,4.92,0.00,2.94,0.60
1738508984.801479,31.6,4.92,0.00,2.94,0.60
1738508984.901461,31.6,4.92,0.00,2.92,0.60
1738508985.001419,31.6,4.92,0.00,2.94,0.59
1738508985.101447,32.5,4.92,0.00,2.94,0.60
1738508985.201437,32.5,4.92,0.00,2.92,0.60
1738508985.301517,32.5,4.92,0.00,2.92,0.60
1738508985.401457,32.5,4.92,0.00,2.92,0.60
1738508985.501462,32.5,4.92,0.00,2.92,0.59
1738508985.601503,32.5,4.93,0.00,2.94,0.60
1738508985.701453,32.5,4.92,0.00,2.94,0.60
1738508985.801435,32.5,4.92,0.00,2.92,0.60
1738508985.901539,32.5,4.92,0.00,2.92,0.60
1738508986.001440,32.5,4.92,0.00,2.92,0.60
1738508986.101454,32.5,4.92,0.00,2.94,0.59
1738508986.201422,32.5,4.92,0.00,2.92,0.60
1738508986.301510,32.5,4.92,0.00,2.92,0.59
1738508986.401445,32.5,4.92,0.00,2.94,0.60
1738508986.501495,32.5,4.92,0.00,2.92,0.60
1738508986.601489,32.5,4.92,0.00,2.92,0.60
1738508986.701490,32.5,4.92,0.00,2.94,0.60
1738508986.801407,31.6,4.92,0.00,2.92,0.60
1738508986.901475,31.6,4.92,0.00,2.92,0.60
1738508987.001062,31.6,4.92,0.00,2.92,0.60
1738508987.101462,31.6,4.92,0.00,2.94,0.60
1738508987.201507,31.6,4.92,0.00,2.94,0.60
1738508987.301449,31.6,4.92,0.00,2.92,0.60
1738508987.401489,31.6,4.92,0.00,2.94,0.60
1738508987.501522,31.6,4.93,0.00,2.92,0.59
1738508987.601465,31.6,4.92,0.00,2.92,0.60
1738508987.701504,31.6,4.92,0.00,2.92,0.60
1738508987.801385,31.6,4.92,0.00,2.94,0.60
1738508987.901463,31.6,4.92,0.00,2.92,0.60
1738508988.001480,31.6,4.92,0.00,2.92,0.60
1738508988.101487,31.6,4.92,0.00,2.92,0.60
1738508988.201540,31.6,4.92,0.00,2.94,0.60
1738508988.301517,31.6,4.92,0.00,2.92,0.59
1738508988.401404,31.6,4.92,0.00,2.94,0.60
1738508988.501454,31.6,4.92,0.00,2.92,0.59
1738508988.601508,31.6,4.92,0.00,2.94,0.60
1738508988.701477,31.6,4.92,0.00,2.92,0.59
1738508988.801500,31.6,4.92,0.00,2.94,0.60
1738508988.901473,31.6,4.92,0.00,2.92,0.60
1738508989.001541,31.6,4.92,0.00,2.92,0.59
1738508989.101528,31.6,4.92,0.00,2.94,0.60
1738508989.201584,31.6,4.92,0.00,2.92,0.59
1738508989.301420,31.6,4.92,0.00,2.94,0.60
1738508989.401487,31.6,4.92,0.00,2.92,0.59
1738508989.501500,31.6,4.92,0.00,2.94,0.60
1738508989.601444,31.6,4.92,0.00,2.94,0.60
1738508989.701542,31.6,4.92,0.00,2.94,0.59
1738508989.801490,31.6,4.92,0.00,2.94,0.60
1738508989.901532,31.6,4.92,0.00,2.92,0.60
1738508990.001375,31.6,4.92,0.00,2.94,0.60
1738508990.101443,31.6,4.92,0.00,2.94,0.60
