timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509103.875560,32.5,4.92,0.00,2.94,0.59
1738509103.975680,32.5,4.92,0.00,2.94,0.60
1738509104.075877,32.5,4.92,0.00,2.94,0.60
1738509104.175729,31.6,4.92,0.00,2.94,0.60
1738509104.275909,31.6,4.92,0.00,2.94,0.60
1738509104.375794,31.6,4.92,0.00,2.92,0.60
1738509104.475554,31.6,4.92,0.00,2.94,0.60
1738509104.575621,31.6,4.92,0.00,2.92,0.59
1738509104.675668,31.6,4.92,0.00,2.94,0.60
1738509104.775388,31.6,4.92,0.00,2.94,0.60
1738509104.875361,31.6,4.92,0.00,2.92,0.59
1738509104.975629,31.6,4.92,0.00,2.94,0.60
1738509105.075569,31.6,4.92,0.00,2.92,0.60
1738509105.175543,31.6,4.92,0.00,2.94,0.60
1738509105.275487,31.6,4.92,0.00,2.94,0.60
1738509105.375420,31.6,4.92,0.00,2.94,0.59
1738509105.475417,31.6,4.92,0.00,2.94,0.60
1738509105.575326,31.6,4.92,0.00,2.92,0.59
1738509105.675351,31.6,4.92,0.00,2.94,0.60
1738509105.775364,31.6,4.92,0.00,2.94,0.59
1738509105.874946,31.6,4.92,0.00,2.94,0.60
1738509105.975197,31.6,4.92,0.00,2.94,0.60
1738509106.075164,31.6,4.92,0.00,2.94,0.60
1738509106.175146,31.6,4.92,0.00,2.94,0.60
1738509106.275174,31.6,4.92,0.00,2.94,0.60
1738509106.375069,31.6,4.92,0.00,2.94,0.60
1738509106.474861,31.6,4.92,0.00,2.92,0.60
1738509106.574769,31.6,4.92,0.00,2.94,0.60
1738509106.674859,31.6,4.92,0.00,2.94,0.60
1738509106.774824,31.6,4.92,0.00,2.94,0.60
1738509106.874682,31.6,4.92,0.00,2.94,0.60
1738509106.977138,31.6,4.92,0.00,2.92,0.60
1738509107.074899,31.6,4.92,0.00,2.94,0.60
1738509107.174869,31.6,4.92,0.00,2.92,0.60
1738509107.274776,31.6,4.92,0.00,2.94,0.60
1738509107.374811,31.6,4.92,0.00,2.94,0.60
1738509107.474750,31.6,4.92,0.00,2.94,0.60
1738509107.574682,32.5,4.92,0.00,2.94,0.60
1738509107.679146,32.5,4.92,0.00,2.92,0.60
1738509107.774500,32.5,4.92,0.00,2.94,0.60
1738509107.874482,32.5,4.92,0.00,2.94,0.59
1738509107.974513,32.5,4.92,0.00,2.94,0.60
1738509108.074557,32.5,4.92,0.00,2.94,0.60
1738509108.174438,32.5,4.92,0.00,2.94,0.60
1738509108.274307,32.5,4.92,0.00,2.94,0.60
1738509108.374358,31.6,4.92,0.00,2.94,0.60
1738509108.474449,31.6,4.92,0.00,2.94,0.60
1738509108.574355,31.6,4.92,0.00,2.94,0.60
1738509108.674314,31.6,4.92,0.00,2.94,0.60
1738509108.774102,31.6,4.92,0.00,2.94,0.60
1738509108.874240,31.6,4.92,0.00,2.94,0.60
1738509108.974286,31.6,4.92,0.00,2.94,0.59
1738509109.074315,31.6,4.92,0.00,2.94,0.60
1738509109.174297,31.6,4.92,0.00,2.94,0.60
1738509109.274207,31.6,4.92,0.00,2.92,0.59
1738509109.374093,31.6,4.92,0.00,2.94,0.59
1738509109.474125,31.6,4.92,0.00,2.94,0.60
1738509109.574137,31.6,4.92,0.00,2.94,0.59
1738509109.674199,31.6,4.92,0.00,2.92,0.60
1738509109.774078,31.6,4.92,0.00,2.94,0.59
1738509109.874011,31.6,4.92,0.00,2.94,0.60
1738509109.974038,31.6,4.92,0.00,2.94,0.60
1738509110.074044,31.6,4.92,0.00,2.94,0.60
1738509110.173991,31.6,4.92,0.00,2.94,0.60
1738509110.273944,31.6,4.92,0.00,2.94,0.60
1738509110.374010,31.6,4.92,0.00,2.92,0.59
1738509110.473844,31.6,4.92,0.00,2.94,0.59
1738509110.573899,31.6,4.92,0.00,2.94,0.60
1738509110.673900,31.6,4.92,0.00,2.94,0.60
1738509110.773881,31.6,4.92,0.00,2.94,0.60
1738509110.873845,31.6,4.92,0.00,2.94,0.60
1738509110.973803,31.6,4.92,0.00,2.92,0.60
1738509111.073759,31.6,4.92,0.00,2.92,0.60
1738509111.173765,31.6,4.92,0.00,2.94,0.59
