timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508099.186213,35.1,4.96,0.00,2.62,0.53
1738508099.286510,29.8,4.96,0.00,2.62,0.53
1738508099.386565,29.8,4.96,0.00,2.58,0.53
1738508099.486634,29.8,4.96,0.00,2.62,0.53
1738508099.586677,29.8,4.96,0.00,2.62,0.53
1738508099.686602,29.8,4.96,0.00,2.62,0.53
1738508099.786618,29.8,4.96,0.00,2.62,0.53
1738508099.886604,29.8,4.96,0.00,2.58,0.53
1738508099.986436,29.8,4.96,0.00,2.62,0.53
1738508100.086629,28.9,4.96,0.00,2.62,0.53
1738508100.186593,28.9,4.96,0.00,2.62,0.53
1738508100.286605,28.9,4.96,0.00,2.62,0.53
1738508100.386676,28.9,4.96,0.00,2.62,0.53
1738508100.486849,28.9,4.96,0.00,2.62,0.52
1738508100.586427,28.9,4.96,0.00,2.62,0.53
1738508100.687672,28.9,4.96,0.00,2.62,0.53
1738508100.786451,28.9,4.96,0.00,2.62,0.53
1738508100.886682,27.2,4.96,0.00,2.62,0.54
1738508100.986464,27.2,4.96,0.00,2.62,0.52
1738508101.086698,27.2,4.96,0.00,2.58,0.53
1738508101.186601,27.2,4.96,0.00,2.62,0.53
1738508101.286529,27.2,4.96,0.00,2.62,0.53
1738508101.386588,27.2,4.96,0.00,2.62,0.53
1738508101.486630,27.2,4.96,0.00,2.58,0.53
1738508101.586661,27.2,4.96,0.00,2.62,0.53
1738508101.686389,27.2,4.96,0.00,2.58,0.52
1738508101.786428,27.2,4.96,0.00,2.62,0.53
1738508101.886432,27.2,4.96,0.00,2.62,0.52
1738508101.986427,27.2,4.96,0.00,2.62,0.53
1738508102.086614,27.2,4.96,0.00,2.58,0.53
1738508102.186437,27.2,4.96,0.00,2.62,0.53
1738508102.286637,27.2,4.96,0.00,2.68,0.52
1738508102.386539,27.2,4.96,0.00,2.62,0.53
1738508102.486646,27.2,4.96,0.00,2.62,0.53
1738508102.586634,27.2,4.96,0.00,2.62,0.53
1738508102.686726,27.2,4.96,0.00,2.62,0.52
1738508102.786528,27.2,4.96,0.00,2.62,0.53
1738508102.886644,27.2,4.96,0.00,2.62,0.53
1738508102.986401,27.2,4.96,0.00,2.62,0.53
1738508103.086684,27.2,4.96,0.00,2.62,0.53
1738508103.186620,27.2,4.96,0.00,2.58,0.52
1738508103.286606,27.2,4.96,0.00,2.62,0.53
1738508103.386618,27.2,4.96,0.00,2.62,0.53
1738508103.486677,27.2,4.96,0.00,2.58,0.53
1738508103.586576,27.2,4.96,0.00,2.62,0.53
1738508103.686612,27.2,4.96,0.00,2.62,0.53
1738508103.786634,27.2,4.96,0.00,2.62,0.53
1738508103.886657,27.2,4.96,0.00,2.62,0.53
1738508103.986466,27.2,4.96,0.00,2.62,0.53
1738508104.086593,27.2,4.96,0.00,2.62,0.53
1738508104.186632,27.2,4.96,0.00,2.62,0.53
1738508104.286638,26.3,4.96,0.00,2.62,0.53
1738508104.386582,26.3,4.96,0.00,2.62,0.53
1738508104.486628,26.3,4.96,0.00,2.62,0.53
1738508104.586619,26.3,4.96,0.00,2.62,0.53
1738508104.686688,26.3,4.96,0.00,2.62,0.53
1738508104.786717,26.3,4.96,0.00,2.62,0.53
1738508104.886652,26.3,4.96,0.00,2.62,0.53
1738508104.986463,26.3,4.96,0.00,2.62,0.53
1738508105.086690,27.2,4.96,0.00,2.62,0.53
1738508105.186581,27.2,4.96,0.00,2.62,0.53
1738508105.286571,27.2,4.96,0.00,2.62,0.53
1738508105.386612,27.2,4.96,0.00,2.62,0.53
1738508105.486655,27.2,4.96,0.00,2.58,0.53
1738508105.586620,27.2,4.96,0.00,2.58,0.53
1738508105.686636,27.2,4.96,0.00,2.62,0.53
1738508105.786663,27.2,4.96,0.00,2.62,0.53
1738508105.886640,27.2,4.96,0.00,2.62,0.53
1738508105.986517,26.3,4.96,0.00,2.62,0.53
1738508106.086612,26.3,4.96,0.00,2.62,0.53
1738508106.186667,26.3,4.96,0.00,2.62,0.53
1738508106.286608,26.3,4.96,0.00,2.62,0.53
1738508106.386638,26.3,4.96,0.00,2.62,0.53
1738508106.486473,26.3,4.96,0.00,2.62,0.53
1738508106.586496,26.3,4.96,0.00,2.62,0.53
1738508106.686591,26.3,4.96,0.00,2.58,0.53
1738508106.786635,26.3,4.96,0.00,2.62,0.53
1738508106.886613,26.3,4.96,0.00,2.62,0.53
1738508106.986616,26.3,4.96,0.00,2.62,0.53
1738508107.086784,26.3,4.96,0.00,2.62,0.53
1738508107.186576,26.3,4.96,0.00,2.62,0.53
1738508107.286353,26.3,4.96,0.00,2.62,0.53
