timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508176.767761,30.7,4.92,0.00,2.92,0.59
1738508176.869327,30.7,4.92,0.00,2.92,0.59
1738508176.969642,30.7,4.93,0.00,2.92,0.59
1738508177.071253,30.7,4.92,0.00,2.92,0.60
1738508177.172795,30.7,4.92,0.00,2.92,0.60
1738508177.274357,31.6,4.92,0.00,2.92,0.59
1738508177.375923,31.6,4.92,0.00,2.92,0.60
1738508177.477485,31.6,4.92,0.00,2.92,0.60
1738508177.579014,31.6,4.92,0.00,2.92,0.60
1738508177.680596,31.6,4.92,0.00,2.92,0.60
1738508177.782285,31.6,4.92,0.00,2.92,0.59
1738508177.883819,31.6,4.92,0.00,2.92,0.60
1738508177.985472,31.6,4.92,0.00,2.94,0.60
1738508178.087036,31.6,4.92,0.00,2.92,0.59
1738508178.188627,31.6,4.92,0.00,2.92,0.60
1738508178.290197,31.6,4.92,0.00,2.92,0.59
1738508178.391769,31.6,4.92,0.00,2.92,0.60
1738508178.493379,31.6,4.92,0.00,2.94,0.59
1738508178.594695,31.6,4.92,0.00,2.94,0.59
1738508178.696560,31.6,4.92,0.00,2.92,0.59
1738508178.797949,31.6,4.92,0.00,2.92,0.59
1738508178.899693,31.6,4.92,0.00,2.92,0.59
1738508179.000958,31.6,4.92,0.00,2.94,0.59
1738508179.102894,31.6,4.92,0.00,2.92,0.59
1738508179.204325,31.6,4.93,0.00,2.92,0.59
1738508179.305930,31.6,4.92,0.00,2.92,0.59
1738508179.407571,31.6,4.92,0.00,2.92,0.59
1738508179.509083,31.6,4.92,0.00,2.92,0.59
1738508179.610587,31.6,4.92,0.00,2.92,0.59
1738508179.712311,31.6,4.92,0.00,2.92,0.60
1738508179.813907,30.7,4.93,0.00,2.92,0.59
1738508179.915503,30.7,4.92,0.00,2.92,0.59
1738508180.017049,30.7,4.92,0.00,2.92,0.59
1738508180.118657,30.7,4.93,0.00,2.94,0.59
1738508180.220163,30.7,4.92,0.00,2.92,0.59
1738508180.321867,30.7,4.92,0.00,2.92,0.59
1738508180.423406,30.7,4.93,0.00,2.94,0.59
1738508180.524937,30.7,4.92,0.00,2.92,0.60
1738508180.626612,30.7,4.92,0.00,2.92,0.59
1738508180.728163,30.7,4.92,0.00,2.94,0.60
1738508180.829441,30.7,4.92,0.00,2.92,0.59
1738508180.929596,30.7,4.92,0.00,2.92,0.59
1738508181.031175,30.7,4.92,0.00,2.92,0.60
1738508181.132731,30.7,4.92,0.00,2.94,0.60
1738508181.234401,30.7,4.93,0.00,2.92,0.59
1738508181.335747,30.7,4.92,0.00,2.92,0.59
1738508181.437538,31.6,4.93,0.00,2.92,0.59
1738508181.539124,31.6,4.92,0.00,2.94,0.60
1738508181.639188,31.6,4.92,0.00,2.92,0.59
1738508181.740615,31.6,4.92,0.00,2.92,0.59
1738508181.842279,31.6,4.93,0.00,2.92,0.59
1738508181.943811,31.6,4.92,0.00,2.92,0.59
1738508182.045457,31.6,4.92,0.00,2.92,0.60
1738508182.147009,31.6,4.92,0.00,2.92,0.59
1738508182.248511,31.6,4.92,0.00,2.92,0.59
1738508182.350124,31.6,4.92,0.00,2.92,0.59
1738508182.451594,31.6,4.92,0.00,2.92,0.60
1738508182.553318,31.6,4.92,0.00,2.92,0.59
1738508182.654951,31.6,4.92,0.00,2.92,0.59
1738508182.756450,31.6,4.92,0.00,2.92,0.59
1738508182.858074,31.6,4.92,0.00,2.92,0.59
1738508182.959495,31.6,4.92,0.00,2.92,0.60
1738508183.061131,31.6,4.92,0.00,2.92,0.60
1738508183.162632,31.6,4.92,0.00,2.92,0.59
1738508183.264418,31.6,4.92,0.00,2.92,0.60
1738508183.365930,31.6,4.92,0.00,2.92,0.59
1738508183.467719,31.6,4.92,0.00,2.92,0.60
1738508183.569131,31.6,4.93,0.00,2.92,0.59
1738508183.670718,31.6,4.92,0.00,2.92,0.59
1738508183.772217,31.6,4.92,0.00,2.92,0.59
1738508183.873863,31.6,4.92,0.00,2.92,0.60
1738508183.975404,31.6,4.93,0.00,2.94,0.59
1738508184.076995,31.6,4.92,0.00,2.92,0.60
1738508184.178633,31.6,4.92,0.00,2.94,0.60
1738508184.280182,31.6,4.92,0.00,2.92,0.60
1738508184.381817,31.6,4.93,0.00,2.92,0.59
1738508184.483357,31.6,4.92,0.00,2.92,0.59
1738508184.584911,31.6,4.92,0.00,2.92,0.60
1738508184.686327,31.6,4.92,0.00,2.92,0.59
1738508184.788117,30.7,4.92,0.00,2.92,0.59
1738508184.889635,30.7,4.92,0.00,2.94,0.59
1738508184.991243,30.7,4.93,0.00,2.92,0.59
1738508185.092696,30.7,4.92,0.00,2.92,0.59
1738508185.194443,30.7,4.92,0.00,2.92,0.59
1738508185.295929,30.7,4.92,0.00,2.92,0.59
1738508185.397644,30.7,4.92,0.00,2.92,0.59
1738508185.499139,30.7,4.92,0.00,2.94,0.59
1738508185.600769,30.7,4.92,0.00,2.92,0.59
1738508185.702347,31.6,4.92,0.00,2.92,0.59
1738508185.803983,31.6,4.92,0.00,2.94,0.60
1738508185.905367,31.6,4.92,0.00,2.92,0.59
1738508186.006952,31.6,4.92,0.00,2.92,0.59
1738508186.108623,31.6,4.92,0.00,2.92,0.60
1738508186.210186,31.6,4.92,0.00,2.92,0.60
1738508186.311769,31.6,4.92,0.00,2.92,0.59
1738508186.413286,31.6,4.93,0.00,2.92,0.59
1738508186.514879,31.6,4.92,0.00,2.92,0.59
1738508186.616344,31.6,4.92,0.00,2.94,0.59
1738508186.718023,31.6,4.92,0.00,2.92,0.59
1738508186.819578,31.6,4.92,0.00,2.92,0.59
1738508186.921278,31.6,4.92,0.00,2.92,0.59
1738508187.022868,31.6,4.92,0.00,2.92,0.60
1738508187.124488,31.6,4.92,0.00,2.92,0.59
1738508187.225819,31.6,4.92,0.00,2.94,0.60
1738508187.327490,31.6,4.92,0.00,2.92,0.59
