timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508193.555894,32.5,4.93,0.00,2.92,0.59
1738508193.655853,32.5,4.92,0.00,2.92,0.59
1738508193.755778,32.5,4.93,0.00,2.92,0.59
1738508193.855703,32.5,4.93,0.00,2.92,0.59
1738508193.955890,32.5,4.93,0.00,2.92,0.59
1738508194.056042,30.7,4.92,0.00,2.92,0.59
1738508194.155971,30.7,4.93,0.00,2.86,0.59
1738508194.255927,30.7,4.93,0.00,2.92,0.60
1738508194.356005,30.7,4.93,0.00,2.92,0.59
1738508194.455863,30.7,4.92,0.00,2.92,0.59
1738508194.555980,30.7,4.93,0.00,2.92,0.59
1738508194.655925,30.7,4.93,0.00,2.92,0.59
1738508194.756003,30.7,4.93,0.00,2.92,0.59
1738508194.855982,30.7,4.93,0.00,2.92,0.60
1738508194.955957,30.7,4.92,0.00,2.92,0.59
1738508195.055857,30.7,4.93,0.00,2.92,0.59
1738508195.155994,30.7,4.92,0.00,2.92,0.60
1738508195.255918,30.7,4.93,0.00,2.92,0.59
1738508195.356042,30.7,4.92,0.00,2.92,0.59
1738508195.455959,30.7,4.93,0.00,2.92,0.59
1738508195.555938,30.7,4.93,0.00,2.92,0.59
1738508195.655877,30.7,4.92,0.00,2.92,0.59
1738508195.755990,30.7,4.93,0.00,2.92,0.59
1738508195.855960,30.7,4.93,0.00,2.92,0.59
1738508195.955909,30.7,4.92,0.00,2.92,0.59
1738508196.055957,30.7,4.93,0.00,2.92,0.59
1738508196.155835,30.7,4.92,0.00,2.94,0.60
1738508196.255927,30.7,4.93,0.00,2.92,0.59
1738508196.356015,30.7,4.92,0.00,2.92,0.60
1738508196.456024,30.7,4.93,0.00,2.92,0.59
1738508196.555782,30.7,4.93,0.00,2.92,0.60
1738508196.655936,30.7,4.93,0.00,2.92,0.59
1738508196.755975,30.7,4.93,0.00,2.92,0.59
1738508196.855983,30.7,4.93,0.00,2.92,0.59
1738508196.955780,30.7,4.93,0.00,2.92,0.60
1738508197.055943,30.7,4.92,0.00,2.92,0.59
1738508197.155720,30.7,4.92,0.00,2.92,0.59
1738508197.255948,30.7,4.93,0.00,2.92,0.59
1738508197.355941,30.7,4.92,0.00,2.92,0.59
1738508197.455773,30.7,4.92,0.00,2.94,0.60
