timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509291.561117,36.0,4.96,0.00,2.58,0.52
1738509291.661073,36.0,4.96,0.00,2.62,0.53
1738509291.761106,36.0,4.96,0.00,2.58,0.53
1738509291.861107,36.0,4.96,0.00,2.62,0.53
1738509291.961082,36.0,4.96,0.00,2.58,0.53
1738509292.061094,30.7,4.96,0.00,2.58,0.52
1738509292.160996,30.7,4.96,0.00,2.58,0.52
1738509292.261062,30.7,4.96,0.00,2.58,0.52
1738509292.360972,30.7,4.96,0.00,2.58,0.53
1738509292.461001,30.7,4.96,0.00,2.58,0.53
1738509292.561080,30.7,4.96,0.00,2.62,0.52
1738509292.661070,30.7,4.96,0.00,2.58,0.52
1738509292.761105,30.7,4.96,0.00,2.58,0.53
1738509292.861078,30.7,4.96,0.00,2.58,0.52
1738509292.961091,28.9,4.96,0.00,2.58,0.53
1738509293.061106,28.9,4.96,0.00,2.62,0.52
1738509293.161065,28.9,4.96,0.00,2.58,0.52
1738509293.261090,28.9,4.97,0.00,2.62,0.52
1738509293.361001,28.9,4.96,0.00,2.58,0.53
1738509293.461038,28.9,4.96,0.00,2.58,0.52
1738509293.561059,28.9,4.96,0.00,2.62,0.52
1738509293.661124,28.9,4.96,0.00,2.62,0.53
1738509293.761108,28.9,4.96,0.00,2.58,0.52
1738509293.861090,28.9,4.96,0.00,2.58,0.53
1738509293.961133,28.9,4.96,0.00,2.58,0.53
1738509294.061081,28.9,4.96,0.00,2.58,0.53
1738509294.161082,28.9,4.96,0.00,2.62,0.53
1738509294.261097,28.9,4.96,0.00,2.58,0.53
1738509294.361084,28.9,4.96,0.00,2.58,0.52
1738509294.461111,28.9,4.96,0.00,2.62,0.53
1738509294.561073,28.9,4.96,0.00,2.62,0.53
1738509294.661019,28.9,4.96,0.00,2.58,0.52
1738509294.760787,28.9,4.96,0.00,2.58,0.52
1738509294.861034,28.9,4.96,0.00,2.62,0.52
1738509294.960980,28.9,4.96,0.00,2.58,0.53
1738509295.061483,28.9,4.96,0.00,2.62,0.53
1738509295.161064,28.9,4.96,0.00,2.58,0.52
1738509295.260965,28.9,4.96,0.00,2.62,0.53
1738509295.360782,28.9,4.96,0.00,2.62,0.53
1738509295.461057,28.9,4.96,0.00,2.62,0.53
1738509295.561010,28.9,4.96,0.00,2.58,0.53
1738509295.661035,28.9,4.96,0.00,2.58,0.52
1738509295.760979,28.9,4.97,0.00,2.58,0.52
