timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508369.284658,34.2,4.96,0.00,2.62,0.53
1738508369.384685,30.7,4.96,0.00,2.62,0.54
1738508369.484710,30.7,4.96,0.00,2.68,0.53
1738508369.584707,30.7,4.96,0.00,2.62,0.53
1738508369.684693,30.7,4.96,0.00,2.62,0.53
1738508369.784722,30.7,4.96,0.00,2.62,0.53
1738508369.884694,30.7,4.96,0.00,2.62,0.53
1738508369.984691,30.7,4.96,0.00,2.62,0.53
1738508370.084700,30.7,4.96,0.00,2.62,0.53
1738508370.184690,28.9,4.96,0.00,2.68,0.53
1738508370.284694,28.9,4.96,0.00,2.62,0.53
1738508370.384690,28.9,4.96,0.00,2.62,0.53
1738508370.484701,28.9,4.96,0.00,2.62,0.53
1738508370.584689,28.9,4.96,0.00,2.62,0.53
1738508370.685653,28.9,4.96,0.00,2.62,0.54
1738508370.784731,28.9,4.96,0.00,2.62,0.53
1738508370.884681,28.9,4.96,0.00,2.62,0.54
1738508370.984724,28.9,4.96,0.00,2.62,0.53
1738508371.084780,28.1,4.96,0.00,2.62,0.53
1738508371.184728,28.1,4.96,0.00,2.62,0.53
1738508371.284692,28.1,4.96,0.00,2.62,0.53
1738508371.384708,28.1,4.96,0.00,2.62,0.53
1738508371.484728,28.1,4.96,0.00,2.62,0.53
1738508371.584585,28.1,4.96,0.00,2.62,0.53
1738508371.684578,28.1,4.96,0.00,2.62,0.53
1738508371.784752,28.1,4.96,0.00,2.62,0.54
1738508371.885131,28.1,4.96,0.00,2.62,0.53
1738508371.984737,28.1,4.96,0.00,2.62,0.53
1738508372.084708,28.1,4.96,0.00,2.62,0.53
1738508372.184749,28.1,4.96,0.00,2.68,0.54
1738508372.284706,28.1,4.96,0.00,2.62,0.54
1738508372.384547,28.1,4.96,0.00,2.62,0.53
1738508372.484666,28.1,4.96,0.00,2.62,0.53
1738508372.584748,28.1,4.96,0.00,2.68,0.53
1738508372.684697,28.1,4.96,0.00,2.62,0.53
1738508372.784732,28.1,4.96,0.00,2.62,0.54
1738508372.884675,28.1,4.96,0.00,2.62,0.53
1738508372.984694,28.1,4.96,0.00,2.68,0.53
1738508373.084750,28.1,4.96,0.00,2.62,0.53
1738508373.184729,28.1,4.96,0.00,2.62,0.53
1738508373.284777,28.1,4.96,0.00,2.62,0.53
1738508373.384744,28.1,4.96,0.00,2.62,0.53
1738508373.484730,28.1,4.96,0.00,2.62,0.53
1738508373.584597,28.1,4.96,0.00,2.62,0.53
1738508373.684717,28.1,4.96,0.00,2.62,0.53
1738508373.784773,28.1,4.96,0.00,2.68,0.53
1738508373.884755,28.1,4.96,0.00,2.62,0.53
1738508373.984729,28.1,4.96,0.00,2.62,0.53
1738508374.084704,28.1,4.96,0.00,2.62,0.53
