timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508507.468435,35.1,4.96,0.00,2.62,0.53
1738508507.568862,35.1,4.96,0.00,2.62,0.53
1738508507.668870,35.1,4.96,0.00,2.62,0.53
1738508507.768856,29.8,4.96,0.00,2.62,0.53
1738508507.868694,29.8,4.96,0.00,2.62,0.53
1738508507.968879,29.8,4.96,0.00,2.62,0.53
1738508508.068866,29.8,4.96,0.00,2.62,0.53
1738508508.168887,29.8,4.96,0.00,2.68,0.53
1738508508.268812,29.8,4.96,0.00,2.62,0.54
1738508508.368859,29.8,4.96,0.00,2.62,0.53
1738508508.468823,29.8,4.96,0.00,2.68,0.53
1738508508.568840,29.8,4.96,0.00,2.62,0.53
1738508508.668888,29.8,4.96,0.00,2.62,0.53
1738508508.768889,29.8,4.96,0.00,2.62,0.53
1738508508.868926,29.8,4.96,0.00,2.62,0.53
1738508508.968881,29.8,4.96,0.00,2.62,0.53
1738508509.068886,29.8,4.96,0.00,2.62,0.53
1738508509.168855,29.8,4.96,0.00,2.68,0.53
1738508509.268777,29.8,4.96,0.00,2.62,0.53
1738508509.368804,29.8,4.96,0.00,2.62,0.53
1738508509.468591,28.9,4.96,0.00,2.62,0.54
1738508509.568860,28.9,4.96,0.00,2.62,0.54
1738508509.668868,28.9,4.96,0.00,2.62,0.53
1738508509.768855,28.9,4.96,0.00,2.58,0.53
1738508509.868733,28.9,4.96,0.00,2.62,0.53
1738508509.968880,28.9,4.96,0.00,2.68,0.54
1738508510.068873,28.9,4.96,0.00,2.62,0.54
1738508510.168896,28.9,4.96,0.00,2.62,0.53
1738508510.268874,28.1,4.96,0.00,2.68,0.53
1738508510.368845,28.1,4.96,0.00,2.62,0.53
1738508510.468832,28.1,4.96,0.00,2.62,0.53
1738508510.568866,28.1,4.96,0.00,2.62,0.54
1738508510.668728,28.1,4.96,0.00,2.62,0.54
1738508510.768897,28.1,4.96,0.00,2.62,0.53
1738508510.868905,28.1,4.96,0.00,2.68,0.53
1738508510.968885,28.1,4.96,0.00,2.62,0.53
1738508511.068914,28.1,4.96,0.00,2.62,0.53
1738508511.168602,28.1,4.96,0.00,2.62,0.53
1738508511.268816,28.1,4.96,0.00,2.62,0.53
1738508511.368891,28.1,4.96,0.00,2.62,0.54
1738508511.468911,28.1,4.96,0.00,2.68,0.53
1738508511.568771,28.1,4.96,0.00,2.62,0.53
1738508511.668863,28.1,4.96,0.00,2.62,0.54
1738508511.768873,28.1,4.96,0.00,2.62,0.53
1738508511.868906,28.1,4.96,0.00,2.62,0.53
1738508511.968873,28.1,4.96,0.00,2.62,0.53
1738508512.068909,28.1,4.96,0.00,2.62,0.53
1738508512.168887,28.1,4.96,0.00,2.62,0.54
1738508512.268855,28.1,4.96,0.00,2.62,0.53
1738508512.368854,28.1,4.96,0.00,2.62,0.53
1738508512.468918,28.1,4.96,0.00,2.62,0.53
1738508512.568901,28.1,4.96,0.00,2.62,0.53
1738508512.668867,28.1,4.96,0.00,2.62,0.53
1738508512.768892,28.1,4.96,0.00,2.62,0.53
1738508512.868795,28.1,4.96,0.00,2.62,0.53
1738508512.968893,28.1,4.96,0.00,2.68,0.53
1738508513.068878,28.1,4.96,0.00,2.62,0.53
1738508513.168876,28.1,4.96,0.00,2.68,0.54
1738508513.268920,28.1,4.96,0.00,2.62,0.54
1738508513.368877,28.1,4.96,0.00,2.62,0.54
1738508513.468878,28.1,4.96,0.00,2.62,0.53
1738508513.568875,28.1,4.96,0.00,2.62,0.54
1738508513.668888,28.1,4.96,0.00,2.62,0.53
1738508513.768912,28.1,4.96,0.00,2.62,0.54
1738508513.868918,28.1,4.96,0.00,2.62,0.53
1738508513.968874,28.1,4.96,0.00,2.62,0.53
1738508514.068895,28.1,4.96,0.00,2.62,0.53
1738508514.168902,28.1,4.96,0.00,2.62,0.54
1738508514.268662,28.1,4.96,0.00,2.68,0.53
1738508514.368886,28.1,4.96,0.00,2.62,0.54
1738508514.468842,28.1,4.96,0.00,2.62,0.53
1738508514.568844,28.1,4.96,0.00,2.62,0.53
1738508514.668898,28.1,4.96,0.00,2.62,0.54
