timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508917.711012,35.1,4.96,0.00,2.62,0.54
1738508917.811266,35.1,4.96,0.00,2.68,0.53
1738508917.911406,35.1,4.96,0.00,2.62,0.53
1738508918.011392,30.7,4.96,0.00,2.68,0.53
1738508918.111485,30.7,4.96,0.00,2.68,0.54
1738508918.211399,30.7,4.96,0.00,2.68,0.53
1738508918.311467,30.7,4.96,0.00,2.62,0.54
1738508918.411408,30.7,4.96,0.00,2.62,0.54
1738508918.511458,30.7,4.96,0.00,2.62,0.53
1738508918.611468,30.7,4.96,0.00,2.68,0.53
1738508918.711455,30.7,4.96,0.00,2.68,0.54
1738508918.811348,28.9,4.96,0.00,2.62,0.54
1738508918.911399,28.9,4.96,0.00,2.68,0.53
1738508919.011448,28.9,4.96,0.00,2.68,0.54
1738508919.111372,28.9,4.96,0.00,2.68,0.54
1738508919.211449,28.9,4.96,0.00,2.62,0.53
1738508919.311467,28.9,4.96,0.00,2.68,0.54
1738508919.411455,28.9,4.96,0.00,2.68,0.54
1738508919.511445,28.9,4.96,0.00,2.62,0.54
1738508919.611420,28.9,4.96,0.00,2.62,0.53
1738508919.711426,28.9,4.96,0.00,2.68,0.54
1738508919.811362,28.9,4.96,0.00,2.62,0.54
1738508919.911442,28.9,4.96,0.00,2.62,0.54
1738508920.011449,28.9,4.96,0.00,2.68,0.54
1738508920.111398,28.9,4.96,0.00,2.68,0.54
1738508920.211452,28.9,4.96,0.00,2.62,0.53
1738508920.311326,28.9,4.96,0.00,2.62,0.54
1738508920.411363,28.9,4.96,0.00,2.62,0.54
1738508920.511462,28.1,4.96,0.00,2.62,0.54
1738508920.611502,28.1,4.96,0.00,2.62,0.54
1738508920.711437,28.1,4.96,0.00,2.68,0.54
1738508920.811475,28.1,4.96,0.00,2.62,0.53
1738508920.911535,28.1,4.96,0.00,2.68,0.54
1738508921.011356,28.1,4.96,0.00,2.68,0.54
1738508921.111456,28.1,4.96,0.00,2.62,0.54
1738508921.211471,28.1,4.96,0.00,2.62,0.53
1738508921.311496,28.9,4.96,0.00,2.68,0.54
1738508921.411516,28.9,4.96,0.00,2.68,0.54
1738508921.511422,28.9,4.96,0.00,2.62,0.54
1738508921.611435,28.9,4.96,0.00,2.62,0.53
1738508921.711471,28.9,4.96,0.00,2.62,0.53
1738508921.811469,28.9,4.96,0.00,2.62,0.54
1738508921.911450,28.9,4.96,0.00,2.62,0.53
1738508922.011382,28.9,4.96,0.00,2.68,0.54
1738508922.111467,28.9,4.96,0.00,2.68,0.53
1738508922.211498,28.1,4.96,0.00,2.62,0.54
1738508922.311497,28.1,4.96,0.00,2.68,0.53
1738508922.411431,28.1,4.96,0.00,2.62,0.53
1738508922.511556,28.1,4.96,0.00,2.62,0.54
1738508922.611445,28.1,4.96,0.00,2.62,0.54
1738508922.711499,28.1,4.96,0.00,2.68,0.53
1738508922.811461,28.1,4.96,0.00,2.62,0.54
1738508922.911398,28.1,4.96,0.00,2.68,0.54
1738508923.011467,28.9,4.96,0.00,2.62,0.54
1738508923.111480,28.9,4.96,0.00,2.62,0.53
1738508923.211594,28.9,4.96,0.00,2.62,0.53
1738508923.311436,28.9,4.96,0.00,2.62,0.53
1738508923.411462,28.9,4.96,0.00,2.68,0.54
1738508923.511492,28.9,4.96,0.00,2.62,0.54
1738508923.611458,28.9,4.96,0.00,2.68,0.54
1738508923.711470,28.9,4.96,0.00,2.62,0.54
1738508923.811433,28.1,4.96,0.00,2.62,0.54
1738508923.911311,28.1,4.96,0.00,2.68,0.54
1738508924.011493,28.1,4.96,0.00,2.62,0.54
1738508924.111487,28.1,4.96,0.00,2.68,0.54
1738508924.211351,28.1,4.96,0.00,2.68,0.54
1738508924.311440,28.1,4.96,0.00,2.62,0.54
1738508924.411461,28.1,4.96,0.00,2.62,0.54
1738508924.511461,28.1,4.96,0.00,2.62,0.54
1738508924.611467,28.1,4.96,0.00,2.68,0.54
1738508924.711474,27.2,4.96,0.00,2.68,0.53
1738508924.811533,27.2,4.96,0.00,2.62,0.54
1738508924.911401,27.2,4.96,0.00,2.62,0.54
1738508925.011439,27.2,4.96,0.00,2.62,0.54
1738508925.111458,27.2,4.96,0.00,2.68,0.54
1738508925.211483,27.2,4.96,0.00,2.68,0.54
1738508925.311550,27.2,4.96,0.00,2.62,0.54
1738508925.411509,27.2,4.96,0.00,2.62,0.53
1738508925.511456,28.1,4.96,0.00,2.62,0.54
1738508925.611450,28.1,4.96,0.00,2.68,0.53
1738508925.711456,28.1,4.96,0.00,2.68,0.54
1738508925.811441,28.1,4.96,0.00,2.62,0.54
1738508925.911444,28.1,4.96,0.00,2.62,0.54
1738508926.011439,28.1,4.96,0.00,2.62,0.54
1738508926.111508,28.1,4.96,0.00,2.62,0.54
1738508926.211460,28.1,4.96,0.00,2.62,0.54
1738508926.311385,28.1,4.96,0.00,2.68,0.54
1738508926.411447,28.1,4.96,0.00,2.68,0.54
1738508926.511494,28.1,4.96,0.00,2.68,0.54
1738508926.611496,28.1,4.96,0.00,2.68,0.53
1738508926.711545,28.1,4.96,0.00,2.68,0.54
1738508926.811492,28.1,4.96,0.00,2.68,0.54
1738508926.911486,28.1,4.96,0.00,2.62,0.53
1738508927.011463,28.1,4.96,0.00,2.68,0.54
1738508927.111491,28.1,4.96,0.00,2.68,0.53
1738508927.211461,28.1,4.96,0.00,2.68,0.53
1738508927.311212,28.1,4.96,0.00,2.62,0.54
1738508927.411500,28.1,4.96,0.00,2.68,0.54
1738508927.511249,28.1,4.96,0.00,2.62,0.54
1738508927.611531,28.1,4.96,0.00,2.68,0.54
1738508927.711487,28.1,4.96,0.00,2.68,0.54
1738508927.811423,28.1,4.96,0.00,2.62,0.54
1738508927.911451,28.1,4.96,0.00,2.62,0.53
1738508928.011439,28.1,4.96,0.00,2.62,0.53
1738508928.111492,28.1,4.96,0.00,2.68,0.54
1738508928.211463,28.1,4.96,0.00,2.68,0.54
1738508928.311469,28.1,4.96,0.00,2.62,0.53
1738508928.411514,28.1,4.96,0.00,2.68,0.54
1738508928.511482,28.1,4.96,0.00,2.68,0.54
1738508928.611521,28.1,4.96,0.00,2.68,0.54
1738508928.711483,28.1,4.96,0.00,2.68,0.53
1738508928.811475,28.1,4.96,0.00,2.62,0.53
1738508928.911517,27.2,4.96,0.00,2.62,0.53
1738508929.011486,27.2,4.96,0.00,2.68,0.54
1738508929.111470,27.2,4.96,0.00,2.62,0.53
1738508929.211467,27.2,4.96,0.00,2.68,0.54
1738508929.311510,27.2,4.96,0.00,2.68,0.54
1738508929.411460,27.2,4.96,0.00,2.62,0.53
1738508929.511428,27.2,4.96,0.00,2.68,0.54
1738508929.611471,27.2,4.96,0.00,2.62,0.53
1738508929.711490,27.2,4.96,0.00,2.62,0.53
1738508929.811431,27.2,4.96,0.00,2.68,0.53
