timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509371.552729,32.5,4.94,0.00,2.82,0.57
1738509371.654364,32.5,4.94,0.00,2.82,0.56
1738509371.756287,32.5,4.94,0.00,2.82,0.57
1738509371.857630,32.5,4.94,0.00,2.82,0.56
1738509371.959474,32.5,4.94,0.00,2.82,0.57
1738509372.061069,32.5,4.94,0.00,2.82,0.57
1738509372.162449,32.5,4.94,0.00,2.76,0.57
1738509372.264203,32.5,4.94,0.00,2.76,0.57
1738509372.365753,32.5,4.94,0.00,2.76,0.57
1738509372.467340,32.5,4.94,0.00,2.76,0.57
1738509372.568967,32.5,4.94,0.00,2.82,0.57
1738509372.670546,31.6,4.94,0.00,2.76,0.57
1738509372.772108,31.6,4.94,0.00,2.82,0.56
1738509372.873733,31.6,4.94,0.00,2.82,0.57
1738509372.975225,31.6,4.94,0.00,2.76,0.57
1738509373.076943,31.6,4.94,0.00,2.76,0.56
1738509373.178109,31.6,4.94,0.00,2.82,0.57
1738509373.279808,31.6,4.94,0.00,2.76,0.57
1738509373.381550,31.6,4.94,0.00,2.76,0.57
1738509373.483163,31.6,4.94,0.00,2.82,0.57
1738509373.584738,31.6,4.94,0.00,2.76,0.57
1738509373.686247,31.6,4.94,0.00,2.82,0.56
1738509373.787702,31.6,4.94,0.00,2.76,0.57
1738509373.889597,31.6,4.94,0.00,2.76,0.57
1738509373.990902,31.6,4.94,0.00,2.82,0.57
1738509374.092503,31.6,4.94,0.00,2.82,0.57
1738509374.194033,31.6,4.94,0.00,2.82,0.57
1738509374.295625,30.7,4.94,0.00,2.76,0.56
1738509374.397029,30.7,4.94,0.00,2.82,0.57
1738509374.498957,30.7,4.94,0.00,2.82,0.57
1738509374.600562,30.7,4.94,0.00,2.76,0.57
1738509374.702050,30.7,4.94,0.00,2.82,0.57
1738509374.803731,30.7,4.94,0.00,2.82,0.56
1738509374.905174,30.7,4.94,0.00,2.82,0.57
1738509375.006890,30.7,4.94,0.00,2.82,0.57
1738509375.108503,31.6,4.94,0.00,2.76,0.57
1738509375.208998,31.6,4.94,0.00,2.82,0.57
1738509375.309923,31.6,4.94,0.00,2.82,0.57
1738509375.411496,31.6,4.94,0.00,2.82,0.56
1738509375.513143,31.6,4.94,0.00,2.82,0.57
1738509375.614690,31.6,4.94,0.00,2.82,0.57
1738509375.716236,31.6,4.94,0.00,2.82,0.57
1738509375.817888,31.6,4.94,0.00,2.76,0.56
1738509375.919473,31.6,4.94,0.00,2.76,0.56
1738509376.021010,31.6,4.94,0.00,2.76,0.57
1738509376.122532,31.6,4.94,0.00,2.82,0.57
1738509376.224222,31.6,4.94,0.00,2.76,0.56
1738509376.325854,31.6,4.94,0.00,2.82,0.57
1738509376.427303,31.6,4.94,0.00,2.82,0.57
1738509376.528957,31.6,4.94,0.00,2.76,0.57
1738509376.630637,31.6,4.94,0.00,2.82,0.57
1738509376.732102,31.6,4.94,0.00,2.76,0.57
1738509376.833701,30.7,4.94,0.00,2.82,0.57
1738509376.935287,30.7,4.94,0.00,2.82,0.57
1738509377.036579,30.7,4.94,0.00,2.82,0.57
1738509377.138391,30.7,4.94,0.00,2.82,0.57
1738509377.239934,30.7,4.94,0.00,2.76,0.56
1738509377.341487,30.7,4.94,0.00,2.82,0.57
1738509377.443259,30.7,4.94,0.00,2.76,0.56
1738509377.544772,30.7,4.94,0.00,2.76,0.57
1738509377.646327,30.7,4.94,0.00,2.82,0.56
1738509377.747701,30.7,4.94,0.00,2.82,0.56
1738509377.849303,30.7,4.94,0.00,2.76,0.56
1738509377.951081,30.7,4.94,0.00,2.82,0.57
1738509378.052626,30.7,4.94,0.00,2.76,0.57
1738509378.154221,30.7,4.94,0.00,2.82,0.57
1738509378.255778,30.7,4.94,0.00,2.76,0.57
1738509378.357381,30.7,4.94,0.00,2.82,0.57
1738509378.458958,30.7,4.94,0.00,2.76,0.57
1738509378.560457,30.7,4.94,0.00,2.76,0.56
1738509378.662127,30.7,4.94,0.00,2.82,0.57
1738509378.763660,30.7,4.94,0.00,2.82,0.57
1738509378.864056,30.7,4.94,0.00,2.76,0.57
1738509378.965180,30.7,4.94,0.00,2.76,0.57
1738509379.066786,30.7,4.94,0.00,2.82,0.57
1738509379.168102,30.7,4.94,0.00,2.76,0.57
1738509379.269731,30.7,4.94,0.00,2.82,0.57
1738509379.371379,30.7,4.94,0.00,2.76,0.57
1738509379.472779,30.7,4.94,0.00,2.82,0.57
1738509379.574452,30.7,4.94,0.00,2.76,0.57
1738509379.674671,30.7,4.94,0.00,2.82,0.57
1738509379.776197,30.7,4.94,0.00,2.76,0.56
1738509379.877702,30.7,4.94,0.00,2.82,0.57
1738509379.979419,30.7,4.94,0.00,2.82,0.57
1738509380.080937,30.7,4.94,0.00,2.82,0.57
1738509380.182484,30.7,4.94,0.00,2.82,0.57
1738509380.284060,30.7,4.94,0.00,2.76,0.57
1738509380.385676,30.7,4.94,0.00,2.76,0.57
1738509380.487238,30.7,4.94,0.00,2.76,0.57
1738509380.588775,30.7,4.94,0.00,2.82,0.56
1738509380.690424,30.7,4.94,0.00,2.82,0.57
1738509380.791914,30.7,4.94,0.00,2.82,0.57
1738509380.893477,30.7,4.94,0.00,2.76,0.57
1738509380.995145,30.7,4.94,0.00,2.82,0.57
1738509381.096541,30.7,4.94,0.00,2.82,0.57
1738509381.198375,30.7,4.94,0.00,2.76,0.57
1738509381.299926,30.7,4.94,0.00,2.76,0.57
1738509381.401475,30.7,4.94,0.00,2.82,0.57
1738509381.503032,30.7,4.94,0.00,2.82,0.57
1738509381.604668,30.7,4.94,0.00,2.76,0.57
1738509381.706510,30.7,4.94,0.00,2.82,0.57
1738509381.808109,30.7,4.94,0.00,2.82,0.57
1738509381.909367,30.7,4.94,0.00,2.82,0.57
1738509382.011153,30.7,4.94,0.00,2.82,0.57
1738509382.112466,30.7,4.94,0.00,2.82,0.57
1738509382.212702,30.7,4.94,0.00,2.82,0.57
1738509382.316005,30.7,4.94,0.00,2.82,0.57
1738509382.415462,30.7,4.94,0.00,2.82,0.57
1738509382.516935,30.7,4.94,0.00,2.82,0.56
1738509382.618606,30.7,4.94,0.00,2.82,0.57
1738509382.719485,30.7,4.94,0.00,2.76,0.57
1738509382.820024,30.7,4.94,0.00,2.82,0.57
1738509382.921673,30.7,4.94,0.00,2.76,0.57
1738509383.023187,30.7,4.94,0.00,2.76,0.57
1738509383.124798,30.7,4.94,0.00,2.82,0.57
1738509383.225310,30.7,4.94,0.00,2.76,0.56
1738509383.326570,30.7,4.94,0.00,2.76,0.56
1738509383.428213,30.7,4.94,0.00,2.82,0.57
1738509383.529768,31.6,4.94,0.00,2.76,0.57
1738509383.631349,31.6,4.94,0.00,2.82,0.57
1738509383.732768,31.6,4.94,0.00,2.82,0.57
