timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508455.862651,31.6,4.93,0.00,2.92,0.59
1738508455.964155,31.6,4.93,0.00,2.92,0.59
1738508456.066197,31.6,4.93,0.00,2.92,0.59
1738508456.167738,31.6,4.93,0.00,2.92,0.59
1738508456.269326,31.6,4.93,0.00,2.92,0.59
1738508456.370928,31.6,4.93,0.00,2.92,0.59
1738508456.472480,31.6,4.93,0.00,2.92,0.59
1738508456.574045,32.5,4.93,0.00,2.92,0.59
1738508456.675684,32.5,4.93,0.00,2.92,0.59
1738508456.777283,32.5,4.93,0.00,2.92,0.59
1738508456.878864,32.5,4.93,0.00,2.92,0.59
1738508456.980389,32.5,4.93,0.00,2.94,0.59
1738508457.081960,32.5,4.93,0.00,2.92,0.59
1738508457.183615,32.5,4.93,0.00,2.92,0.59
1738508457.285121,32.5,4.93,0.00,2.92,0.59
1738508457.386709,32.5,4.93,0.00,2.92,0.58
1738508457.488299,32.5,4.93,0.00,2.92,0.59
1738508457.589862,32.5,4.93,0.00,2.92,0.59
1738508457.691453,32.5,4.93,0.00,2.92,0.58
1738508457.793035,32.5,4.93,0.00,2.92,0.60
1738508457.894652,32.5,4.93,0.00,2.92,0.59
1738508457.996255,32.5,4.93,0.00,2.92,0.60
1738508458.097737,32.5,4.93,0.00,2.92,0.59
1738508458.199422,32.5,4.92,0.00,2.92,0.59
1738508458.300983,30.7,4.93,0.00,2.92,0.58
1738508458.402528,30.7,4.93,0.00,2.94,0.59
1738508458.504139,30.7,4.93,0.00,2.86,0.59
1738508458.605816,30.7,4.93,0.00,2.92,0.59
1738508458.707270,30.7,4.93,0.00,2.92,0.59
1738508458.808967,30.7,4.93,0.00,2.92,0.59
1738508458.910475,30.7,4.93,0.00,2.92,0.59
1738508459.012032,30.7,4.93,0.00,2.92,0.59
1738508459.113312,31.6,4.93,0.00,2.92,0.59
1738508459.215142,31.6,4.93,0.00,2.92,0.59
1738508459.316398,31.6,4.93,0.00,2.86,0.59
1738508459.418037,31.6,4.93,0.00,2.92,0.59
1738508459.519750,31.6,4.93,0.00,2.92,0.59
1738508459.621507,31.6,4.93,0.00,2.92,0.59
1738508459.723100,31.6,4.93,0.00,2.92,0.59
1738508459.824691,31.6,4.93,0.00,2.92,0.59
1738508459.926259,31.6,4.93,0.00,2.92,0.59
