timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508597.848456,31.6,4.93,0.00,2.92,0.59
1738508597.950150,31.6,4.93,0.00,2.92,0.59
1738508598.051798,31.6,4.93,0.00,2.92,0.60
1738508598.153405,31.6,4.93,0.00,2.92,0.59
1738508598.254960,31.6,4.93,0.00,2.92,0.59
1738508598.356242,32.5,4.93,0.00,2.86,0.59
1738508598.458101,32.5,4.93,0.00,2.92,0.58
1738508598.559682,32.5,4.93,0.00,2.86,0.59
1738508598.661259,32.5,4.93,0.00,2.92,0.59
1738508598.762797,32.5,4.93,0.00,2.92,0.59
1738508598.864395,32.5,4.93,0.00,2.92,0.59
1738508598.966080,32.5,4.93,0.00,2.92,0.59
1738508599.067742,32.5,4.93,0.00,2.92,0.59
1738508599.169171,32.5,4.93,0.00,2.92,0.59
1738508599.270767,32.5,4.93,0.00,2.92,0.59
1738508599.372298,32.5,4.93,0.00,2.92,0.59
1738508599.473908,32.5,4.93,0.00,2.92,0.59
1738508599.575518,32.5,4.93,0.00,2.92,0.59
1738508599.677023,32.5,4.93,0.00,2.94,0.59
1738508599.778643,32.5,4.93,0.00,2.92,0.59
1738508599.880241,32.5,4.93,0.00,2.92,0.59
1738508599.981778,32.5,4.93,0.00,2.92,0.59
1738508600.083415,31.6,4.93,0.00,2.92,0.59
1738508600.184982,31.6,4.93,0.00,2.92,0.59
1738508600.286563,31.6,4.93,0.00,2.92,0.60
1738508600.388255,31.6,4.93,0.00,2.92,0.59
1738508600.489774,31.6,4.93,0.00,2.92,0.59
1738508600.591219,31.6,4.93,0.00,2.92,0.59
1738508600.692886,31.6,4.93,0.00,2.92,0.59
1738508600.794523,31.6,4.93,0.00,2.92,0.59
1738508600.896029,31.6,4.93,0.00,2.92,0.59
1738508600.997670,31.6,4.92,0.00,2.92,0.59
1738508601.099157,31.6,4.93,0.00,2.92,0.59
1738508601.200808,31.6,4.93,0.00,2.92,0.59
1738508601.302178,31.6,4.93,0.00,2.92,0.59
1738508601.403990,31.6,4.93,0.00,2.92,0.59
1738508601.505478,31.6,4.92,0.00,2.92,0.59
1738508601.607190,31.6,4.93,0.00,2.92,0.59
1738508601.708685,32.5,4.93,0.00,2.92,0.59
1738508601.810272,32.5,4.93,0.00,2.92,0.59
1738508601.911856,32.5,4.93,0.00,2.92,0.59
1738508602.013456,32.5,4.93,0.00,2.92,0.59
1738508602.114997,32.5,4.93,0.00,2.92,0.59
1738508602.216583,32.5,4.93,0.00,2.92,0.59
1738508602.318138,32.5,4.93,0.00,2.86,0.59
1738508602.419787,32.5,4.93,0.00,2.92,0.59
1738508602.521418,31.6,4.93,0.00,2.92,0.59
1738508602.622938,31.6,4.93,0.00,2.92,0.59
1738508602.724255,31.6,4.93,0.00,2.92,0.59
1738508602.826098,31.6,4.92,0.00,2.92,0.59
1738508602.927678,31.6,4.93,0.00,2.92,0.59
1738508603.029434,31.6,4.93,0.00,2.92,0.59
1738508603.130828,31.6,4.92,0.00,2.92,0.59
1738508603.232420,31.6,4.93,0.00,2.92,0.59
1738508603.333994,31.6,4.93,0.00,2.86,0.59
1738508603.435601,31.6,4.93,0.00,2.92,0.59
1738508603.537268,31.6,4.93,0.00,2.92,0.58
1738508603.638742,31.6,4.93,0.00,2.92,0.59
1738508603.740281,31.6,4.93,0.00,2.92,0.59
1738508603.841883,31.6,4.93,0.00,2.92,0.59
1738508603.943483,31.6,4.93,0.00,2.92,0.59
1738508604.045036,31.6,4.93,0.00,2.92,0.59
1738508604.146810,31.6,4.93,0.00,2.92,0.59
1738508604.248216,32.5,4.93,0.00,2.92,0.59
1738508604.349812,32.5,4.93,0.00,2.92,0.59
1738508604.451359,32.5,4.93,0.00,2.92,0.59
1738508604.552941,32.5,4.93,0.00,2.92,0.59
1738508604.654485,32.5,4.93,0.00,2.92,0.59
1738508604.756105,32.5,4.93,0.00,2.92,0.59
1738508604.857715,32.5,4.93,0.00,2.92,0.59
1738508604.959276,32.5,4.93,0.00,2.86,0.59
1738508605.060802,32.5,4.93,0.00,2.86,0.59
1738508605.162452,32.5,4.93,0.00,2.92,0.59
1738508605.264057,32.5,4.93,0.00,2.86,0.59
1738508605.365644,32.5,4.93,0.00,2.92,0.59
1738508605.467161,32.5,4.93,0.00,2.92,0.59
