timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508615.959141,32.5,4.92,0.00,2.92,0.59
1738508616.059013,32.5,4.93,0.00,2.92,0.60
1738508616.159173,32.5,4.92,0.00,2.92,0.59
1738508616.259127,32.5,4.92,0.00,2.92,0.60
1738508616.359047,32.5,4.92,0.00,2.94,0.60
1738508616.459000,32.5,4.92,0.00,2.92,0.60
1738508616.558868,32.5,4.92,0.00,2.92,0.59
1738508616.659016,32.5,4.93,0.00,2.94,0.59
1738508616.759119,32.5,4.92,0.00,2.94,0.60
1738508616.859139,32.5,4.92,0.00,2.94,0.59
1738508616.959077,32.5,4.92,0.00,2.92,0.60
1738508617.059069,32.5,4.93,0.00,2.92,0.60
1738508617.159082,32.5,4.92,0.00,2.94,0.60
1738508617.259089,32.5,4.93,0.00,2.92,0.59
1738508617.359045,32.5,4.92,0.00,2.94,0.59
1738508617.459079,32.5,4.92,0.00,2.92,0.59
1738508617.559147,32.5,4.92,0.00,2.92,0.59
1738508617.659063,31.6,4.93,0.00,2.92,0.59
1738508617.758955,31.6,4.92,0.00,2.92,0.59
1738508617.859145,31.6,4.92,0.00,2.92,0.60
1738508617.959084,31.6,4.92,0.00,2.92,0.59
1738508618.059099,31.6,4.92,0.00,2.94,0.60
1738508618.158982,31.6,4.92,0.00,2.92,0.59
1738508618.258997,31.6,4.92,0.00,2.92,0.59
1738508618.359078,31.6,4.92,0.00,2.92,0.60
1738508618.458936,31.6,4.92,0.00,2.92,0.60
1738508618.559104,32.5,4.92,0.00,2.92,0.60
1738508618.659140,32.5,4.92,0.00,2.92,0.60
1738508618.759118,32.5,4.92,0.00,2.92,0.59
1738508618.858967,32.5,4.92,0.00,2.92,0.59
1738508618.959180,32.5,4.92,0.00,2.92,0.59
1738508619.059143,32.5,4.92,0.00,2.92,0.59
1738508619.159091,32.5,4.92,0.00,2.92,0.60
1738508619.259018,32.5,4.92,0.00,2.92,0.60
1738508619.359142,31.6,4.92,0.00,2.94,0.60
1738508619.458833,31.6,4.92,0.00,2.94,0.60
1738508619.559063,31.6,4.92,0.00,2.94,0.59
1738508619.659220,31.6,4.92,0.00,2.92,0.59
1738508619.759135,31.6,4.92,0.00,2.94,0.60
1738508619.859079,31.6,4.92,0.00,2.92,0.60
1738508619.959106,31.6,4.92,0.00,2.92,0.59
1738508620.059183,31.6,4.92,0.00,2.94,0.60
1738508620.159086,31.6,4.92,0.00,2.92,0.60
1738508620.259117,31.6,4.92,0.00,2.94,0.60
1738508620.359056,31.6,4.92,0.00,2.94,0.60
1738508620.458811,31.6,4.92,0.00,2.92,0.59
1738508620.559188,31.6,4.92,0.00,2.94,0.59
1738508620.659117,31.6,4.92,0.00,2.92,0.59
1738508620.759160,31.6,4.92,0.00,2.94,0.60
1738508620.859088,31.6,4.92,0.00,2.92,0.60
1738508620.959141,31.6,4.92,0.00,2.92,0.60
1738508621.059092,32.5,4.92,0.00,2.92,0.59
1738508621.159175,32.5,4.92,0.00,2.94,0.60
1738508621.259088,32.5,4.92,0.00,2.92,0.59
1738508621.359021,32.5,4.92,0.00,2.94,0.59
1738508621.458817,32.5,4.92,0.00,2.92,0.59
1738508621.559155,32.5,4.92,0.00,2.92,0.59
1738508621.659183,32.5,4.92,0.00,2.92,0.59
