timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509897.530744,33.3,4.93,0.00,2.86,0.58
1738509897.632283,33.3,4.93,0.00,2.86,0.58
1738509897.732595,34.2,4.93,0.00,2.92,0.59
1738509897.834238,34.2,4.93,0.00,2.86,0.58
1738509897.935810,34.2,4.93,0.00,2.86,0.58
1738509898.037467,34.2,4.93,0.00,2.86,0.59
1738509898.139033,34.2,4.93,0.00,2.92,0.58
1738509898.240638,34.2,4.93,0.00,2.86,0.58
1738509898.342172,34.2,4.93,0.00,2.86,0.59
1738509898.443828,34.2,4.93,0.00,2.86,0.59
1738509898.545315,32.5,4.93,0.00,2.86,0.58
1738509898.647038,32.5,4.93,0.00,2.86,0.58
1738509898.748516,32.5,4.93,0.00,2.86,0.58
1738509898.850031,32.5,4.93,0.00,2.86,0.58
1738509898.951653,32.5,4.93,0.00,2.86,0.58
1738509899.053421,32.5,4.93,0.00,2.86,0.58
1738509899.154802,32.5,4.93,0.00,2.86,0.58
1738509899.256323,32.5,4.93,0.00,2.86,0.59
1738509899.358102,32.5,4.93,0.00,2.86,0.58
1738509899.459449,207.0,4.93,0.00,2.86,0.58
1738509899.561101,207.0,4.93,0.00,2.86,0.58
1738509899.662727,207.0,4.93,0.00,2.86,0.58
1738509899.764262,207.0,4.93,0.00,2.86,0.58
1738509899.865581,207.0,4.93,0.00,2.92,0.58
1738509899.967401,207.0,4.93,0.00,2.92,0.58
1738509900.068941,207.0,4.93,0.00,2.86,0.58
1738509900.170540,207.0,4.93,0.00,2.86,0.58
1738509900.272097,32.5,4.93,0.00,2.86,0.58
1738509900.373726,32.5,4.93,0.00,2.86,0.58
1738509900.475270,32.5,4.93,0.00,2.86,0.58
1738509900.576928,32.5,4.93,0.00,2.86,0.59
1738509900.678540,32.5,4.93,0.00,2.86,0.58
1738509900.780061,32.5,4.93,0.00,2.86,0.58
1738509900.881690,32.5,4.93,0.00,2.86,0.58
1738509900.983269,32.5,4.93,0.00,2.86,0.58
1738509901.084753,33.3,4.93,0.00,2.86,0.58
1738509901.186431,33.3,4.93,0.00,2.86,0.59
1738509901.287915,33.3,4.93,0.00,2.86,0.58
1738509901.389627,33.3,4.93,0.00,2.86,0.58
1738509901.491171,33.3,4.93,0.00,2.92,0.58
1738509901.592738,33.3,4.93,0.00,2.86,0.59
1738509901.694192,33.3,4.93,0.00,2.86,0.58
1738509901.795846,33.3,4.93,0.00,2.86,0.58
1738509901.897440,32.5,4.93,0.00,2.86,0.58
1738509901.999031,32.5,4.93,0.00,2.92,0.58
1738509902.100589,32.5,4.93,0.00,2.86,0.59
1738509902.202245,32.5,4.93,0.00,2.86,0.59
1738509902.303807,32.5,4.93,0.00,2.86,0.58
1738509902.405416,32.5,4.93,0.00,2.86,0.58
1738509902.506827,32.5,4.93,0.00,2.86,0.58
1738509902.608248,32.5,4.93,0.00,2.86,0.58
1738509902.710042,32.5,4.93,0.00,2.86,0.58
1738509902.811722,32.5,4.93,0.00,2.86,0.58
1738509902.913290,32.5,4.93,0.00,2.86,0.58
1738509903.014815,32.5,4.93,0.00,2.86,0.58
1738509903.116459,32.5,4.93,0.00,2.86,0.58
1738509903.218089,32.5,4.93,0.00,2.86,0.59
1738509903.319371,32.5,4.93,0.00,2.92,0.58
1738509903.421076,32.5,4.93,0.00,2.86,0.58
1738509903.521219,32.5,4.93,0.00,2.86,0.58
1738509903.622752,32.5,4.93,0.00,2.86,0.59
1738509903.724316,32.5,4.93,0.00,2.86,0.58
1738509903.825899,32.5,4.93,0.00,2.86,0.59
