timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509913.059537,32.5,4.91,0.00,3.04,0.62
1738509913.159561,32.5,4.90,0.00,3.08,0.62
1738509913.259670,32.5,4.91,0.00,3.08,0.62
1738509913.359808,32.5,4.90,0.00,3.08,0.63
1738509913.459864,32.5,4.91,0.00,3.04,0.62
1738509913.559986,32.5,4.91,0.00,3.08,0.63
1738509913.659705,33.3,4.90,0.00,3.08,0.63
1738509913.760090,33.3,4.91,0.00,3.08,0.63
1738509913.860023,33.3,4.91,0.00,3.08,0.63
1738509913.959940,33.3,4.91,0.00,3.08,0.63
1738509914.059966,33.3,4.91,0.00,3.04,0.62
1738509914.159916,33.3,4.91,0.00,3.04,0.63
1738509914.260013,33.3,4.91,0.00,3.04,0.63
1738509914.359773,33.3,4.91,0.00,3.04,0.63
1738509914.459940,33.3,4.91,0.00,3.08,0.63
1738509914.559849,33.3,4.91,0.00,3.08,0.62
1738509914.659670,33.3,4.90,0.00,3.04,0.63
1738509914.759738,33.3,4.91,0.00,3.08,0.63
1738509914.859878,33.3,4.90,0.00,3.04,0.63
1738509914.959844,33.3,4.91,0.00,3.08,0.63
1738509915.059941,33.3,4.91,0.00,3.08,0.63
1738509915.160115,33.3,4.91,0.00,3.08,0.62
1738509915.260067,33.3,4.90,0.00,3.08,0.63
1738509915.359980,33.3,4.91,0.00,3.04,0.63
1738509915.459957,33.3,4.91,0.00,3.04,0.62
1738509915.559890,33.3,4.91,0.00,3.08,0.62
1738509915.659999,33.3,4.91,0.00,3.08,0.63
1738509915.759894,33.3,4.91,0.00,3.04,0.63
1738509915.859971,33.3,4.90,0.00,3.04,0.63
1738509915.959774,33.3,4.91,0.00,3.04,0.62
1738509916.060033,33.3,4.90,0.00,3.08,0.63
1738509916.159975,33.3,4.90,0.00,3.04,0.62
1738509916.260036,33.3,4.91,0.00,3.04,0.62
1738509916.359675,33.3,4.90,0.00,3.04,0.63
1738509916.459617,33.3,4.91,0.00,3.04,0.63
1738509916.559698,33.3,4.91,0.00,3.08,0.63
1738509916.659936,33.3,4.91,0.00,3.04,0.63
1738509916.759992,33.3,4.91,0.00,3.04,0.63
1738509916.859899,33.3,4.91,0.00,3.04,0.63
1738509916.959706,33.3,4.90,0.00,3.04,0.63
1738509917.059796,33.3,4.91,0.00,3.04,0.62
1738509917.160058,33.3,4.91,0.00,3.08,0.63
1738509917.259953,33.3,4.91,0.00,3.04,0.63
1738509917.359881,33.3,4.90,0.00,3.04,0.62
1738509917.459940,33.3,4.90,0.00,3.04,0.63
1738509917.559642,33.3,4.90,0.00,3.04,0.62
1738509917.659909,33.3,4.91,0.00,3.04,0.63
1738509917.759871,33.3,4.91,0.00,3.08,0.63
1738509917.859951,33.3,4.91,0.00,3.04,0.63
1738509917.959990,33.3,4.91,0.00,3.04,0.63
1738509918.060089,33.3,4.91,0.00,3.04,0.63
1738509918.159983,33.3,4.90,0.00,3.04,0.62
1738509918.260007,33.3,4.91,0.00,3.08,0.62
1738509918.359931,33.3,4.90,0.00,3.04,0.63
1738509918.459747,33.3,4.91,0.00,3.04,0.63
1738509918.559951,33.3,4.90,0.00,3.04,0.62
1738509918.659990,33.3,4.91,0.00,3.04,0.62
1738509918.760048,33.3,4.91,0.00,3.04,0.62
1738509918.862920,33.3,4.91,0.00,3.08,0.63
1738509918.959874,33.3,4.91,0.00,3.08,0.62
1738509919.059683,33.3,4.91,0.00,3.04,0.63
1738509919.159643,33.3,4.91,0.00,3.04,0.62
1738509919.259991,33.3,4.91,0.00,3.04,0.63
1738509919.359560,33.3,4.91,0.00,3.04,0.63
1738509919.459764,33.3,4.91,0.00,3.08,0.62
