timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508994.708598,31.6,4.92,0.00,2.92,0.59
1738508994.810394,31.6,4.93,0.00,2.92,0.59
1738508994.912227,31.6,4.92,0.00,2.92,0.59
1738508995.013779,31.6,4.92,0.00,2.92,0.59
1738508995.115376,31.6,4.92,0.00,2.92,0.60
1738508995.217066,31.6,4.93,0.00,2.92,0.59
1738508995.318530,31.6,4.92,0.00,2.92,0.59
1738508995.420137,31.6,4.93,0.00,2.92,0.59
1738508995.521701,31.6,4.92,0.00,2.94,0.59
1738508995.623277,31.6,4.93,0.00,2.92,0.59
1738508995.724854,31.6,4.93,0.00,2.92,0.59
1738508995.826488,31.6,4.93,0.00,2.94,0.59
1738508995.928009,31.6,4.92,0.00,2.92,0.60
1738508996.029704,32.5,4.93,0.00,2.92,0.59
1738508996.131178,32.5,4.93,0.00,2.94,0.60
1738508996.232574,32.5,4.93,0.00,2.92,0.59
1738508996.334373,32.5,4.93,0.00,2.92,0.59
1738508996.435925,32.5,4.93,0.00,2.86,0.60
1738508996.537526,32.5,4.93,0.00,2.92,0.59
1738508996.639054,32.5,4.93,0.00,2.92,0.59
1738508996.742636,32.5,4.93,0.00,2.92,0.59
1738508996.840580,31.6,4.93,0.00,2.92,0.59
1738508996.942156,31.6,4.93,0.00,2.92,0.59
1738508997.043745,31.6,4.92,0.00,2.92,0.59
1738508997.145346,31.6,4.92,0.00,2.92,0.59
1738508997.246918,31.6,4.93,0.00,2.92,0.59
1738508997.348517,31.6,4.92,0.00,2.92,0.60
1738508997.450019,31.6,4.93,0.00,2.92,0.59
1738508997.551681,31.6,4.93,0.00,2.92,0.59
1738508997.653285,32.5,4.93,0.00,2.92,0.59
1738508997.754755,32.5,4.92,0.00,2.92,0.59
1738508997.856415,32.5,4.92,0.00,2.92,0.59
1738508997.958005,32.5,4.93,0.00,2.92,0.59
1738508998.059605,32.5,4.92,0.00,2.92,0.59
1738508998.161875,32.5,4.92,0.00,2.92,0.59
1738508998.262623,32.5,4.92,0.00,2.92,0.59
1738508998.362785,32.5,4.93,0.00,2.92,0.59
1738508998.464214,31.6,4.92,0.00,2.92,0.59
1738508998.565808,31.6,4.93,0.00,2.92,0.59
1738508998.667377,31.6,4.93,0.00,2.92,0.59
1738508998.769013,31.6,4.93,0.00,2.94,0.60
1738508998.874346,31.6,4.92,0.00,2.92,0.59
1738508998.973130,31.6,4.93,0.00,2.92,0.59
1738508999.073539,31.6,4.92,0.00,2.92,0.59
1738508999.175284,31.6,4.93,0.00,2.92,0.59
1738508999.276761,31.6,4.93,0.00,2.92,0.59
1738508999.381136,31.6,4.92,0.00,2.92,0.59
1738508999.479177,31.6,4.92,0.00,2.92,0.59
1738508999.580645,31.6,4.93,0.00,2.92,0.59
1738508999.682470,31.6,4.92,0.00,2.92,0.59
1738508999.784036,31.6,4.93,0.00,2.92,0.59
1738508999.885639,31.6,4.92,0.00,2.92,0.59
1738508999.990784,31.6,4.93,0.00,2.92,0.59
1738509000.088633,31.6,4.92,0.00,2.92,0.59
1738509000.190296,32.5,4.93,0.00,2.92,0.59
1738509000.291846,32.5,4.92,0.00,2.92,0.59
1738509000.393275,32.5,4.92,0.00,2.92,0.59
1738509000.495084,32.5,4.93,0.00,2.92,0.59
1738509000.596663,32.5,4.93,0.00,2.92,0.59
1738509000.698228,32.5,4.93,0.00,2.92,0.59
1738509000.799861,32.5,4.92,0.00,2.92,0.59
1738509000.901469,32.5,4.93,0.00,2.92,0.60
1738509001.002989,32.5,4.92,0.00,2.92,0.59
1738509001.104503,32.5,4.93,0.00,2.92,0.59
1738509001.206118,32.5,4.92,0.00,2.92,0.60
1738509001.307714,32.5,4.92,0.00,2.92,0.59
1738509001.409425,32.5,4.92,0.00,2.92,0.59
1738509001.510928,32.5,4.92,0.00,2.92,0.59
1738509001.610973,32.5,4.93,0.00,2.86,0.59
1738509001.712379,32.5,4.93,0.00,2.92,0.60
1738509001.813940,32.5,4.93,0.00,2.92,0.59
1738509001.915790,32.5,4.93,0.00,2.92,0.59
1738509002.017218,32.5,4.93,0.00,2.92,0.60
1738509002.118752,32.5,4.93,0.00,2.92,0.59
1738509002.220387,32.5,4.92,0.00,2.92,0.59
1738509002.321672,32.5,4.92,0.00,2.92,0.59
1738509002.423476,32.5,4.92,0.00,2.92,0.59
1738509002.524848,32.5,4.93,0.00,2.92,0.59
1738509002.626425,32.5,4.93,0.00,2.92,0.59
1738509002.728316,32.5,4.93,0.00,2.92,0.59
1738509002.829826,32.5,4.93,0.00,2.92,0.59
1738509002.931370,32.5,4.93,0.00,2.92,0.59
1738509003.032894,32.5,4.92,0.00,2.92,0.59
1738509003.134580,32.5,4.93,0.00,2.92,0.60
1738509003.236157,32.5,4.93,0.00,2.92,0.59
1738509003.339288,32.5,4.93,0.00,2.92,0.59
1738509003.437686,32.5,4.92,0.00,2.92,0.59
1738509003.539233,32.5,4.92,0.00,2.92,0.60
1738509003.640802,32.5,4.92,0.00,2.92,0.59
1738509003.742298,32.5,4.92,0.00,2.92,0.59
1738509003.843862,32.5,4.93,0.00,2.92,0.60
1738509003.945287,32.5,4.93,0.00,2.92,0.59
1738509004.047037,32.5,4.92,0.00,2.94,0.60
1738509004.148714,32.5,4.93,0.00,2.92,0.59
1738509004.250954,32.5,4.92,0.00,2.92,0.59
1738509004.351878,32.5,4.93,0.00,2.92,0.59
1738509004.453157,32.5,4.92,0.00,2.92,0.59
1738509004.555061,32.5,4.92,0.00,2.92,0.59
1738509004.657259,32.5,4.93,0.00,2.92,0.60
1738509004.758277,32.5,4.93,0.00,2.92,0.59
1738509004.858133,32.5,4.92,0.00,2.92,0.59
1738509004.959686,32.5,4.92,0.00,2.92,0.59
1738509005.061270,32.5,4.92,0.00,2.92,0.59
1738509005.162845,32.5,4.93,0.00,2.92,0.59
1738509005.264304,32.5,4.93,0.00,2.92,0.59
1738509005.365853,32.5,4.93,0.00,2.92,0.59
1738509005.467634,32.5,4.93,0.00,2.92,0.59
1738509005.569226,32.5,4.93,0.00,2.86,0.59
1738509005.670633,32.5,4.93,0.00,2.92,0.59
1738509005.772410,32.5,4.93,0.00,2.92,0.59
