timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509010.109033,32.5,4.92,0.00,2.94,0.60
1738509010.209077,31.6,4.92,0.00,2.94,0.60
1738509010.309487,31.6,4.92,0.00,2.94,0.60
1738509010.409409,31.6,4.92,0.00,2.94,0.60
1738509010.509407,31.6,4.92,0.00,2.92,0.60
1738509010.609487,31.6,4.92,0.00,2.94,0.59
1738509010.709391,31.6,4.92,0.00,2.94,0.60
1738509010.809134,31.6,4.92,0.00,2.94,0.60
1738509010.909551,31.6,4.92,0.00,2.94,0.60
1738509011.009446,31.6,4.92,0.00,2.92,0.60
1738509011.109423,31.6,4.92,0.00,2.94,0.60
1738509011.209430,31.6,4.92,0.00,2.94,0.59
1738509011.309384,31.6,4.92,0.00,2.94,0.60
1738509011.409470,31.6,4.92,0.00,2.94,0.60
1738509011.509386,31.6,4.92,0.00,2.94,0.60
1738509011.609305,31.6,4.92,0.00,2.92,0.60
1738509011.709228,31.6,4.92,0.00,2.94,0.60
1738509011.809194,31.6,4.92,0.00,2.94,0.60
1738509011.909296,31.6,4.92,0.00,2.94,0.60
1738509012.009406,31.6,4.92,0.00,2.94,0.60
1738509012.109489,31.6,4.92,0.00,2.92,0.60
1738509012.209296,31.6,4.92,0.00,2.92,0.59
1738509012.309313,31.6,4.92,0.00,2.92,0.59
1738509012.409582,31.6,4.92,0.00,2.94,0.59
1738509012.509457,31.6,4.92,0.00,2.94,0.60
1738509012.609430,31.6,4.92,0.00,2.94,0.60
1738509012.709411,31.6,4.92,0.00,2.94,0.60
1738509012.809225,32.5,4.92,0.00,2.92,0.59
1738509012.909394,32.5,4.92,0.00,2.92,0.60
1738509013.009375,32.5,4.92,0.00,2.94,0.60
1738509013.109494,32.5,4.92,0.00,2.92,0.60
1738509013.209022,32.5,4.92,0.00,2.94,0.60
1738509013.309243,32.5,4.92,0.00,2.94,0.60
1738509013.409347,32.5,4.92,0.00,2.94,0.60
1738509013.509351,32.5,4.92,0.00,2.94,0.60
1738509013.609482,32.5,4.92,0.00,2.94,0.61
1738509013.709292,32.5,4.92,0.00,2.92,0.60
1738509013.809213,32.5,4.92,0.00,2.94,0.60
1738509013.909310,32.5,4.92,0.00,2.92,0.60
1738509014.009118,32.5,4.92,0.00,2.94,0.59
1738509014.109536,32.5,4.92,0.00,2.92,0.60
1738509014.209428,32.5,4.92,0.00,2.92,0.60
1738509014.309461,32.5,4.92,0.00,2.94,0.60
1738509014.409385,31.6,4.92,0.00,2.94,0.60
1738509014.509054,31.6,4.92,0.00,2.92,0.60
1738509014.609107,31.6,4.92,0.00,2.94,0.59
1738509014.709235,31.6,4.92,0.00,2.94,0.60
1738509014.809190,31.6,4.92,0.00,2.92,0.59
1738509014.909227,31.6,4.92,0.00,2.94,0.60
1738509015.009304,31.6,4.92,0.00,2.92,0.60
1738509015.109265,31.6,4.92,0.00,2.94,0.60
1738509015.209298,31.6,4.92,0.00,2.92,0.60
1738509015.309219,31.6,4.92,0.00,2.94,0.60
1738509015.409298,31.6,4.92,0.00,2.92,0.60
1738509015.509528,31.6,4.92,0.00,2.94,0.60
1738509015.609328,31.6,4.92,0.00,2.92,0.60
1738509015.709525,31.6,4.92,0.00,2.92,0.60
1738509015.809178,31.6,4.92,0.00,2.94,0.60
1738509015.909244,31.6,4.92,0.00,2.94,0.60
1738509016.009325,31.6,4.92,0.00,2.92,0.60
1738509016.109378,31.6,4.92,0.00,2.94,0.60
1738509016.209444,31.6,4.92,0.00,2.94,0.60
1738509016.309441,31.6,4.92,0.00,2.94,0.60
1738509016.409358,31.6,4.92,0.00,2.94,0.60
1738509016.509298,31.6,4.92,0.00,2.94,0.60
1738509016.615110,31.6,4.92,0.00,2.94,0.59
1738509016.709268,31.6,4.92,0.00,2.92,0.60
1738509016.809240,31.6,4.92,0.00,2.94,0.60
1738509016.909284,31.6,4.92,0.00,2.92,0.60
1738509017.009352,32.5,4.92,0.00,2.94,0.60
1738509017.109333,32.5,4.92,0.00,2.92,0.60
1738509017.209153,32.5,4.92,0.00,2.94,0.60
1738509017.309247,32.5,4.92,0.00,2.94,0.60
1738509017.409221,32.5,4.92,0.00,2.92,0.60
1738509017.509167,32.5,4.92,0.00,2.92,0.60
1738509017.609236,32.5,4.92,0.00,2.94,0.60
1738509017.709191,32.5,4.92,0.00,2.92,0.60
1738509017.809127,31.6,4.92,0.00,2.94,0.60
1738509017.909215,31.6,4.92,0.00,2.94,0.60
1738509018.009525,31.6,4.92,0.00,2.92,0.60
1738509018.109282,31.6,4.92,0.00,2.92,0.60
1738509018.209420,31.6,4.92,0.00,2.92,0.60
1738509018.309287,31.6,4.92,0.00,2.92,0.60
1738509018.409420,31.6,4.92,0.00,2.94,0.60
1738509018.509428,31.6,4.92,0.00,2.94,0.60
1738509018.609486,31.6,4.92,0.00,2.94,0.60
1738509018.709216,31.6,4.92,0.00,2.94,0.60
1738509018.809231,31.6,4.92,0.00,2.94,0.60
1738509018.909440,31.6,4.92,0.00,2.94,0.60
1738509019.009430,31.6,4.92,0.00,2.94,0.60
1738509019.109452,31.6,4.92,0.00,2.94,0.60
1738509019.209544,31.6,4.92,0.00,2.94,0.60
1738509019.309482,31.6,4.92,0.00,2.94,0.60
1738509019.409517,31.6,4.92,0.00,2.94,0.59
1738509019.509515,32.5,4.92,0.00,2.94,0.60
1738509019.609535,32.5,4.92,0.00,2.94,0.60
1738509019.709430,32.5,4.92,0.00,2.94,0.60
1738509019.809368,32.5,4.92,0.00,2.94,0.61
1738509019.909447,32.5,4.92,0.00,2.94,0.60
1738509020.009429,32.5,4.92,0.00,2.94,0.59
1738509020.109597,32.5,4.92,0.00,2.94,0.60
1738509020.209529,32.5,4.92,0.00,2.94,0.60
1738509020.309559,31.6,4.92,0.00,2.94,0.60
1738509020.409304,31.6,4.92,0.00,2.92,0.60
1738509020.509452,31.6,4.92,0.00,2.94,0.60
1738509020.609474,31.6,4.92,0.00,2.94,0.60
1738509020.709462,31.6,4.92,0.00,2.94,0.60
1738509020.809220,31.6,4.92,0.00,2.92,0.60
1738509020.909497,31.6,4.92,0.00,2.92,0.60
1738509021.009399,31.6,4.92,0.00,2.94,0.60
1738509021.119073,31.6,4.92,0.00,2.92,0.60
1738509021.209531,31.6,4.92,0.00,2.94,0.60
1738509021.309221,31.6,4.92,0.00,2.92,0.60
1738509021.409435,31.6,4.92,0.00,2.92,0.60
1738509021.509585,31.6,4.92,0.00,2.94,0.60
1738509021.609518,31.6,4.92,0.00,2.92,0.60
