timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509796.635338,31.6,4.88,0.00,3.28,0.67
1738509796.737720,31.6,4.88,0.00,3.28,0.67
1738509796.838589,31.6,4.88,0.00,3.28,0.67
1738509796.945217,31.6,4.88,0.00,3.28,0.67
1738509797.040449,35.1,4.88,0.00,3.22,0.67
1738509797.141758,35.1,4.88,0.00,3.28,0.67
1738509797.243347,35.1,4.88,0.00,3.28,0.67
1738509797.344909,35.1,4.88,0.00,3.28,0.67
1738509797.446507,35.1,4.88,0.00,3.28,0.67
1738509797.546721,35.1,4.88,0.00,3.28,0.67
1738509797.648072,35.1,4.88,0.00,3.28,0.67
1738509797.749626,35.1,4.88,0.00,3.28,0.67
1738509797.851129,35.1,4.88,0.00,3.28,0.67
1738509797.952996,36.0,4.88,0.00,3.28,0.66
1738509798.054879,36.0,4.88,0.00,3.28,0.67
1738509798.155926,36.0,4.88,0.00,3.22,0.67
1738509798.257487,36.0,4.88,0.00,3.28,0.67
1738509798.359968,36.0,4.88,0.00,3.28,0.67
1738509798.461478,36.0,4.88,0.00,3.28,0.67
1738509798.562795,36.0,4.88,0.00,3.28,0.67
1738509798.663741,36.0,4.88,0.00,3.28,0.67
1738509798.765402,36.0,4.88,0.00,3.28,0.67
1738509798.867720,36.0,4.88,0.00,3.28,0.67
1738509798.969672,36.0,4.88,0.00,3.28,0.67
1738509799.070103,36.0,4.88,0.00,3.28,0.67
1738509799.172303,36.0,4.88,0.00,3.28,0.67
1738509799.273384,36.0,4.88,0.00,3.28,0.67
1738509799.375819,36.0,4.88,0.00,3.28,0.67
1738509799.476410,36.0,4.88,0.00,3.28,0.67
1738509799.578689,36.8,4.88,0.00,3.28,0.67
1738509799.680206,36.8,4.88,0.00,3.28,0.68
1738509799.782285,36.8,4.88,0.00,3.28,0.67
1738509799.883901,36.8,4.88,0.00,3.28,0.67
1738509799.984604,36.8,4.88,0.00,3.28,0.67
1738509800.086828,36.8,4.88,0.00,3.28,0.67
1738509800.188248,36.8,4.88,0.00,3.28,0.67
1738509800.289239,36.8,4.88,0.00,3.28,0.67
1738509800.392051,36.8,4.88,0.00,3.28,0.68
1738509800.492248,36.8,4.88,0.00,3.28,0.67
1738509800.593673,36.8,4.88,0.00,3.28,0.67
1738509800.694065,36.8,4.88,0.00,3.28,0.67
1738509800.795987,36.8,4.88,0.00,3.28,0.67
1738509800.897932,36.8,4.88,0.00,3.28,0.67
1738509800.999175,36.8,4.88,0.00,3.28,0.67
1738509801.100819,36.8,4.88,0.00,3.28,0.67
1738509801.202010,36.8,4.88,0.00,3.28,0.67
1738509801.303936,36.8,4.88,0.00,3.30,0.67
1738509801.405799,36.8,4.88,0.00,3.22,0.67
1738509801.507309,36.8,4.88,0.00,3.28,0.67
1738509801.609071,36.8,4.88,0.00,3.28,0.67
1738509801.709905,36.8,4.88,0.00,3.28,0.67
1738509801.811856,36.8,4.88,0.00,3.28,0.67
1738509801.913489,36.8,4.88,0.00,3.28,0.67
1738509802.014997,36.8,4.88,0.00,3.28,0.67
1738509802.116977,37.7,4.88,0.00,3.30,0.67
1738509802.218006,37.7,4.88,0.00,3.28,0.67
1738509802.319437,37.7,4.88,0.00,3.28,0.67
1738509802.421323,37.7,4.88,0.00,3.28,0.67
1738509802.523092,37.7,4.88,0.00,3.28,0.68
1738509802.624662,37.7,4.88,0.00,3.28,0.67
1738509802.726203,37.7,4.88,0.00,3.28,0.67
1738509802.827965,37.7,4.88,0.00,3.28,0.67
1738509802.929546,37.7,4.88,0.00,3.28,0.68
1738509803.030436,37.7,4.88,0.00,3.28,0.67
1738509803.132817,37.7,4.88,0.00,3.28,0.67
1738509803.234345,37.7,4.88,0.00,3.28,0.67
