timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508351.166805,32.5,4.90,0.00,3.08,0.63
1738508351.268962,32.5,4.90,0.00,3.14,0.64
1738508351.370643,32.5,4.90,0.00,3.14,0.64
1738508351.471740,32.5,4.90,0.00,3.14,0.64
1738508351.573846,32.5,4.90,0.00,3.14,0.64
1738508351.675387,32.5,4.90,0.00,3.08,0.64
1738508351.776868,34.2,4.90,0.00,3.08,0.63
1738508351.877915,34.2,4.90,0.00,3.08,0.64
1738508351.978609,34.2,4.90,0.00,3.14,0.64
1738508352.079843,34.2,4.90,0.00,3.08,0.63
1738508352.181539,34.2,4.90,0.00,3.14,0.64
1738508352.283429,34.2,4.90,0.00,3.08,0.64
1738508352.384901,34.2,4.90,0.00,3.08,0.64
1738508352.486576,34.2,4.90,0.00,3.08,0.63
1738508352.587758,33.3,4.90,0.00,3.14,0.64
1738508352.689643,33.3,4.90,0.00,3.14,0.64
1738508352.790777,33.3,4.90,0.00,3.08,0.64
1738508352.892612,33.3,4.90,0.00,3.14,0.63
1738508352.994097,33.3,4.90,0.00,3.14,0.64
1738508353.095988,33.3,4.90,0.00,3.08,0.64
1738508353.197456,33.3,4.90,0.00,3.08,0.64
1738508353.298933,33.3,4.90,0.00,3.08,0.64
1738508353.400597,34.2,4.90,0.00,3.14,0.64
1738508353.501950,34.2,4.90,0.00,3.08,0.64
1738508353.603778,34.2,4.90,0.00,3.14,0.63
1738508353.705355,34.2,4.90,0.00,3.14,0.63
1738508353.807101,34.2,4.90,0.00,3.08,0.64
1738508353.908569,34.2,4.90,0.00,3.08,0.63
1738508354.010213,34.2,4.90,0.00,3.14,0.64
1738508354.111660,34.2,4.90,0.00,3.08,0.64
1738508354.212620,34.2,4.90,0.00,3.14,0.64
1738508354.314803,34.2,4.90,0.00,3.08,0.64
1738508354.416215,34.2,4.90,0.00,3.08,0.63
1738508354.517997,34.2,4.90,0.00,3.08,0.63
1738508354.619681,34.2,4.90,0.00,3.08,0.63
1738508354.720890,34.2,4.90,0.00,3.08,0.64
1738508354.822659,34.2,4.90,0.00,3.08,0.64
1738508354.924149,34.2,4.90,0.00,3.08,0.64
1738508355.025689,34.2,4.90,0.00,3.14,0.64
1738508355.127474,34.2,4.90,0.00,3.08,0.64
1738508355.229033,34.2,4.90,0.00,3.08,0.64
1738508355.330872,34.2,4.90,0.00,3.14,0.63
1738508355.432009,34.2,4.90,0.00,3.08,0.63
1738508355.533764,34.2,4.90,0.00,3.14,0.64
1738508355.635593,34.2,4.90,0.00,3.08,0.64
1738508355.736281,34.2,4.90,0.00,3.08,0.64
1738508355.838235,34.2,4.90,0.00,3.08,0.64
1738508355.940039,35.1,4.90,0.00,3.14,0.64
1738508356.041518,35.1,4.90,0.00,3.08,0.64
1738508356.143280,35.1,4.90,0.00,3.08,0.64
