timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510315.471725,36.0,4.87,0.00,3.40,0.70
1738510315.574815,36.0,4.87,0.00,3.40,0.70
1738510315.675583,36.0,4.86,0.00,3.40,0.71
1738510315.777244,36.0,4.87,0.00,3.38,0.70
1738510315.879243,36.0,4.87,0.00,3.40,0.70
1738510315.980527,36.0,4.87,0.00,3.40,0.70
1738510316.081615,36.0,4.87,0.00,3.40,0.70
1738510316.182726,36.0,4.87,0.00,3.40,0.70
1738510316.284378,36.0,4.87,0.00,3.40,0.70
1738510316.386447,37.7,4.87,0.00,3.38,0.70
1738510316.486887,37.7,4.86,0.00,3.40,0.70
1738510316.588414,37.7,4.87,0.00,3.40,0.70
1738510316.690981,37.7,4.87,0.00,3.40,0.70
1738510316.792484,37.7,4.87,0.00,3.40,0.70
1738510316.893635,37.7,4.87,0.00,3.40,0.70
1738510316.995660,37.7,4.87,0.00,3.40,0.70
1738510317.096883,37.7,4.87,0.00,3.40,0.70
1738510317.198102,38.6,4.86,0.00,3.40,0.71
1738510317.300471,38.6,4.87,0.00,3.40,0.70
1738510317.402036,38.6,4.87,0.00,3.40,0.70
1738510317.503608,38.6,4.87,0.00,3.40,0.69
1738510317.605162,38.6,4.87,0.00,3.38,0.70
1738510317.706329,38.6,4.87,0.00,3.40,0.70
1738510317.808207,38.6,4.87,0.00,3.40,0.70
1738510317.909752,38.6,4.87,0.00,3.40,0.70
1738510318.011479,38.6,4.87,0.00,3.40,0.70
1738510318.112831,38.6,4.87,0.00,3.40,0.70
1738510318.214638,38.6,4.87,0.00,3.40,0.71
1738510318.316214,38.6,4.87,0.00,3.40,0.70
1738510318.417899,38.6,4.87,0.00,3.40,0.70
1738510318.519149,38.6,4.87,0.00,3.40,0.70
1738510318.621132,38.6,4.87,0.00,3.40,0.70
1738510318.722583,38.6,4.87,0.00,3.40,0.70
1738510318.823113,38.6,4.86,0.00,3.34,0.70
1738510318.925739,38.6,4.87,0.00,3.40,0.70
1738510319.026558,38.6,4.87,0.00,3.40,0.70
1738510319.128902,38.6,4.87,0.00,3.40,0.70
1738510319.230314,38.6,4.87,0.00,3.40,0.70
1738510319.332417,38.6,4.87,0.00,3.40,0.70
1738510319.433020,38.6,4.87,0.00,3.40,0.70
1738510319.535180,38.6,4.87,0.00,3.40,0.70
1738510319.638262,38.6,4.87,0.00,3.40,0.71
1738510319.735583,38.6,4.87,0.00,3.40,0.70
1738510319.837174,38.6,4.87,0.00,3.40,0.70
1738510319.938698,38.6,4.86,0.00,3.40,0.70
1738510320.041186,38.6,4.87,0.00,3.40,0.70
1738510320.143160,38.6,4.87,0.00,3.40,0.70
1738510320.244389,38.6,4.87,0.00,3.40,0.70
1738510320.346041,38.6,4.87,0.00,3.40,0.70
1738510320.447279,38.6,4.87,0.00,3.40,0.70
1738510320.549233,39.5,4.87,0.00,3.40,0.70
1738510320.650393,39.5,4.86,0.00,3.40,0.70
1738510320.752350,39.5,4.87,0.00,3.40,0.70
1738510320.854078,39.5,4.87,0.00,3.40,0.70
1738510320.955758,39.5,4.87,0.00,3.40,0.70
1738510321.057442,39.5,4.87,0.00,3.40,0.70
1738510321.158058,39.5,4.87,0.00,3.44,0.71
1738510321.259768,39.5,4.87,0.00,3.40,0.70
1738510321.361890,39.5,4.87,0.00,3.40,0.70
1738510321.463370,39.5,4.87,0.00,3.40,0.70
1738510321.564179,39.5,4.87,0.00,3.40,0.71
1738510321.666783,39.5,4.87,0.00,3.40,0.70
1738510321.766412,39.5,4.87,0.00,3.40,0.70
1738510321.868300,39.5,4.87,0.00,3.40,0.70
1738510321.969288,39.5,4.87,0.00,3.40,0.70
1738510322.070493,39.5,4.87,0.00,3.40,0.70
1738510322.171387,40.4,4.87,0.00,3.40,0.70
1738510322.272801,40.4,4.87,0.00,3.40,0.70
1738510322.374410,40.4,4.87,0.00,3.40,0.70
1738510322.475828,40.4,4.87,0.00,3.40,0.70
1738510322.577707,40.4,4.87,0.00,3.40,0.71
1738510322.679266,40.4,4.86,0.00,3.40,0.70
1738510322.780922,40.4,4.87,0.00,3.40,0.70
1738510322.880568,40.4,4.87,0.00,3.40,0.70
1738510322.982389,40.4,4.87,0.00,3.40,0.70
1738510323.083530,39.5,4.86,0.00,3.40,0.70
1738510323.185602,39.5,4.87,0.00,3.40,0.70
1738510323.286947,39.5,4.87,0.00,3.40,0.70
1738510323.388677,39.5,4.87,0.00,3.40,0.70
1738510323.490256,39.5,4.87,0.00,3.40,0.71
1738510323.591823,39.5,4.87,0.00,3.40,0.71
1738510323.693278,39.5,4.87,0.00,3.40,0.70
1738510323.794850,39.5,4.87,0.00,3.40,0.70
1738510323.896214,39.5,4.87,0.00,3.40,0.70
1738510323.997357,39.5,4.86,0.00,3.40,0.70
1738510324.099293,39.5,4.87,0.00,3.40,0.70
1738510324.200170,39.5,4.87,0.00,3.40,0.71
1738510324.301201,39.5,4.87,0.00,3.40,0.70
1738510324.402486,39.5,4.87,0.00,3.40,0.70
1738510324.504456,39.5,4.87,0.00,3.40,0.70
1738510324.606022,39.5,4.86,0.00,3.40,0.70
1738510324.706569,39.5,4.87,0.00,3.40,0.70
1738510324.809221,39.5,4.87,0.00,3.40,0.71
1738510324.910794,39.5,4.87,0.00,3.40,0.70
1738510325.011685,39.5,4.86,0.00,3.40,0.70
1738510325.113593,39.5,4.87,0.00,3.40,0.71
1738510325.214744,39.5,4.87,0.00,3.40,0.70
1738510325.317629,39.5,4.87,0.00,3.40,0.71
1738510325.418039,39.5,4.87,0.00,3.40,0.70
1738510325.520369,40.4,4.87,0.00,3.40,0.70
1738510325.621580,40.4,4.87,0.00,3.40,0.70
1738510325.722593,40.4,4.87,0.00,3.40,0.70
1738510325.824777,40.4,4.87,0.00,3.40,0.70
1738510325.926615,40.4,4.87,0.00,3.40,0.70
1738510326.028109,40.4,4.87,0.00,3.40,0.70
1738510326.129705,40.4,4.87,0.00,3.40,0.70
1738510326.230765,40.4,4.87,0.00,3.40,0.71
1738510326.331873,40.4,4.87,0.00,3.40,0.70
1738510326.434841,40.4,4.87,0.00,3.40,0.70
1738510326.535484,40.4,4.86,0.00,3.40,0.70
1738510326.637639,40.4,4.87,0.00,3.40,0.70
1738510326.739236,40.4,4.86,0.00,3.40,0.70
1738510326.840785,40.4,4.87,0.00,3.40,0.70
1738510326.942131,40.4,4.87,0.00,3.40,0.70
1738510327.043806,40.4,4.87,0.00,3.40,0.70
1738510327.145585,40.4,4.87,0.00,3.40,0.70
1738510327.245192,39.5,4.87,0.00,3.40,0.70
1738510327.347105,39.5,4.86,0.00,3.40,0.70
1738510327.447040,39.5,4.87,0.00,3.40,0.70
1738510327.548170,39.5,4.86,0.00,3.40,0.70
1738510327.648717,39.5,4.87,0.00,3.40,0.70
1738510327.749976,39.5,4.87,0.00,3.40,0.70
1738510327.850993,39.5,4.87,0.00,3.40,0.70
1738510327.953238,39.5,4.87,0.00,3.40,0.70
1738510328.054996,39.5,4.87,0.00,3.40,0.70
1738510328.156070,39.5,4.87,0.00,3.40,0.70
1738510328.258021,39.5,4.87,0.00,3.40,0.70
1738510328.358099,39.5,4.87,0.00,3.44,0.70
1738510328.459719,39.5,4.87,0.00,3.40,0.70
1738510328.561145,39.5,4.87,0.00,3.40,0.70
1738510328.662750,39.5,4.87,0.00,3.40,0.70
1738510328.764398,39.5,4.87,0.00,3.40,0.70
1738510328.865595,39.5,4.87,0.00,3.40,0.70
1738510328.967437,40.4,4.87,0.00,3.40,0.70
1738510329.069016,40.4,4.86,0.00,3.40,0.71
1738510329.170585,40.4,4.87,0.00,3.40,0.70
1738510329.271880,40.4,4.87,0.00,3.40,0.70
1738510329.373736,40.4,4.87,0.00,3.44,0.70
1738510329.475274,40.4,4.87,0.00,3.40,0.70
1738510329.576836,40.4,4.87,0.00,3.40,0.70
1738510329.678478,40.4,4.86,0.00,3.40,0.70
1738510329.780150,195.6,4.87,0.00,3.38,0.70
1738510329.881655,195.6,4.87,0.00,3.40,0.70
1738510329.983300,195.6,4.87,0.00,3.44,0.70
1738510330.084865,195.6,4.87,0.00,3.40,0.70
1738510330.186445,195.6,4.87,0.00,3.44,0.71
1738510330.287685,195.6,4.87,0.00,3.40,0.71
