timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508902.293445,30.7,4.90,0.00,3.14,0.64
1738508902.395160,30.7,4.90,0.00,3.14,0.64
1738508902.497603,30.7,4.90,0.00,3.14,0.64
1738508902.599162,30.7,4.90,0.00,3.14,0.64
1738508902.700480,30.7,4.90,0.00,3.14,0.64
1738508902.801677,30.7,4.90,0.00,3.14,0.64
1738508902.903920,33.3,4.90,0.00,3.14,0.64
1738508903.005286,33.3,4.90,0.00,3.14,0.64
1738508903.107113,33.3,4.90,0.00,3.14,0.64
1738508903.208523,33.3,4.90,0.00,3.08,0.64
1738508903.309992,33.3,4.90,0.00,3.08,0.64
1738508903.411784,33.3,4.90,0.00,3.14,0.64
1738508903.513413,33.3,4.90,0.00,3.14,0.64
1738508903.615010,33.3,4.90,0.00,3.08,0.64
1738508903.714420,35.1,4.90,0.00,3.14,0.64
1738508903.816251,35.1,4.90,0.00,3.08,0.64
1738508903.917570,35.1,4.90,0.00,3.14,0.64
1738508904.019606,35.1,4.90,0.00,3.14,0.64
1738508904.119378,35.1,4.90,0.00,3.14,0.64
1738508904.220526,35.1,4.90,0.00,3.14,0.64
1738508904.323096,35.1,4.90,0.00,3.08,0.64
1738508904.423537,35.1,4.90,0.00,3.14,0.64
1738508904.526039,34.2,4.90,0.00,3.08,0.64
1738508904.627663,34.2,4.90,0.00,3.14,0.64
1738508904.729214,34.2,4.90,0.00,3.14,0.64
1738508904.830301,34.2,4.90,0.00,3.14,0.64
1738508904.931413,34.2,4.90,0.00,3.14,0.63
1738508905.033522,34.2,4.90,0.00,3.14,0.64
1738508905.135496,34.2,4.90,0.00,3.14,0.64
1738508905.236895,34.2,4.90,0.00,3.14,0.64
1738508905.338676,34.2,4.90,0.00,3.08,0.64
1738508905.440060,34.2,4.90,0.00,3.14,0.64
1738508905.543137,34.2,4.90,0.00,3.14,0.64
1738508905.642856,34.2,4.90,0.00,3.14,0.64
1738508905.744197,34.2,4.90,0.00,3.14,0.64
1738508905.844811,34.2,4.90,0.00,3.14,0.64
1738508905.946411,34.2,4.90,0.00,3.14,0.64
1738508906.047987,34.2,4.90,0.00,3.14,0.64
1738508906.149275,34.2,4.90,0.00,3.08,0.64
1738508906.251117,34.2,4.90,0.00,3.14,0.64
1738508906.352508,34.2,4.90,0.00,3.14,0.64
1738508906.454031,34.2,4.90,0.00,3.14,0.65
1738508906.555867,34.2,4.90,0.00,3.14,0.64
1738508906.657440,34.2,4.90,0.00,3.14,0.64
1738508906.758487,34.2,4.90,0.00,3.14,0.64
1738508906.859813,34.2,4.90,0.00,3.14,0.64
1738508906.961293,34.2,4.90,0.00,3.14,0.64
1738508907.063145,36.0,4.90,0.00,3.08,0.64
1738508907.165426,36.0,4.90,0.00,3.14,0.64
1738508907.266870,36.0,4.90,0.00,3.14,0.64
1738508907.368491,36.0,4.90,0.00,3.14,0.64
1738508907.469904,36.0,4.90,0.00,3.14,0.64
1738508907.571787,36.0,4.90,0.00,3.08,0.64
1738508907.673249,36.0,4.90,0.00,3.14,0.64
1738508907.774931,36.0,4.90,0.00,3.14,0.64
1738508907.875898,36.0,4.90,0.00,3.08,0.64
1738508907.978062,36.0,4.90,0.00,3.14,0.64
1738508908.079314,36.0,4.90,0.00,3.14,0.64
1738508908.181164,36.0,4.90,0.00,3.14,0.64
1738508908.282467,36.0,4.90,0.00,3.14,0.64
1738508908.384237,36.0,4.90,0.00,3.14,0.63
1738508908.484593,36.0,4.90,0.00,3.14,0.64
1738508908.585840,36.0,4.90,0.00,3.14,0.64
1738508908.687285,36.0,4.90,0.00,3.08,0.64
1738508908.788775,35.1,4.90,0.00,3.14,0.64
1738508908.890614,35.1,4.90,0.00,3.14,0.64
1738508908.992126,35.1,4.90,0.00,3.14,0.64
1738508909.093752,35.1,4.90,0.00,3.14,0.64
1738508909.195081,35.1,4.90,0.00,3.14,0.64
1738508909.296782,35.1,4.90,0.00,3.14,0.64
1738508909.398439,35.1,4.90,0.00,3.14,0.64
1738508909.499879,35.1,4.90,0.00,3.14,0.64
1738508909.601419,35.1,4.90,0.00,3.14,0.64
1738508909.703361,35.1,4.90,0.00,3.08,0.64
1738508909.804144,35.1,4.90,0.00,3.08,0.64
1738508909.906639,35.1,4.90,0.00,3.14,0.63
1738508910.007899,35.1,4.90,0.00,3.14,0.64
1738508910.109564,35.1,4.90,0.00,3.14,0.64
1738508910.210903,35.1,4.90,0.00,3.14,0.64
1738508910.312214,35.1,4.90,0.00,3.14,0.64
1738508910.414119,35.1,4.90,0.00,3.14,0.64
1738508910.516010,35.1,4.90,0.00,3.14,0.64
1738508910.617424,35.1,4.90,0.00,3.08,0.64
1738508910.718443,35.1,4.90,0.00,3.14,0.64
1738508910.820397,35.1,4.90,0.00,3.14,0.64
1738508910.922271,35.1,4.90,0.00,3.14,0.64
1738508911.023941,35.1,4.90,0.00,3.14,0.63
1738508911.125356,35.1,4.90,0.00,3.14,0.64
1738508911.226222,35.1,4.90,0.00,3.14,0.64
1738508911.328476,35.1,4.90,0.00,3.08,0.64
1738508911.429521,35.1,4.90,0.00,3.08,0.65
1738508911.531782,35.1,4.90,0.00,3.08,0.64
1738508911.633124,35.1,4.90,0.00,3.14,0.64
1738508911.734235,35.1,4.90,0.00,3.14,0.64
1738508911.836293,35.1,4.90,0.00,3.08,0.63
1738508911.937381,35.1,4.90,0.00,3.14,0.64
1738508912.039090,35.1,4.90,0.00,3.14,0.64
1738508912.140606,34.2,4.90,0.00,3.14,0.64
1738508912.242358,34.2,4.90,0.00,3.14,0.64
1738508912.344352,34.2,4.90,0.00,3.08,0.64
1738508912.445536,34.2,4.90,0.00,3.14,0.64
1738508912.547557,34.2,4.90,0.00,3.08,0.64
1738508912.647820,34.2,4.90,0.00,3.14,0.64
1738508912.749217,34.2,4.90,0.00,3.14,0.64
1738508912.850714,34.2,4.90,0.00,3.14,0.64
1738508912.952118,35.1,4.90,0.00,3.14,0.64
1738508913.053776,35.1,4.90,0.00,3.14,0.64
1738508913.155375,35.1,4.90,0.00,3.14,0.64
1738508913.256247,35.1,4.90,0.00,3.14,0.64
1738508913.357842,35.1,4.90,0.00,3.08,0.64
1738508913.459835,35.1,4.90,0.00,3.14,0.63
1738508913.560240,35.1,4.90,0.00,3.14,0.64
1738508913.661761,35.1,4.90,0.00,3.14,0.64
1738508913.762976,36.0,4.90,0.00,3.14,0.64
1738508913.864794,36.0,4.90,0.00,3.14,0.64
1738508913.966168,36.0,4.90,0.00,3.14,0.64
1738508914.067786,36.0,4.90,0.00,3.14,0.64
1738508914.169304,36.0,4.90,0.00,3.14,0.64
1738508914.271241,36.0,4.90,0.00,3.08,0.63
1738508914.372446,36.0,4.90,0.00,3.14,0.64
1738508914.474447,36.0,4.90,0.00,3.14,0.64
1738508914.575255,36.0,4.90,0.00,3.14,0.64
1738508914.676783,35.1,4.90,0.00,3.14,0.64
1738508914.778670,35.1,4.90,0.00,3.14,0.64
1738508914.880104,35.1,4.90,0.00,3.14,0.64
1738508914.982095,35.1,4.90,0.00,3.14,0.64
1738508915.083846,35.1,4.90,0.00,3.14,0.64
1738508915.185712,35.1,4.90,0.00,3.08,0.64
1738508915.286861,35.1,4.90,0.00,3.14,0.63
1738508915.387828,35.1,4.90,0.00,3.08,0.64
1738508915.487949,35.1,4.90,0.00,3.14,0.64
1738508915.589549,35.1,4.90,0.00,3.14,0.64
1738508915.691504,35.1,4.90,0.00,3.14,0.64
1738508915.793165,35.1,4.90,0.00,3.14,0.64
1738508915.894561,35.1,4.90,0.00,3.14,0.64
1738508915.995984,35.1,4.90,0.00,3.14,0.64
1738508916.097451,35.1,4.90,0.00,3.14,0.64
1738508916.197903,35.1,4.90,0.00,3.14,0.64
1738508916.299137,36.0,4.90,0.00,3.08,0.64
1738508916.401226,36.0,4.90,0.00,3.14,0.64
1738508916.502516,36.0,4.90,0.00,3.14,0.64
1738508916.604199,36.0,4.90,0.00,3.08,0.64
1738508916.705500,36.0,4.90,0.00,3.14,0.64
1738508916.807062,36.0,4.90,0.00,3.14,0.64
1738508916.908443,36.0,4.90,0.00,3.14,0.64
1738508917.010473,36.0,4.90,0.00,3.14,0.64
1738508917.112090,35.1,4.90,0.00,3.14,0.64
