timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507956.902222,29.8,4.89,0.00,3.18,0.65
1738507957.004824,29.8,4.89,0.00,3.18,0.65
1738507957.106580,29.8,4.90,0.00,3.18,0.65
1738507957.207904,29.8,4.89,0.00,3.14,0.64
1738507957.309370,29.8,4.90,0.00,3.14,0.65
1738507957.411111,29.8,4.90,0.00,3.18,0.66
1738507957.512980,32.5,4.90,0.00,3.18,0.66
1738507957.614806,32.5,4.89,0.00,3.18,0.65
1738507957.715742,32.5,4.90,0.00,3.18,0.65
1738507957.817382,32.5,4.89,0.00,3.18,0.65
1738507957.918619,32.5,4.89,0.00,3.18,0.65
1738507958.020970,32.5,4.89,0.00,3.18,0.65
1738507958.122446,32.5,4.90,0.00,3.18,0.64
1738507958.224200,32.5,4.89,0.00,3.18,0.65
1738507958.325755,33.3,4.90,0.00,3.18,0.65
1738507958.426422,33.3,4.90,0.00,3.18,0.65
1738507958.528481,33.3,4.89,0.00,3.18,0.65
1738507958.630612,33.3,4.89,0.00,3.18,0.65
1738507958.732052,33.3,4.89,0.00,3.18,0.65
1738507958.832947,33.3,4.89,0.00,3.18,0.65
1738507958.934713,33.3,4.89,0.00,3.18,0.65
1738507959.036543,33.3,4.89,0.00,3.18,0.65
1738507959.138300,34.2,4.89,0.00,3.18,0.65
1738507959.239800,34.2,4.89,0.00,3.24,0.65
1738507959.341326,34.2,4.89,0.00,3.14,0.64
1738507959.442769,34.2,4.89,0.00,3.18,0.65
1738507959.545781,34.2,4.90,0.00,3.14,0.65
1738507959.646057,34.2,4.89,0.00,3.18,0.65
1738507959.768898,34.2,4.90,0.00,3.14,0.65
1738507959.845672,34.2,4.89,0.00,3.18,0.65
1738507959.948097,34.2,4.90,0.00,3.14,0.65
1738507960.049892,34.2,4.89,0.00,3.24,0.66
1738507960.148936,34.2,4.90,0.00,3.18,0.65
1738507960.249515,34.2,4.90,0.00,3.18,0.64
1738507960.351399,34.2,4.89,0.00,3.18,0.65
1738507960.452537,34.2,4.89,0.00,3.18,0.65
1738507960.553444,34.2,4.89,0.00,3.18,0.65
1738507960.655154,34.2,4.90,0.00,3.14,0.65
1738507960.756226,34.2,4.90,0.00,3.18,0.65
1738507960.857573,34.2,4.89,0.00,3.14,0.65
1738507960.958579,34.2,4.89,0.00,3.18,0.65
1738507961.060168,34.2,4.90,0.00,3.18,0.65
1738507961.161885,34.2,4.89,0.00,3.18,0.65
1738507961.263097,34.2,4.89,0.00,3.18,0.65
1738507961.364761,34.2,4.90,0.00,3.18,0.65
1738507961.466176,34.2,4.90,0.00,3.14,0.65
1738507961.567447,34.2,4.90,0.00,3.18,0.65
1738507961.670497,34.2,4.89,0.00,3.18,0.65
1738507961.770878,34.2,4.89,0.00,3.18,0.65
1738507961.872123,34.2,4.89,0.00,3.18,0.65
1738507961.973613,34.2,4.90,0.00,3.18,0.66
1738507962.075849,34.2,4.90,0.00,3.18,0.65
1738507962.176003,34.2,4.89,0.00,3.18,0.65
1738507962.277273,34.2,4.90,0.00,3.18,0.65
1738507962.379125,34.2,4.89,0.00,3.18,0.66
1738507962.480421,34.2,4.90,0.00,3.18,0.65
1738507962.581922,34.2,4.89,0.00,3.18,0.65
1738507962.683813,34.2,4.90,0.00,3.14,0.65
1738507962.788565,34.2,4.89,0.00,3.18,0.65
1738507962.889375,34.2,4.90,0.00,3.18,0.65
1738507962.990876,34.2,4.90,0.00,3.18,0.65
1738507963.092449,34.2,4.89,0.00,3.18,0.65
1738507963.194002,34.2,4.89,0.00,3.18,0.65
1738507963.295677,34.2,4.90,0.00,3.18,0.65
1738507963.397150,33.3,4.89,0.00,3.18,0.65
1738507963.498761,33.3,4.90,0.00,3.18,0.65
1738507963.600150,33.3,4.89,0.00,3.18,0.65
1738507963.701945,33.3,4.90,0.00,3.14,0.65
1738507963.803400,33.3,4.90,0.00,3.18,0.65
1738507963.904818,33.3,4.89,0.00,3.18,0.65
1738507964.004994,33.3,4.89,0.00,3.18,0.65
1738507964.107711,33.3,4.89,0.00,3.18,0.65
1738507964.208254,35.1,4.89,0.00,3.18,0.65
1738507964.309751,35.1,4.89,0.00,3.18,0.65
1738507964.411441,35.1,4.89,0.00,3.18,0.65
1738507964.512967,35.1,4.90,0.00,3.18,0.65
1738507964.614549,35.1,4.90,0.00,3.14,0.64
1738507964.716154,35.1,4.89,0.00,3.18,0.65
1738507964.817687,35.1,4.90,0.00,3.18,0.65
1738507964.918312,35.1,4.89,0.00,3.18,0.65
1738507965.019958,34.2,4.90,0.00,3.18,0.65
1738507965.122437,34.2,4.90,0.00,3.18,0.66
1738507965.224036,34.2,4.89,0.00,3.14,0.65
1738507965.325585,34.2,4.89,0.00,3.18,0.65
1738507965.427221,34.2,4.90,0.00,3.14,0.65
1738507965.528753,34.2,4.89,0.00,3.18,0.65
1738507965.630391,34.2,4.90,0.00,3.18,0.65
1738507965.731954,34.2,4.89,0.00,3.18,0.65
1738507965.833610,34.2,4.90,0.00,3.18,0.65
1738507965.935052,34.2,4.90,0.00,3.18,0.65
1738507966.036740,34.2,4.89,0.00,3.18,0.65
1738507966.138199,34.2,4.89,0.00,3.18,0.65
1738507966.239789,34.2,4.90,0.00,3.14,0.65
1738507966.343218,34.2,4.90,0.00,3.18,0.66
1738507966.443229,34.2,4.90,0.00,3.18,0.65
1738507966.544492,34.2,4.89,0.00,3.18,0.66
1738507966.646116,34.2,4.90,0.00,3.18,0.65
1738507966.747798,34.2,4.90,0.00,3.18,0.65
1738507966.849350,34.2,4.89,0.00,3.18,0.65
1738507966.950890,34.2,4.90,0.00,3.18,0.65
1738507967.052442,34.2,4.90,0.00,3.18,0.65
1738507967.154106,34.2,4.89,0.00,3.18,0.64
1738507967.255728,34.2,4.90,0.00,3.18,0.65
