timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508083.650995,30.7,4.89,0.00,3.18,0.65
1738508083.751747,30.7,4.90,0.00,3.18,0.65
1738508083.856529,30.7,4.89,0.00,3.18,0.64
1738508083.953200,30.7,4.90,0.00,3.18,0.65
1738508084.054188,30.7,4.90,0.00,3.18,0.65
1738508084.155631,33.3,4.90,0.00,3.14,0.65
1738508084.257814,33.3,4.90,0.00,3.18,0.65
1738508084.359522,33.3,4.90,0.00,3.14,0.65
1738508084.461151,33.3,4.90,0.00,3.18,0.66
1738508084.562565,33.3,4.90,0.00,3.18,0.65
1738508084.664266,33.3,4.90,0.00,3.18,0.65
1738508084.765940,33.3,4.90,0.00,3.14,0.65
1738508084.867431,33.3,4.90,0.00,3.18,0.65
1738508084.969157,33.3,4.90,0.00,3.18,0.65
1738508085.070608,33.3,4.90,0.00,3.18,0.65
1738508085.172147,33.3,4.90,0.00,3.18,0.65
1738508085.273768,33.3,4.90,0.00,3.18,0.65
1738508085.375310,33.3,4.90,0.00,3.14,0.65
1738508085.476785,33.3,4.90,0.00,3.18,0.65
1738508085.578359,33.3,4.90,0.00,3.18,0.65
1738508085.680179,33.3,4.90,0.00,3.18,0.65
1738508085.781757,33.3,4.90,0.00,3.14,0.65
1738508085.883119,34.2,4.90,0.00,3.18,0.65
1738508085.984779,34.2,4.90,0.00,3.18,0.65
1738508086.086281,34.2,4.90,0.00,3.18,0.65
1738508086.186878,34.2,4.90,0.00,3.18,0.65
1738508086.288515,34.2,4.90,0.00,3.14,0.64
1738508086.390052,34.2,4.90,0.00,3.14,0.65
1738508086.493256,34.2,4.90,0.00,3.18,0.65
1738508086.594311,34.2,4.89,0.00,3.18,0.65
1738508086.695916,34.2,4.90,0.00,3.18,0.65
1738508086.797225,34.2,4.90,0.00,3.14,0.65
1738508086.898981,34.2,4.90,0.00,3.18,0.65
1738508087.000756,34.2,4.90,0.00,3.18,0.65
1738508087.102216,34.2,4.90,0.00,3.18,0.65
1738508087.203680,34.2,4.90,0.00,3.18,0.65
1738508087.305345,34.2,4.90,0.00,3.18,0.65
1738508087.405728,34.2,4.90,0.00,3.18,0.65
1738508087.506635,33.3,4.90,0.00,3.18,0.65
1738508087.606833,33.3,4.90,0.00,3.18,0.65
1738508087.708417,33.3,4.90,0.00,3.18,0.65
1738508087.809849,33.3,4.90,0.00,3.18,0.65
1738508087.910539,33.3,4.90,0.00,3.18,0.64
1738508088.013203,33.3,4.90,0.00,3.18,0.65
1738508088.114629,33.3,4.90,0.00,3.14,0.65
1738508088.216215,33.3,4.90,0.00,3.18,0.65
1738508088.316128,34.2,4.90,0.00,3.18,0.65
1738508088.417713,34.2,4.90,0.00,3.18,0.65
1738508088.519337,34.2,4.90,0.00,3.18,0.66
1738508088.620408,34.2,4.90,0.00,3.18,0.65
1738508088.722621,34.2,4.90,0.00,3.18,0.64
1738508088.823915,34.2,4.90,0.00,3.18,0.64
1738508088.924817,34.2,4.90,0.00,3.18,0.64
1738508089.027431,34.2,4.90,0.00,3.18,0.65
1738508089.129781,34.2,4.90,0.00,3.14,0.65
1738508089.230656,34.2,4.90,0.00,3.18,0.65
1738508089.332066,34.2,4.90,0.00,3.18,0.65
1738508089.433660,34.2,4.90,0.00,3.18,0.65
1738508089.535142,34.2,4.90,0.00,3.18,0.65
1738508089.637012,34.2,4.90,0.00,3.18,0.65
1738508089.738380,34.2,4.90,0.00,3.18,0.65
1738508089.839924,34.2,4.90,0.00,3.18,0.65
1738508089.941548,34.2,4.90,0.00,3.14,0.65
1738508090.043224,34.2,4.89,0.00,3.18,0.65
1738508090.144552,34.2,4.90,0.00,3.18,0.65
1738508090.246292,34.2,4.90,0.00,3.18,0.65
1738508090.347606,34.2,4.89,0.00,3.18,0.65
1738508090.449546,34.2,4.90,0.00,3.18,0.65
1738508090.550872,34.2,4.90,0.00,3.18,0.65
1738508090.652466,34.2,4.90,0.00,3.18,0.65
1738508090.754135,34.2,4.89,0.00,3.18,0.66
1738508090.855778,34.2,4.90,0.00,3.14,0.65
1738508090.957268,34.2,4.90,0.00,3.18,0.66
1738508091.058983,34.2,4.90,0.00,3.18,0.65
1738508091.160373,34.2,4.89,0.00,3.18,0.66
1738508091.262137,34.2,4.90,0.00,3.18,0.65
1738508091.363584,34.2,4.90,0.00,3.18,0.65
1738508091.465139,34.2,4.90,0.00,3.14,0.65
1738508091.566846,34.2,4.90,0.00,3.18,0.65
1738508091.668476,35.1,4.90,0.00,3.18,0.65
1738508091.769980,35.1,4.90,0.00,3.18,0.65
1738508091.871441,35.1,4.90,0.00,3.18,0.65
1738508091.972964,35.1,4.90,0.00,3.18,0.65
1738508092.074583,35.1,4.90,0.00,3.14,0.64
1738508092.176336,35.1,4.89,0.00,3.18,0.65
1738508092.277765,35.1,4.90,0.00,3.18,0.65
1738508092.379391,35.1,4.90,0.00,3.18,0.65
1738508092.481283,35.1,4.90,0.00,3.14,0.65
1738508092.582636,35.1,4.90,0.00,3.14,0.65
1738508092.684325,35.1,4.89,0.00,3.18,0.65
1738508092.785778,35.1,4.90,0.00,3.18,0.65
1738508092.887484,35.1,4.90,0.00,3.14,0.65
1738508092.989354,35.1,4.90,0.00,3.18,0.65
1738508093.090544,35.1,4.90,0.00,3.18,0.65
1738508093.192130,35.1,4.90,0.00,3.18,0.65
1738508093.293749,35.1,4.90,0.00,3.18,0.64
1738508093.395388,34.2,4.90,0.00,3.18,0.65
1738508093.496889,34.2,4.90,0.00,3.18,0.65
1738508093.598449,34.2,4.90,0.00,3.18,0.65
1738508093.700041,34.2,4.90,0.00,3.14,0.65
1738508093.801628,34.2,4.90,0.00,3.18,0.65
1738508093.903095,34.2,4.90,0.00,3.18,0.65
1738508094.004789,34.2,4.90,0.00,3.18,0.65
1738508094.106380,34.2,4.90,0.00,3.18,0.65
1738508094.207849,35.1,4.90,0.00,3.18,0.65
1738508094.308875,35.1,4.89,0.00,3.18,0.65
1738508094.410958,35.1,4.90,0.00,3.18,0.65
1738508094.512293,35.1,4.90,0.00,3.14,0.65
1738508094.614154,35.1,4.90,0.00,3.18,0.65
1738508094.715834,35.1,4.90,0.00,3.18,0.65
1738508094.817430,35.1,4.90,0.00,3.18,0.65
1738508094.919144,35.1,4.90,0.00,3.18,0.65
1738508095.020583,34.2,4.90,0.00,3.14,0.65
1738508095.122038,34.2,4.90,0.00,3.18,0.65
1738508095.223450,34.2,4.90,0.00,3.18,0.65
1738508095.325306,34.2,4.90,0.00,3.18,0.65
1738508095.426770,34.2,4.90,0.00,3.18,0.65
1738508095.528499,34.2,4.90,0.00,3.24,0.64
1738508095.629768,34.2,4.90,0.00,3.18,0.65
1738508095.731579,34.2,4.89,0.00,3.18,0.65
1738508095.833199,34.2,4.90,0.00,3.18,0.65
1738508095.934673,35.1,4.90,0.00,3.18,0.65
1738508096.036430,35.1,4.90,0.00,3.14,0.65
1738508096.138005,35.1,4.90,0.00,3.18,0.65
1738508096.239683,35.1,4.90,0.00,3.18,0.65
1738508096.340999,35.1,4.90,0.00,3.18,0.65
1738508096.442740,35.1,4.90,0.00,3.18,0.65
1738508096.544053,35.1,4.90,0.00,3.18,0.65
1738508096.645901,35.1,4.90,0.00,3.18,0.65
1738508096.747539,35.1,4.90,0.00,3.18,0.65
1738508096.848977,35.1,4.90,0.00,3.18,0.64
1738508096.950697,35.1,4.90,0.00,3.18,0.65
1738508097.052165,35.1,4.90,0.00,3.18,0.65
1738508097.153988,35.1,4.90,0.00,3.18,0.65
1738508097.255229,35.1,4.90,0.00,3.18,0.65
1738508097.356914,35.1,4.90,0.00,3.18,0.65
1738508097.458515,35.1,4.90,0.00,3.18,0.65
1738508097.560007,35.1,4.90,0.00,3.18,0.65
1738508097.661704,35.1,4.90,0.00,3.18,0.65
1738508097.763390,35.1,4.90,0.00,3.18,0.65
1738508097.864745,35.1,4.90,0.00,3.18,0.65
1738508097.966291,35.1,4.90,0.00,3.18,0.65
1738508098.068023,35.1,4.90,0.00,3.18,0.65
1738508098.169588,35.1,4.90,0.00,3.18,0.65
1738508098.271161,35.1,4.90,0.00,3.18,0.65
1738508098.372877,35.1,4.90,0.00,3.18,0.65
1738508098.474536,35.1,4.90,0.00,3.18,0.65
