timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508684.498084,32.5,4.92,0.00,2.94,0.59
1738508684.599623,32.5,4.92,0.00,2.94,0.60
1738508684.701267,32.5,4.92,0.00,2.94,0.59
1738508684.802771,33.3,4.92,0.00,2.94,0.60
1738508684.904460,33.3,4.92,0.00,2.94,0.59
1738508685.005948,33.3,4.92,0.00,2.92,0.59
1738508685.107586,33.3,4.92,0.00,2.92,0.60
1738508685.209159,33.3,4.92,0.00,2.94,0.60
1738508685.310442,33.3,4.92,0.00,2.94,0.60
1738508685.412236,33.3,4.92,0.00,2.92,0.59
1738508685.513576,33.3,4.92,0.00,2.92,0.59
1738508685.615495,33.3,4.92,0.00,2.92,0.60
1738508685.717100,33.3,4.92,0.00,2.94,0.60
1738508685.818588,33.3,4.92,0.00,2.92,0.59
1738508685.920243,33.3,4.92,0.00,2.94,0.60
1738508686.021834,33.3,4.92,0.00,2.92,0.59
1738508686.123441,33.3,4.92,0.00,2.94,0.60
1738508686.224933,33.3,4.92,0.00,2.92,0.59
1738508686.326453,33.3,4.92,0.00,2.94,0.60
1738508686.428030,32.5,4.92,0.00,2.92,0.60
1738508686.529623,32.5,4.92,0.00,2.94,0.59
1738508686.631244,32.5,4.92,0.00,2.94,0.60
1738508686.732871,32.5,4.92,0.00,2.94,0.59
1738508686.834348,32.5,4.92,0.00,2.92,0.60
1738508686.936017,32.5,4.92,0.00,2.92,0.60
1738508687.037511,32.5,4.92,0.00,2.92,0.60
1738508687.139157,32.5,4.92,0.00,2.92,0.59
1738508687.240825,32.5,4.92,0.00,2.92,0.60
1738508687.341988,33.3,4.92,0.00,2.94,0.60
1738508687.443564,33.3,4.92,0.00,2.92,0.60
1738508687.545477,33.3,4.92,0.00,2.94,0.60
1738508687.647091,33.3,4.92,0.00,2.94,0.59
1738508687.748675,33.3,4.92,0.00,2.94,0.60
1738508687.850220,33.3,4.92,0.00,2.94,0.59
1738508687.951739,33.3,4.92,0.00,2.92,0.59
1738508688.053397,33.3,4.92,0.00,2.94,0.60
1738508688.154993,32.5,4.92,0.00,2.92,0.60
1738508688.256543,32.5,4.92,0.00,2.94,0.60
1738508688.358183,32.5,4.92,0.00,2.92,0.59
1738508688.459733,32.5,4.92,0.00,2.94,0.60
1738508688.561158,32.5,4.92,0.00,2.92,0.60
1738508688.662834,32.5,4.92,0.00,2.94,0.60
1738508688.764443,32.5,4.92,0.00,2.92,0.60
1738508688.866044,32.5,4.92,0.00,2.94,0.60
1738508688.967627,32.5,4.92,0.00,2.94,0.60
1738508689.069145,32.5,4.92,0.00,2.94,0.60
1738508689.170580,32.5,4.92,0.00,2.92,0.60
1738508689.272212,32.5,4.92,0.00,2.94,0.59
1738508689.373915,32.5,4.92,0.00,2.94,0.60
1738508689.475525,32.5,4.92,0.00,2.92,0.60
