timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508702.627154,31.6,4.92,0.00,2.94,0.59
1738508702.727173,31.6,4.92,0.00,2.92,0.59
1738508702.827482,31.6,4.92,0.00,2.92,0.60
1738508702.927539,31.6,4.92,0.00,2.92,0.59
1738508703.027172,31.6,4.92,0.00,2.92,0.59
1738508703.127430,31.6,4.92,0.00,2.94,0.60
1738508703.227638,32.5,4.92,0.00,2.94,0.60
1738508703.327368,32.5,4.92,0.00,2.92,0.60
1738508703.427112,32.5,4.92,0.00,2.94,0.59
1738508703.527419,32.5,4.92,0.00,2.94,0.60
1738508703.627496,32.5,4.92,0.00,2.94,0.60
1738508703.727607,32.5,4.92,0.00,2.92,0.60
1738508703.827622,32.5,4.92,0.00,2.92,0.60
1738508703.927270,32.5,4.92,0.00,2.92,0.59
1738508704.027520,32.5,4.92,0.00,2.94,0.60
1738508704.127461,32.5,4.92,0.00,2.94,0.60
1738508704.227570,32.5,4.92,0.00,2.94,0.59
1738508704.327502,32.5,4.92,0.00,2.94,0.59
1738508704.427548,32.5,4.92,0.00,2.92,0.60
1738508704.527577,32.5,4.92,0.00,2.94,0.59
1738508704.627570,32.5,4.92,0.00,2.94,0.60
1738508704.727362,32.5,4.92,0.00,2.92,0.60
1738508704.827590,32.5,4.92,0.00,2.94,0.60
1738508704.927520,31.6,4.92,0.00,2.92,0.59
1738508705.027582,31.6,4.92,0.00,2.94,0.59
1738508705.127473,31.6,4.92,0.00,2.92,0.60
1738508705.227425,31.6,4.92,0.00,2.94,0.60
1738508705.327533,31.6,4.92,0.00,2.92,0.59
1738508705.427350,31.6,4.92,0.00,2.94,0.60
1738508705.527509,31.6,4.92,0.00,2.94,0.60
1738508705.627630,31.6,4.92,0.00,2.94,0.60
1738508705.727431,31.6,4.92,0.00,2.94,0.60
1738508705.827606,31.6,4.92,0.00,2.92,0.59
1738508705.927592,31.6,4.92,0.00,2.92,0.59
1738508706.027509,31.6,4.92,0.00,2.92,0.59
1738508706.127615,31.6,4.92,0.00,2.94,0.60
1738508706.227420,31.6,4.92,0.00,2.92,0.59
1738508706.327777,31.6,4.92,0.00,2.94,0.60
1738508706.427618,31.6,4.92,0.00,2.92,0.59
1738508706.527533,31.6,4.92,0.00,2.92,0.60
1738508706.627537,31.6,4.92,0.00,2.92,0.60
1738508706.727423,31.6,4.92,0.00,2.92,0.60
1738508706.827675,31.6,4.93,0.00,2.92,0.60
1738508706.927486,31.6,4.92,0.00,2.94,0.60
1738508707.027650,31.6,4.92,0.00,2.92,0.60
1738508707.127254,31.6,4.92,0.00,2.92,0.59
1738508707.227562,31.6,4.92,0.00,2.94,0.60
1738508707.327706,31.6,4.92,0.00,2.92,0.59
1738508707.427708,32.5,4.92,0.00,2.92,0.60
1738508707.527517,32.5,4.92,0.00,2.92,0.59
1738508707.627625,32.5,4.92,0.00,2.94,0.59
1738508707.727689,32.5,4.92,0.00,2.92,0.60
1738508707.827543,32.5,4.92,0.00,2.94,0.60
1738508707.927444,32.5,4.92,0.00,2.92,0.60
1738508708.027611,32.5,4.92,0.00,2.94,0.60
1738508708.127342,32.5,4.92,0.00,2.92,0.60
1738508708.227402,31.6,4.92,0.00,2.92,0.59
1738508708.327603,31.6,4.92,0.00,2.92,0.59
1738508708.427454,31.6,4.92,0.00,2.94,0.60
1738508708.527487,31.6,4.92,0.00,2.92,0.59
1738508708.627451,31.6,4.92,0.00,2.92,0.60
1738508708.727640,31.6,4.92,0.00,2.94,0.59
1738508708.827683,31.6,4.92,0.00,2.94,0.60
1738508708.927694,31.6,4.92,0.00,2.92,0.59
1738508709.027672,31.6,4.92,0.00,2.94,0.60
1738508709.127348,31.6,4.92,0.00,2.94,0.60
1738508709.232171,31.6,4.92,0.00,2.94,0.60
1738508709.327583,31.6,4.93,0.00,2.92,0.60
1738508709.427584,31.6,4.92,0.00,2.94,0.60
1738508709.527559,31.6,4.92,0.00,2.94,0.60
1738508709.627774,31.6,4.92,0.00,2.94,0.60
1738508709.727722,31.6,4.92,0.00,2.92,0.60
1738508709.827699,31.6,4.92,0.00,2.94,0.59
1738508709.927717,31.6,4.92,0.00,2.94,0.60
1738508710.027565,31.6,4.92,0.00,2.92,0.59
1738508710.127604,31.6,4.92,0.00,2.92,0.60
1738508710.227668,31.6,4.92,0.00,2.92,0.60
1738508710.327647,31.6,4.92,0.00,2.94,0.60
1738508710.427678,31.6,4.92,0.00,2.94,0.59
1738508710.527698,31.6,4.92,0.00,2.94,0.60
1738508710.627531,31.6,4.92,0.00,2.92,0.60
1738508710.727648,31.6,4.92,0.00,2.94,0.59
1738508710.827754,31.6,4.92,0.00,2.92,0.60
1738508710.927736,31.6,4.92,0.00,2.94,0.60
1738508711.027541,31.6,4.92,0.00,2.94,0.60
1738508711.127661,31.6,4.92,0.00,2.94,0.60
1738508711.227632,31.6,4.92,0.00,2.92,0.59
1738508711.327573,31.6,4.92,0.00,2.94,0.60
1738508711.427646,31.6,4.92,0.00,2.92,0.59
1738508711.527682,31.6,4.92,0.00,2.92,0.60
1738508711.627701,31.6,4.92,0.00,2.92,0.60
1738508711.727713,31.6,4.92,0.00,2.92,0.59
1738508711.827704,31.6,4.92,0.00,2.94,0.60
1738508711.927775,31.6,4.92,0.00,2.92,0.60
1738508712.027632,31.6,4.92,0.00,2.92,0.59
1738508712.127283,31.6,4.92,0.00,2.92,0.60
1738508712.227379,31.6,4.92,0.00,2.94,0.60
1738508712.327681,31.6,4.92,0.00,2.92,0.60
1738508712.427707,32.5,4.92,0.00,2.92,0.60
1738508712.527592,32.5,4.92,0.00,2.92,0.60
1738508712.627726,32.5,4.92,0.00,2.92,0.60
1738508712.727637,32.5,4.92,0.00,2.94,0.60
1738508712.827686,32.5,4.92,0.00,2.92,0.60
1738508712.927735,32.5,4.92,0.00,2.94,0.59
1738508713.027457,32.5,4.92,0.00,2.94,0.60
1738508713.127707,32.5,4.92,0.00,2.92,0.59
1738508713.227340,32.5,4.92,0.00,2.94,0.60
1738508713.327610,31.6,4.92,0.00,2.92,0.59
1738508713.427650,31.6,4.93,0.00,2.94,0.59
1738508713.527553,31.6,4.92,0.00,2.92,0.59
1738508713.627571,31.6,4.92,0.00,2.94,0.59
1738508713.727713,31.6,4.92,0.00,2.94,0.59
1738508713.827560,31.6,4.92,0.00,2.92,0.60
1738508713.927769,31.6,4.92,0.00,2.92,0.60
1738508714.027714,31.6,4.92,0.00,2.92,0.60
1738508714.127711,31.6,4.92,0.00,2.92,0.59
1738508714.227720,31.6,4.92,0.00,2.94,0.59
1738508714.327788,31.6,4.92,0.00,2.94,0.59
1738508714.427682,31.6,4.92,0.00,2.94,0.59
1738508714.527788,31.6,4.92,0.00,2.92,0.60
1738508714.627571,31.6,4.92,0.00,2.92,0.60
1738508714.727761,31.6,4.92,0.00,2.92,0.60
1738508714.827746,31.6,4.92,0.00,2.92,0.60
1738508714.927623,31.6,4.92,0.00,2.92,0.60
1738508715.027640,31.6,4.92,0.00,2.94,0.60
1738508715.127766,31.6,4.92,0.00,2.92,0.60
1738508715.227669,31.6,4.92,0.00,2.92,0.60
1738508715.327724,31.6,4.92,0.00,2.92,0.60
1738508715.427736,31.6,4.92,0.00,2.92,0.59
1738508715.527712,31.6,4.92,0.00,2.94,0.60
1738508715.627682,31.6,4.92,0.00,2.94,0.60
1738508715.727686,31.6,4.92,0.00,2.92,0.59
1738508715.827746,31.6,4.92,0.00,2.92,0.59
1738508715.927721,31.6,4.92,0.00,2.94,0.60
1738508716.027768,31.6,4.92,0.00,2.92,0.60
1738508716.127751,31.6,4.92,0.00,2.94,0.60
1738508716.227418,31.6,4.92,0.00,2.92,0.59
1738508716.327652,31.6,4.92,0.00,2.92,0.60
1738508716.427461,31.6,4.92,0.00,2.92,0.60
1738508716.527365,31.6,4.92,0.00,2.94,0.60
1738508716.627742,31.6,4.92,0.00,2.92,0.59
1738508716.727722,31.6,4.92,0.00,2.92,0.60
1738508716.827714,31.6,4.92,0.00,2.92,0.60
1738508716.927672,31.6,4.92,0.00,2.92,0.59
1738508717.027749,31.6,4.92,0.00,2.92,0.60
1738508717.127677,31.6,4.92,0.00,2.94,0.60
1738508717.227600,31.6,4.92,0.00,2.94,0.60
1738508717.327757,31.6,4.92,0.00,2.92,0.60
1738508717.427694,31.6,4.92,0.00,2.94,0.60
