timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508722.051787,34.2,4.92,0.00,2.92,0.59
1738508722.151768,34.2,4.92,0.00,2.94,0.60
1738508722.251685,34.2,4.92,0.00,2.94,0.60
1738508722.363837,34.2,4.92,0.00,2.92,0.60
1738508722.451671,34.2,4.92,0.00,2.92,0.59
1738508722.551723,32.5,4.92,0.00,2.92,0.59
1738508722.651699,32.5,4.92,0.00,2.92,0.60
1738508722.751836,32.5,4.92,0.00,2.94,0.60
1738508722.851766,32.5,4.92,0.00,2.92,0.60
1738508722.951729,32.5,4.92,0.00,2.92,0.59
1738508723.051759,32.5,4.92,0.00,2.92,0.59
1738508723.151693,32.5,4.93,0.00,2.92,0.60
1738508723.251694,32.5,4.92,0.00,2.94,0.60
1738508723.351686,32.5,4.92,0.00,2.92,0.60
1738508723.451736,32.5,4.92,0.00,2.94,0.60
1738508723.551560,32.5,4.92,0.00,2.92,0.60
1738508723.651538,32.5,4.92,0.00,2.92,0.59
1738508723.751689,32.5,4.92,0.00,2.92,0.59
1738508723.851736,32.5,4.92,0.00,2.92,0.60
1738508723.951749,32.5,4.92,0.00,2.92,0.59
1738508724.051712,32.5,4.92,0.00,2.94,0.59
1738508724.151801,32.5,4.92,0.00,2.92,0.59
1738508724.251807,31.6,4.92,0.00,2.92,0.60
1738508724.351763,31.6,4.92,0.00,2.92,0.59
1738508724.451696,31.6,4.92,0.00,2.92,0.60
1738508724.551801,31.6,4.92,0.00,2.92,0.59
1738508724.651511,31.6,4.92,0.00,2.92,0.60
1738508724.751689,31.6,4.92,0.00,2.94,0.60
1738508724.851760,31.6,4.92,0.00,2.94,0.60
1738508724.951863,31.6,4.92,0.00,2.92,0.60
1738508725.051644,32.5,4.92,0.00,2.94,0.59
1738508725.159063,32.5,4.92,0.00,2.92,0.60
1738508725.251702,32.5,4.92,0.00,2.92,0.60
1738508725.351818,32.5,4.92,0.00,2.92,0.60
1738508725.451778,32.5,4.92,0.00,2.92,0.59
1738508725.551801,32.5,4.92,0.00,2.94,0.60
1738508725.651766,32.5,4.92,0.00,2.92,0.59
1738508725.751765,32.5,4.92,0.00,2.92,0.60
1738508725.851720,32.5,4.92,0.00,2.92,0.59
1738508725.951714,32.5,4.92,0.00,2.92,0.60
1738508726.051686,32.5,4.92,0.00,2.94,0.59
1738508726.151779,32.5,4.92,0.00,2.92,0.60
1738508726.251801,32.5,4.92,0.00,2.92,0.60
1738508726.351654,32.5,4.92,0.00,2.94,0.59
1738508726.451755,32.5,4.92,0.00,2.94,0.60
1738508726.551797,32.5,4.92,0.00,2.92,0.60
1738508726.651844,32.5,4.92,0.00,2.94,0.59
1738508726.751857,32.5,4.92,0.00,2.94,0.59
1738508726.851767,32.5,4.92,0.00,2.94,0.60
1738508726.951684,32.5,4.92,0.00,2.92,0.60
1738508727.051756,32.5,4.92,0.00,2.94,0.60
1738508727.151840,32.5,4.92,0.00,2.92,0.60
1738508727.251809,32.5,4.92,0.00,2.94,0.59
1738508727.351773,32.5,4.92,0.00,2.92,0.59
1738508727.451643,32.5,4.92,0.00,2.92,0.59
1738508727.551782,31.6,4.92,0.00,2.94,0.60
1738508727.651811,31.6,4.92,0.00,2.92,0.59
1738508727.751757,31.6,4.92,0.00,2.94,0.59
1738508727.851730,31.6,4.92,0.00,2.92,0.60
1738508727.951760,31.6,4.92,0.00,2.94,0.60
1738508728.051843,31.6,4.92,0.00,2.94,0.59
1738508728.151675,31.6,4.92,0.00,2.92,0.59
1738508728.251833,31.6,4.92,0.00,2.94,0.59
1738508728.351670,31.6,4.92,0.00,2.92,0.60
1738508728.451838,31.6,4.92,0.00,2.94,0.59
1738508728.551725,31.6,4.92,0.00,2.92,0.60
1738508728.651761,31.6,4.92,0.00,2.92,0.60
1738508728.751767,31.6,4.92,0.00,2.94,0.60
1738508728.851802,31.6,4.92,0.00,2.94,0.59
1738508728.951755,31.6,4.92,0.00,2.94,0.59
1738508729.051816,31.6,4.92,0.00,2.92,0.59
1738508729.151806,31.6,4.93,0.00,2.94,0.59
1738508729.251812,31.6,4.92,0.00,2.92,0.60
1738508729.351747,31.6,4.92,0.00,2.92,0.60
1738508729.451786,31.6,4.92,0.00,2.94,0.59
1738508729.551502,31.6,4.92,0.00,2.94,0.60
1738508729.651601,31.6,4.92,0.00,2.92,0.59
1738508729.751862,31.6,4.92,0.00,2.92,0.59
1738508729.851339,31.6,4.92,0.00,2.94,0.59
1738508729.951724,31.6,4.92,0.00,2.92,0.59
1738508730.051728,31.6,4.92,0.00,2.92,0.60
1738508730.151635,31.6,4.92,0.00,2.92,0.59
1738508730.251674,31.6,4.92,0.00,2.92,0.60
1738508730.352201,31.6,4.92,0.00,2.94,0.59
1738508730.451847,31.6,4.92,0.00,2.92,0.59
1738508730.551473,31.6,4.92,0.00,2.94,0.60
1738508730.651808,31.6,4.92,0.00,2.92,0.59
1738508730.751833,31.6,4.92,0.00,2.92,0.59
1738508730.851773,31.6,4.92,0.00,2.92,0.60
1738508730.951761,31.6,4.92,0.00,2.92,0.60
1738508731.051802,31.6,4.92,0.00,2.92,0.59
1738508731.151895,31.6,4.92,0.00,2.94,0.59
1738508731.251550,31.6,4.92,0.00,2.92,0.60
1738508731.351765,31.6,4.92,0.00,2.92,0.59
1738508731.451918,31.6,4.92,0.00,2.92,0.60
1738508731.551498,31.6,4.92,0.00,2.92,0.59
1738508731.651483,31.6,4.92,0.00,2.92,0.59
1738508731.751850,31.6,4.92,0.00,2.92,0.59
1738508731.851755,31.6,4.92,0.00,2.92,0.60
1738508731.951873,31.6,4.92,0.00,2.94,0.59
1738508732.051801,31.6,4.92,0.00,2.92,0.59
1738508732.151817,31.6,4.92,0.00,2.92,0.60
1738508732.251830,31.6,4.92,0.00,2.92,0.60
1738508732.351849,31.6,4.92,0.00,2.94,0.60
1738508732.451953,31.6,4.92,0.00,2.92,0.60
1738508732.551540,31.6,4.92,0.00,2.92,0.60
1738508732.651813,31.6,4.92,0.00,2.92,0.60
1738508732.751890,31.6,4.92,0.00,2.94,0.59
1738508732.851788,31.6,4.92,0.00,2.94,0.60
1738508732.951835,31.6,4.92,0.00,2.92,0.60
1738508733.051736,31.6,4.92,0.00,2.92,0.60
1738508733.151882,31.6,4.92,0.00,2.94,0.60
1738508733.251689,31.6,4.92,0.00,2.92,0.59
1738508733.351766,31.6,4.92,0.00,2.92,0.60
1738508733.451803,31.6,4.92,0.00,2.92,0.60
1738508733.551512,31.6,4.92,0.00,2.94,0.60
1738508733.651775,31.6,4.92,0.00,2.94,0.60
1738508733.751782,31.6,4.92,0.00,2.92,0.60
1738508733.851459,31.6,4.92,0.00,2.94,0.60
1738508733.951763,31.6,4.92,0.00,2.92,0.60
1738508734.051795,31.6,4.92,0.00,2.94,0.60
1738508734.151821,31.6,4.92,0.00,2.92,0.60
1738508734.251858,31.6,4.92,0.00,2.92,0.60
1738508734.351812,31.6,4.93,0.00,2.94,0.60
1738508734.451871,31.6,4.92,0.00,2.94,0.59
1738508734.551734,31.6,4.92,0.00,2.92,0.60
1738508734.651862,31.6,4.92,0.00,2.94,0.60
1738508734.751869,31.6,4.92,0.00,2.92,0.59
1738508734.851821,31.6,4.92,0.00,2.92,0.59
1738508734.951720,31.6,4.92,0.00,2.92,0.59
1738508735.051798,31.6,4.92,0.00,2.92,0.60
1738508735.151727,31.6,4.92,0.00,2.92,0.59
1738508735.251787,31.6,4.92,0.00,2.94,0.60
1738508735.351809,31.6,4.92,0.00,2.94,0.60
1738508735.451881,31.6,4.92,0.00,2.92,0.59
1738508735.551700,31.6,4.92,0.00,2.94,0.60
1738508735.651900,31.6,4.92,0.00,2.92,0.59
1738508735.751891,31.6,4.92,0.00,2.92,0.59
1738508735.851857,31.6,4.92,0.00,2.92,0.59
1738508735.951804,31.6,4.92,0.00,2.92,0.59
1738508736.051899,31.6,4.92,0.00,2.94,0.60
1738508736.151863,31.6,4.92,0.00,2.92,0.60
1738508736.251913,31.6,4.92,0.00,2.92,0.59
1738508736.351914,31.6,4.92,0.00,2.92,0.60
1738508736.451729,31.6,4.92,0.00,2.92,0.60
1738508736.551727,31.6,4.92,0.00,2.92,0.59
1738508736.651852,31.6,4.92,0.00,2.92,0.60
1738508736.751894,31.6,4.92,0.00,2.92,0.60
1738508736.851847,31.6,4.92,0.00,2.92,0.59
