timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509180.922212,27.2,4.92,0.00,2.92,0.60
1738509181.023654,27.2,4.92,0.00,2.94,0.60
1738509181.125659,27.2,4.92,0.00,2.94,0.60
1738509181.227143,27.2,4.92,0.00,2.94,0.60
1738509181.328838,30.7,4.92,0.00,2.94,0.60
1738509181.430372,30.7,4.92,0.00,2.94,0.60
1738509181.531963,30.7,4.92,0.00,2.94,0.60
1738509181.633534,30.7,4.92,0.00,2.94,0.60
1738509181.735052,30.7,4.92,0.00,2.94,0.60
1738509181.836748,30.7,4.92,0.00,2.94,0.60
1738509181.938341,30.7,4.92,0.00,2.94,0.60
1738509182.039734,30.7,4.92,0.00,2.94,0.60
1738509182.141552,30.7,4.92,0.00,2.94,0.60
1738509182.243066,31.6,4.92,0.00,2.94,0.59
1738509182.344650,31.6,4.92,0.00,2.94,0.59
1738509182.446241,31.6,4.92,0.00,2.94,0.60
1738509182.547767,31.6,4.92,0.00,2.94,0.60
1738509182.649375,31.6,4.92,0.00,2.94,0.60
1738509182.750729,31.6,4.92,0.00,2.94,0.60
1738509182.852491,31.6,4.92,0.00,2.94,0.60
1738509182.954119,31.6,4.92,0.00,2.94,0.60
1738509183.055625,32.5,4.92,0.00,2.94,0.60
1738509183.157309,32.5,4.92,0.00,2.94,0.60
1738509183.258888,32.5,4.92,0.00,2.94,0.60
1738509183.360416,32.5,4.92,0.00,2.94,0.60
1738509183.461941,32.5,4.92,0.00,2.94,0.60
1738509183.563466,32.5,4.92,0.00,2.94,0.60
1738509183.665313,32.5,4.92,0.00,2.94,0.60
1738509183.766663,32.5,4.92,0.00,2.94,0.60
1738509183.868252,32.5,4.92,0.00,2.94,0.60
1738509183.969939,32.5,4.92,0.00,2.92,0.60
1738509184.071465,32.5,4.92,0.00,2.94,0.60
1738509184.172997,32.5,4.92,0.00,2.94,0.60
1738509184.274523,32.5,4.92,0.00,2.92,0.60
1738509184.376105,32.5,4.92,0.00,2.94,0.60
1738509184.477898,32.5,4.92,0.00,2.94,0.60
1738509184.579428,32.5,4.92,0.00,2.92,0.60
1738509184.680959,32.5,4.92,0.00,2.94,0.60
1738509184.782521,32.5,4.92,0.00,2.94,0.59
1738509184.884196,32.5,4.92,0.00,2.94,0.61
1738509184.985789,32.5,4.92,0.00,2.94,0.60
1738509185.087468,32.5,4.92,0.00,2.94,0.60
1738509185.188926,32.5,4.92,0.00,2.92,0.59
1738509185.290547,32.5,4.92,0.00,2.92,0.60
1738509185.391810,32.5,4.92,0.00,2.94,0.60
1738509185.493517,32.5,4.92,0.00,2.94,0.59
1738509185.595194,32.5,4.92,0.00,2.92,0.60
1738509185.696743,32.5,4.92,0.00,2.94,0.60
1738509185.798322,32.5,4.92,0.00,2.94,0.60
1738509185.899857,32.5,4.92,0.00,2.94,0.60
1738509186.001392,32.5,4.92,0.00,2.92,0.60
1738509186.103156,32.5,4.92,0.00,2.94,0.60
1738509186.204769,32.5,4.92,0.00,2.92,0.60
1738509186.306119,32.5,4.92,0.00,2.94,0.60
1738509186.407895,31.6,4.92,0.00,2.92,0.59
1738509186.509362,31.6,4.92,0.00,2.94,0.60
1738509186.610908,31.6,4.92,0.00,2.94,0.60
1738509186.712499,31.6,4.92,0.00,2.94,0.60
1738509186.814101,31.6,4.92,0.00,2.94,0.60
1738509186.915766,31.6,4.92,0.00,2.94,0.61
1738509187.017026,31.6,4.92,0.00,2.94,0.60
1738509187.118884,31.6,4.92,0.00,2.94,0.60
1738509187.220271,32.5,4.92,0.00,2.94,0.60
1738509187.323685,32.5,4.92,0.00,2.94,0.60
1738509187.423626,32.5,4.92,0.00,2.94,0.60
1738509187.525295,32.5,4.92,0.00,2.94,0.60
1738509187.626656,32.5,4.92,0.00,2.94,0.61
1738509187.728208,32.5,4.92,0.00,2.92,0.60
1738509187.829899,32.5,4.92,0.00,2.94,0.60
1738509187.931377,32.5,4.92,0.00,2.94,0.60
1738509188.032929,32.5,4.92,0.00,2.94,0.60
1738509188.134680,32.5,4.92,0.00,2.92,0.60
1738509188.236188,32.5,4.92,0.00,2.92,0.60
1738509188.337740,32.5,4.92,0.00,2.94,0.60
1738509188.439441,32.5,4.92,0.00,2.94,0.60
1738509188.541012,32.5,4.92,0.00,2.92,0.60
1738509188.642612,32.5,4.92,0.00,2.94,0.60
1738509188.744151,32.5,4.92,0.00,2.94,0.60
1738509188.845650,32.5,4.92,0.00,2.94,0.60
1738509188.947297,32.5,4.92,0.00,2.94,0.60
1738509189.048932,32.5,4.92,0.00,2.94,0.60
1738509189.150288,32.5,4.92,0.00,2.92,0.60
1738509189.252268,32.5,4.92,0.00,2.94,0.59
1738509189.353655,32.5,4.92,0.00,2.94,0.60
1738509189.455152,32.5,4.92,0.00,2.94,0.60
1738509189.556901,32.5,4.92,0.00,2.94,0.60
1738509189.658479,32.5,4.92,0.00,2.92,0.59
1738509189.760002,31.6,4.92,0.00,2.94,0.60
1738509189.861512,31.6,4.92,0.00,2.94,0.60
1738509189.963099,31.6,4.92,0.00,2.92,0.60
1738509190.064701,31.6,4.92,0.00,2.94,0.60
1738509190.166307,31.6,4.92,0.00,2.92,0.60
1738509190.267902,31.6,4.92,0.00,2.94,0.60
1738509190.369497,31.6,4.92,0.00,2.94,0.60
1738509190.471134,31.6,4.92,0.00,2.94,0.60
1738509190.572622,33.3,4.92,0.00,2.94,0.60
1738509190.674058,33.3,4.92,0.00,2.94,0.60
1738509190.775560,33.3,4.92,0.00,2.92,0.60
1738509190.877142,33.3,4.92,0.00,2.94,0.60
1738509190.978916,33.3,4.92,0.00,2.94,0.60
1738509191.080542,33.3,4.92,0.00,2.94,0.60
1738509191.182180,33.3,4.92,0.00,2.94,0.60
1738509191.283751,33.3,4.92,0.00,2.94,0.60
1738509191.385344,32.5,4.92,0.00,2.92,0.60
1738509191.486755,32.5,4.92,0.00,2.94,0.60
1738509191.588254,32.5,4.92,0.00,2.94,0.60
1738509191.689904,32.5,4.92,0.00,2.94,0.60
1738509191.791562,32.5,4.92,0.00,2.94,0.60
1738509191.893128,32.5,4.92,0.00,2.94,0.60
1738509191.994559,32.5,4.92,0.00,2.94,0.60
1738509192.096271,32.5,4.92,0.00,2.94,0.60
1738509192.197825,32.5,4.92,0.00,2.92,0.60
1738509192.299499,32.5,4.92,0.00,2.94,0.60
1738509192.400898,32.5,4.92,0.00,2.92,0.60
1738509192.502603,32.5,4.92,0.00,2.92,0.60
1738509192.604236,32.5,4.92,0.00,2.94,0.59
1738509192.705723,32.5,4.92,0.00,2.94,0.60
1738509192.807268,32.5,4.92,0.00,2.94,0.60
1738509192.908834,32.5,4.92,0.00,2.94,0.60
1738509193.010512,32.5,4.92,0.00,2.94,0.60
1738509193.112172,32.5,4.92,0.00,2.94,0.59
1738509193.213533,32.5,4.92,0.00,2.94,0.60
1738509193.315280,32.5,4.92,0.00,2.92,0.60
1738509193.416859,32.5,4.92,0.00,2.94,0.60
1738509193.518507,32.5,4.92,0.00,2.92,0.60
1738509193.619837,32.5,4.92,0.00,3.02,0.61
1738509193.721657,32.5,4.92,0.00,2.94,0.60
