timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509196.309321,33.3,4.92,0.00,2.94,0.61
1738509196.410988,33.3,4.92,0.00,2.94,0.60
1738509196.512606,32.5,4.92,0.00,2.94,0.60
1738509196.614560,32.5,4.92,0.00,2.94,0.60
1738509196.716042,32.5,4.92,0.00,2.94,0.60
1738509196.817696,32.5,4.92,0.00,2.94,0.60
1738509196.919324,32.5,4.92,0.00,2.92,0.60
1738509197.020613,32.5,4.92,0.00,2.94,0.60
1738509197.122496,32.5,4.92,0.00,2.94,0.60
1738509197.224043,32.5,4.92,0.00,2.94,0.60
1738509197.325480,33.3,4.92,0.00,2.92,0.60
1738509197.427188,33.3,4.92,0.00,2.94,0.60
1738509197.528730,33.3,4.92,0.00,2.94,0.60
1738509197.630392,33.3,4.92,0.00,2.94,0.60
1738509197.731852,33.3,4.92,0.00,2.92,0.60
1738509197.833441,33.3,4.92,0.00,2.94,0.60
1738509197.934799,33.3,4.92,0.00,2.94,0.60
1738509198.036326,33.3,4.92,0.00,2.94,0.60
1738509198.138056,33.3,4.92,0.00,2.94,0.60
1738509198.239638,33.3,4.92,0.00,2.92,0.59
1738509198.341383,33.3,4.92,0.00,2.94,0.60
1738509198.442885,33.3,4.92,0.00,2.94,0.60
1738509198.544535,33.3,4.92,0.00,2.92,0.60
1738509198.646036,33.3,4.92,0.00,2.94,0.60
1738509198.747691,33.3,4.92,0.00,3.02,0.60
1738509198.849236,33.3,4.92,0.00,2.94,0.60
1738509198.950737,32.5,4.92,0.00,2.94,0.60
1738509199.052403,32.5,4.92,0.00,2.94,0.60
1738509199.154027,32.5,4.92,0.00,2.94,0.60
1738509199.255621,32.5,4.92,0.00,2.94,0.60
1738509199.357035,32.5,4.92,0.00,2.92,0.60
1738509199.458610,32.5,4.92,0.00,2.94,0.60
1738509199.560328,32.5,4.92,0.00,2.94,0.60
1738509199.662001,32.5,4.92,0.00,2.94,0.60
1738509199.763219,32.5,4.92,0.00,2.94,0.60
1738509199.864848,33.3,4.92,0.00,2.94,0.60
1738509199.966424,33.3,4.92,0.00,2.94,0.60
1738509200.068251,33.3,4.92,0.00,2.94,0.60
1738509200.169724,33.3,4.92,0.00,2.94,0.60
1738509200.271363,33.3,4.92,0.00,2.94,0.60
1738509200.372925,33.3,4.92,0.00,2.94,0.60
1738509200.474585,33.3,4.92,0.00,2.94,0.60
1738509200.576045,33.3,4.92,0.00,2.92,0.60
1738509200.677719,32.5,4.92,0.00,2.94,0.60
1738509200.779366,32.5,4.92,0.00,2.94,0.60
1738509200.880806,32.5,4.92,0.00,2.94,0.60
1738509200.982482,32.5,4.92,0.00,2.94,0.60
1738509201.084067,32.5,4.92,0.00,2.92,0.60
1738509201.185640,32.5,4.92,0.00,2.94,0.59
1738509201.287225,32.5,4.92,0.00,2.92,0.60
1738509201.388858,32.5,4.92,0.00,2.94,0.60
