timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509211.705545,29.8,4.92,0.00,2.94,0.60
1738509211.805569,29.8,4.92,0.00,2.94,0.60
1738509211.905848,29.8,4.92,0.00,2.94,0.60
1738509212.005813,29.8,4.92,0.00,2.94,0.60
1738509212.105824,29.8,4.92,0.00,2.94,0.61
1738509212.205805,29.8,4.92,0.00,2.92,0.60
1738509212.305814,29.8,4.92,0.00,2.92,0.60
1738509212.405837,31.6,4.92,0.00,2.94,0.60
1738509212.505551,31.6,4.92,0.00,2.92,0.60
1738509212.605833,31.6,4.92,0.00,2.92,0.60
1738509212.705821,31.6,4.92,0.00,2.94,0.60
1738509212.805853,31.6,4.92,0.00,2.94,0.60
1738509212.905910,31.6,4.92,0.00,2.92,0.60
1738509213.005883,31.6,4.92,0.00,2.94,0.60
1738509213.105624,31.6,4.92,0.00,2.92,0.59
1738509213.205918,31.6,4.92,0.00,2.94,0.60
1738509213.305846,31.6,4.92,0.00,2.94,0.60
1738509213.405767,31.6,4.92,0.00,2.94,0.60
1738509213.505773,31.6,4.92,0.00,2.94,0.60
1738509213.605735,31.6,4.92,0.00,2.94,0.60
1738509213.705901,31.6,4.92,0.00,2.94,0.60
1738509213.805655,31.6,4.92,0.00,2.94,0.60
1738509213.905840,31.6,4.92,0.00,2.94,0.60
1738509214.005716,31.6,4.92,0.00,2.94,0.60
1738509214.105799,31.6,4.92,0.00,2.92,0.60
1738509214.205834,31.6,4.92,0.00,2.92,0.60
1738509214.305592,31.6,4.92,0.00,2.94,0.60
1738509214.405803,31.6,4.92,0.00,2.94,0.60
1738509214.505697,31.6,4.92,0.00,2.94,0.59
1738509214.605553,31.6,4.92,0.00,2.94,0.60
1738509214.705726,31.6,4.92,0.00,2.94,0.60
1738509214.805632,31.6,4.92,0.00,2.94,0.59
1738509214.905791,31.6,4.92,0.00,2.94,0.60
1738509215.005838,31.6,4.92,0.00,2.94,0.60
1738509215.105603,31.6,4.92,0.00,2.94,0.60
1738509215.205789,31.6,4.92,0.00,2.94,0.60
1738509215.305658,31.6,4.92,0.00,2.94,0.60
1738509215.405808,31.6,4.92,0.00,2.92,0.60
1738509215.505907,31.6,4.92,0.00,2.94,0.60
1738509215.605642,31.6,4.92,0.00,2.94,0.60
1738509215.705809,31.6,4.92,0.00,2.94,0.60
1738509215.805843,31.6,4.92,0.00,2.94,0.60
1738509215.905742,31.6,4.92,0.00,2.94,0.60
1738509216.005728,31.6,4.92,0.00,2.94,0.60
1738509216.105712,31.6,4.92,0.00,2.94,0.60
1738509216.205838,31.6,4.92,0.00,2.94,0.60
1738509216.305795,31.6,4.92,0.00,2.94,0.60
1738509216.405802,31.6,4.92,0.00,2.94,0.60
1738509216.505718,31.6,4.92,0.00,2.94,0.60
1738509216.605797,31.6,4.92,0.00,2.94,0.60
1738509216.705800,31.6,4.92,0.00,2.94,0.60
1738509216.805641,31.6,4.92,0.00,2.92,0.60
1738509216.905717,31.6,4.92,0.00,2.92,0.60
1738509217.005776,31.6,4.92,0.00,2.94,0.60
1738509217.105745,31.6,4.92,0.00,2.94,0.60
1738509217.205811,31.6,4.92,0.00,2.94,0.60
1738509217.305704,31.6,4.92,0.00,2.94,0.60
1738509217.405655,32.5,4.92,0.00,2.92,0.60
1738509217.505523,32.5,4.92,0.00,2.94,0.60
1738509217.605627,32.5,4.92,0.00,2.94,0.60
1738509217.705683,32.5,4.92,0.00,2.94,0.59
1738509217.805789,32.5,4.92,0.00,2.94,0.60
1738509217.905813,32.5,4.92,0.00,2.94,0.60
1738509218.005849,32.5,4.92,0.00,2.94,0.60
1738509218.105899,32.5,4.92,0.00,2.94,0.59
1738509218.205710,32.5,4.92,0.00,2.94,0.60
1738509218.305662,32.5,4.92,0.00,2.94,0.59
1738509218.405629,32.5,4.92,0.00,2.94,0.60
1738509218.505833,32.5,4.92,0.00,2.94,0.60
1738509218.605668,32.5,4.92,0.00,2.94,0.60
1738509218.705623,32.5,4.92,0.00,2.94,0.60
1738509218.805790,32.5,4.92,0.00,2.94,0.60
1738509218.905907,32.5,4.92,0.00,2.94,0.60
1738509219.005870,32.5,4.92,0.00,2.92,0.60
1738509219.105772,32.5,4.92,0.00,2.94,0.60
1738509219.205672,32.5,4.92,0.00,2.94,0.60
1738509219.305715,32.5,4.92,0.00,2.92,0.60
1738509219.405873,32.5,4.92,0.00,2.94,0.60
1738509219.505808,32.5,4.92,0.00,2.94,0.60
1738509219.605883,32.5,4.92,0.00,2.94,0.60
1738509219.705778,32.5,4.92,0.00,2.94,0.60
1738509219.805812,32.5,4.92,0.00,2.92,0.59
1738509219.905876,31.6,4.92,0.00,2.92,0.60
1738509220.005938,31.6,4.92,0.00,2.94,0.60
1738509220.105892,31.6,4.92,0.00,2.92,0.60
1738509220.205867,31.6,4.92,0.00,2.92,0.60
1738509220.305847,31.6,4.92,0.00,2.94,0.60
1738509220.405658,31.6,4.92,0.00,2.94,0.60
1738509220.505764,31.6,4.92,0.00,2.94,0.60
1738509220.605601,31.6,4.92,0.00,2.94,0.60
1738509220.705687,31.6,4.92,0.00,2.92,0.61
1738509220.805606,32.5,4.92,0.00,2.94,0.60
1738509220.905735,32.5,4.92,0.00,2.92,0.60
1738509221.005595,32.5,4.92,0.00,2.94,0.60
1738509221.105668,32.5,4.92,0.00,2.92,0.59
1738509221.205466,32.5,4.92,0.00,2.94,0.60
1738509221.305858,32.5,4.92,0.00,2.94,0.60
1738509221.405838,32.5,4.92,0.00,2.94,0.60
1738509221.505786,32.5,4.92,0.00,2.94,0.61
1738509221.605741,32.5,4.92,0.00,2.94,0.61
1738509221.705756,32.5,4.92,0.00,2.94,0.60
1738509221.805683,32.5,4.92,0.00,2.92,0.60
1738509221.905852,32.5,4.92,0.00,2.94,0.60
1738509222.005656,32.5,4.92,0.00,2.94,0.60
1738509222.105668,32.5,4.92,0.00,2.94,0.60
1738509222.205769,32.5,4.92,0.00,2.94,0.60
1738509222.305872,32.5,4.92,0.00,2.94,0.60
1738509222.405830,32.5,4.92,0.00,2.94,0.60
