timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509227.102698,31.6,4.92,0.00,2.94,0.60
1738509227.202712,31.6,4.92,0.00,2.94,0.60
1738509227.303110,31.6,4.92,0.00,2.92,0.60
1738509227.403242,31.6,4.92,0.00,2.94,0.60
1738509227.503133,31.6,4.92,0.00,2.94,0.60
1738509227.603101,31.6,4.92,0.00,2.94,0.60
1738509227.703189,31.6,4.92,0.00,2.94,0.60
1738509227.803082,31.6,4.92,0.00,2.94,0.60
1738509227.903131,31.6,4.92,0.00,2.94,0.59
1738509228.003120,31.6,4.92,0.00,2.94,0.60
1738509228.102932,31.6,4.92,0.00,2.94,0.60
1738509228.202938,31.6,4.92,0.00,2.94,0.60
1738509228.302969,31.6,4.92,0.00,2.94,0.60
1738509228.403034,31.6,4.92,0.00,2.94,0.60
1738509228.503110,31.6,4.92,0.00,2.94,0.60
1738509228.602840,31.6,4.92,0.00,2.94,0.60
1738509228.703115,31.6,4.92,0.00,2.94,0.59
1738509228.803104,31.6,4.92,0.00,2.94,0.60
1738509228.903046,31.6,4.92,0.00,2.94,0.60
1738509229.003229,31.6,4.92,0.00,2.92,0.60
1738509229.102749,31.6,4.92,0.00,2.94,0.60
1738509229.202847,32.5,4.92,0.00,2.94,0.60
1738509229.302898,32.5,4.92,0.00,2.92,0.60
1738509229.403043,32.5,4.92,0.00,2.94,0.60
1738509229.503097,32.5,4.92,0.00,2.92,0.60
1738509229.603181,32.5,4.92,0.00,2.92,0.60
1738509229.703034,32.5,4.92,0.00,2.94,0.60
1738509229.802954,32.5,4.92,0.00,2.94,0.60
1738509229.903185,32.5,4.92,0.00,2.94,0.60
1738509230.003118,32.5,4.92,0.00,2.92,0.60
1738509230.103169,32.5,4.92,0.00,2.94,0.59
1738509230.203117,32.5,4.92,0.00,2.92,0.60
1738509230.303165,32.5,4.92,0.00,2.94,0.60
1738509230.403147,32.5,4.92,0.00,2.92,0.59
1738509230.502903,32.5,4.92,0.00,2.94,0.60
1738509230.603136,32.5,4.92,0.00,2.92,0.60
1738509230.703217,32.5,4.92,0.00,2.94,0.60
1738509230.802834,32.5,4.92,0.00,2.94,0.60
1738509230.903174,32.5,4.92,0.00,2.94,0.60
1738509231.003163,32.5,4.92,0.00,2.92,0.60
1738509231.103236,32.5,4.92,0.00,2.94,0.60
1738509231.202968,32.5,4.92,0.00,2.94,0.60
1738509231.303040,32.5,4.92,0.00,2.94,0.60
1738509231.403214,32.5,4.92,0.00,2.94,0.60
1738509231.502927,32.5,4.92,0.00,2.94,0.60
1738509231.603123,32.5,4.92,0.00,2.94,0.60
1738509231.703050,31.6,4.92,0.00,2.94,0.60
1738509231.803147,31.6,4.92,0.00,2.94,0.59
1738509231.903137,31.6,4.92,0.00,2.94,0.60
1738509232.003218,31.6,4.92,0.00,2.94,0.60
1738509232.103138,31.6,4.92,0.00,2.94,0.60
1738509232.203160,31.6,4.92,0.00,2.94,0.60
