timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507734.498486,25.4,4.94,0.00,2.82,0.57
1738507734.600214,25.4,4.94,0.00,2.76,0.56
1738507734.701908,25.4,4.94,0.00,2.76,0.56
1738507734.803571,25.4,4.94,0.00,2.76,0.56
1738507734.905241,25.4,4.94,0.00,2.76,0.57
1738507735.006770,25.4,4.94,0.00,2.82,0.57
1738507735.108317,25.4,4.94,0.00,2.82,0.56
1738507735.209893,28.1,4.94,0.00,2.82,0.57
1738507735.311490,28.1,4.94,0.00,2.82,0.57
1738507735.413071,28.1,4.94,0.00,2.76,0.56
1738507735.514673,28.1,4.94,0.00,2.82,0.57
1738507735.616224,28.1,4.94,0.00,2.76,0.56
1738507735.717820,28.1,4.94,0.00,2.82,0.56
1738507735.819426,28.1,4.94,0.00,2.82,0.56
1738507735.920994,28.1,4.94,0.00,2.76,0.57
1738507736.022603,28.1,4.94,0.00,2.76,0.56
1738507736.124162,28.1,4.94,0.00,2.82,0.57
1738507736.225585,28.1,4.94,0.00,2.76,0.57
1738507736.327241,28.1,4.94,0.00,2.82,0.57
1738507736.428868,28.1,4.94,0.00,2.82,0.57
1738507736.530447,28.1,4.94,0.00,2.82,0.57
1738507736.631974,28.1,4.94,0.00,2.76,0.56
1738507736.733578,28.1,4.94,0.00,2.76,0.57
1738507736.835211,28.9,4.94,0.00,2.76,0.56
1738507736.936772,28.9,4.94,0.00,2.82,0.56
1738507737.038314,28.9,4.94,0.00,2.76,0.56
1738507737.139896,28.9,4.94,0.00,2.76,0.57
1738507737.241475,28.9,4.94,0.00,2.76,0.57
1738507737.343083,28.9,4.94,0.00,2.76,0.57
1738507737.444705,28.9,4.94,0.00,2.76,0.57
1738507737.546368,28.9,4.94,0.00,2.82,0.57
1738507737.647784,28.9,4.94,0.00,2.82,0.57
1738507737.749415,28.9,4.94,0.00,2.82,0.57
1738507737.851016,28.9,4.94,0.00,2.76,0.56
1738507737.952549,28.9,4.94,0.00,2.76,0.56
1738507738.054093,28.9,4.94,0.00,2.76,0.56
1738507738.155732,28.9,4.94,0.00,2.82,0.57
1738507738.257315,28.9,4.94,0.00,2.82,0.57
1738507738.358902,28.9,4.94,0.00,2.82,0.57
1738507738.460292,28.9,4.94,0.00,2.82,0.56
1738507738.562103,28.9,4.94,0.00,2.76,0.56
1738507738.663629,28.9,4.94,0.00,2.82,0.57
1738507738.765226,28.9,4.94,0.00,2.76,0.57
1738507738.866829,28.9,4.94,0.00,2.82,0.57
1738507738.968424,28.9,4.94,0.00,2.76,0.57
1738507739.069971,28.9,4.94,0.00,2.82,0.57
1738507739.171569,28.9,4.94,0.00,2.82,0.56
1738507739.273182,28.9,4.94,0.00,2.82,0.56
1738507739.374731,28.9,4.94,0.00,2.76,0.56
1738507739.476324,28.9,4.94,0.00,2.82,0.57
1738507739.577907,28.9,4.94,0.00,2.76,0.56
1738507739.679448,28.9,4.94,0.00,2.82,0.57
1738507739.781050,28.9,4.94,0.00,2.82,0.57
1738507739.882573,28.9,4.94,0.00,2.82,0.57
1738507739.984216,28.9,4.94,0.00,2.76,0.57
1738507740.085763,28.9,4.94,0.00,2.82,0.57
1738507740.187453,28.9,4.94,0.00,2.82,0.57
1738507740.288921,28.9,4.94,0.00,2.76,0.56
1738507740.390514,28.9,4.94,0.00,2.76,0.56
1738507740.492098,28.9,4.94,0.00,2.82,0.57
1738507740.593659,28.9,4.94,0.00,2.76,0.56
1738507740.695088,28.9,4.94,0.00,2.76,0.56
1738507740.796881,28.9,4.94,0.00,2.76,0.56
1738507740.898480,28.9,4.94,0.00,2.76,0.57
1738507741.000043,28.9,4.94,0.00,2.82,0.57
1738507741.101608,28.9,4.94,0.00,2.76,0.57
1738507741.203201,28.9,4.94,0.00,2.76,0.56
1738507741.304780,28.9,4.94,0.00,2.76,0.57
1738507741.406421,28.9,4.94,0.00,2.76,0.56
1738507741.507882,28.9,4.94,0.00,2.82,0.57
1738507741.609466,28.9,4.94,0.00,2.82,0.57
1738507741.711075,28.9,4.94,0.00,2.82,0.56
1738507741.812608,28.9,4.94,0.00,2.82,0.56
1738507741.914273,28.9,4.94,0.00,2.76,0.57
1738507742.015802,28.9,4.94,0.00,2.82,0.57
1738507742.117407,28.9,4.94,0.00,2.76,0.58
1738507742.219023,28.9,4.94,0.00,2.82,0.57
1738507742.320585,28.9,4.94,0.00,2.76,0.57
1738507742.422137,28.9,4.94,0.00,2.82,0.57
1738507742.523740,28.9,4.94,0.00,2.82,0.56
1738507742.625279,28.9,4.94,0.00,2.76,0.56
1738507742.726918,28.9,4.94,0.00,2.76,0.56
1738507742.828460,28.9,4.94,0.00,2.82,0.57
1738507742.930033,28.9,4.94,0.00,2.76,0.56
1738507743.031634,28.9,4.94,0.00,2.82,0.57
1738507743.133216,28.9,4.94,0.00,2.82,0.56
1738507743.234793,28.9,4.94,0.00,2.82,0.56
1738507743.336361,28.9,4.94,0.00,2.76,0.57
1738507743.437980,28.9,4.94,0.00,2.76,0.57
1738507743.539562,28.9,4.94,0.00,2.82,0.57
1738507743.641003,28.9,4.94,0.00,2.82,0.58
1738507743.742718,28.9,4.94,0.00,2.76,0.56
1738507743.844251,28.9,4.94,0.00,2.82,0.57
1738507743.945870,28.9,4.94,0.00,2.76,0.56
1738507744.047444,28.9,4.94,0.00,2.82,0.57
1738507744.149041,28.9,4.94,0.00,2.76,0.57
1738507744.250610,28.9,4.94,0.00,2.82,0.56
1738507744.352107,28.9,4.94,0.00,2.76,0.56
1738507744.453786,28.9,4.94,0.00,2.82,0.57
1738507744.555360,28.9,4.94,0.00,2.76,0.56
1738507744.656950,28.9,4.94,0.00,2.82,0.56
1738507744.758524,28.9,4.94,0.00,2.82,0.57
1738507744.860036,28.9,4.94,0.00,2.76,0.57
1738507744.961675,28.9,4.94,0.00,2.76,0.57
1738507745.063314,28.9,4.94,0.00,2.76,0.57
1738507745.164743,28.9,4.94,0.00,2.76,0.57
1738507745.266472,28.9,4.94,0.00,2.82,0.57
1738507745.368012,28.9,4.94,0.00,2.76,0.57
1738507745.469596,28.9,4.94,0.00,2.76,0.57
1738507745.571180,28.9,4.94,0.00,2.76,0.57
1738507745.672751,28.9,4.94,0.00,2.82,0.57
1738507745.774302,28.9,4.94,0.00,2.76,0.56
1738507745.875911,28.9,4.94,0.00,2.82,0.57
1738507745.977459,28.9,4.94,0.00,2.82,0.56
1738507746.078902,28.9,4.94,0.00,2.76,0.57
1738507746.180646,28.9,4.94,0.00,2.76,0.57
1738507746.282226,28.9,4.94,0.00,2.82,0.57
