timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507750.013508,28.9,4.94,0.00,2.82,0.56
1738507750.115266,28.9,4.94,0.00,2.76,0.56
1738507750.217019,28.9,4.94,0.00,2.82,0.56
1738507750.318637,28.9,4.94,0.00,2.76,0.57
1738507750.420123,28.9,4.94,0.00,2.82,0.57
1738507750.521794,28.9,4.94,0.00,2.82,0.56
1738507750.623377,28.9,4.94,0.00,2.76,0.56
1738507750.724977,28.9,4.94,0.00,2.76,0.57
1738507750.826458,28.9,4.94,0.00,2.76,0.57
1738507750.928099,28.9,4.94,0.00,2.82,0.57
1738507751.029570,28.9,4.94,0.00,2.82,0.57
1738507751.131207,28.9,4.94,0.00,2.82,0.57
1738507751.232772,28.9,4.94,0.00,2.82,0.57
1738507751.334455,28.9,4.94,0.00,2.82,0.57
1738507751.436036,28.9,4.94,0.00,2.82,0.57
1738507751.537571,28.9,4.94,0.00,2.76,0.56
1738507751.639019,28.9,4.94,0.00,2.76,0.56
1738507751.740760,28.9,4.94,0.00,2.82,0.57
1738507751.842450,28.9,4.94,0.00,2.76,0.57
1738507751.943896,28.9,4.94,0.00,2.82,0.57
1738507752.045408,28.9,4.94,0.00,2.82,0.57
1738507752.147050,28.9,4.94,0.00,2.82,0.57
1738507752.248657,28.9,4.94,0.00,2.76,0.57
1738507752.350149,28.9,4.94,0.00,2.76,0.56
1738507752.451800,28.9,4.94,0.00,2.76,0.56
1738507752.553383,28.9,4.94,0.00,2.76,0.56
1738507752.655023,28.9,4.94,0.00,2.76,0.57
1738507752.756521,28.9,4.94,0.00,2.82,0.56
1738507752.858158,28.9,4.94,0.00,2.82,0.57
1738507752.959686,28.9,4.94,0.00,2.76,0.57
1738507753.061325,28.9,4.94,0.00,2.82,0.57
1738507753.162970,28.9,4.94,0.00,2.76,0.56
1738507753.264366,28.9,4.94,0.00,2.76,0.56
1738507753.365903,28.9,4.94,0.00,2.82,0.57
1738507753.467527,28.9,4.94,0.00,2.76,0.56
1738507753.569183,28.9,4.94,0.00,2.76,0.57
1738507753.670763,28.9,4.94,0.00,2.82,0.57
1738507753.772312,28.9,4.94,0.00,2.76,0.57
1738507753.873983,28.9,4.94,0.00,2.76,0.57
1738507753.975530,28.9,4.94,0.00,2.76,0.57
1738507754.077119,28.9,4.94,0.00,2.76,0.57
1738507754.178738,28.9,4.94,0.00,2.76,0.57
1738507754.280276,28.9,4.94,0.00,2.82,0.57
1738507754.381905,28.9,4.94,0.00,2.82,0.57
1738507754.483416,28.9,4.94,0.00,2.76,0.56
1738507754.584980,28.9,4.94,0.00,2.82,0.56
1738507754.686559,28.9,4.94,0.00,2.82,0.57
1738507754.788171,28.9,4.94,0.00,2.76,0.57
1738507754.889806,28.9,4.94,0.00,2.82,0.57
1738507754.991242,28.9,4.94,0.00,2.76,0.56
1738507755.092942,28.9,4.94,0.00,2.76,0.56
1738507755.194550,28.9,4.94,0.00,2.76,0.57
1738507755.296118,28.9,4.94,0.00,2.82,0.57
1738507755.397691,28.9,4.94,0.00,2.76,0.57
1738507755.499258,28.9,4.94,0.00,2.76,0.57
1738507755.600819,28.9,4.94,0.00,2.76,0.57
1738507755.702432,28.9,4.94,0.00,2.76,0.56
1738507755.803979,28.9,4.94,0.00,2.82,0.57
1738507755.905620,28.9,4.94,0.00,2.76,0.57
1738507756.006968,28.9,4.94,0.00,2.76,0.57
1738507756.108605,28.9,4.94,0.00,2.76,0.57
