timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507765.525223,28.9,4.93,0.00,2.92,0.60
1738507765.625317,28.9,4.93,0.00,2.92,0.59
1738507765.725471,28.9,4.93,0.00,2.92,0.59
1738507765.825498,28.9,4.93,0.00,2.92,0.59
1738507765.925443,28.9,4.92,0.00,2.92,0.59
1738507766.025390,28.9,4.93,0.00,2.92,0.59
1738507766.125438,28.9,4.93,0.00,2.92,0.59
1738507766.225440,28.9,4.93,0.00,2.92,0.59
1738507766.325335,28.9,4.93,0.00,2.92,0.59
1738507766.425477,28.9,4.93,0.00,2.92,0.59
1738507766.525546,28.9,4.93,0.00,2.92,0.59
1738507766.625472,28.9,4.93,0.00,2.92,0.59
1738507766.725507,28.9,4.92,0.00,2.92,0.59
1738507766.825431,28.9,4.93,0.00,2.92,0.59
1738507766.925380,28.9,4.93,0.00,2.92,0.59
1738507767.025512,28.9,4.93,0.00,2.92,0.59
1738507767.125509,28.9,4.93,0.00,2.92,0.59
1738507767.225441,28.9,4.93,0.00,2.92,0.59
1738507767.325610,28.9,4.93,0.00,2.92,0.59
1738507767.425562,28.9,4.93,0.00,2.92,0.59
1738507767.525554,28.9,4.93,0.00,2.92,0.59
1738507767.625554,28.9,4.93,0.00,2.92,0.59
1738507767.725473,28.9,4.93,0.00,2.92,0.59
1738507767.825499,28.9,4.93,0.00,2.92,0.59
1738507767.925484,28.9,4.93,0.00,2.92,0.59
1738507768.025472,28.9,4.93,0.00,2.92,0.59
1738507768.125535,28.9,4.93,0.00,2.92,0.59
1738507768.225542,28.9,4.93,0.00,2.92,0.59
1738507768.325538,28.9,4.93,0.00,2.92,0.59
1738507768.425574,28.9,4.93,0.00,2.92,0.59
1738507768.525438,28.9,4.93,0.00,2.92,0.59
1738507768.625540,28.9,4.93,0.00,2.92,0.59
1738507768.725506,28.9,4.93,0.00,2.92,0.59
1738507768.825567,28.9,4.93,0.00,2.92,0.59
1738507768.925587,28.9,4.93,0.00,2.92,0.59
1738507769.025383,28.9,4.93,0.00,2.92,0.59
1738507769.125525,28.9,4.93,0.00,2.92,0.59
1738507769.225481,28.9,4.92,0.00,2.92,0.59
1738507769.325486,28.9,4.93,0.00,2.92,0.59
1738507769.425440,28.9,4.93,0.00,2.92,0.59
1738507769.525323,28.9,4.93,0.00,2.92,0.59
1738507769.625446,28.9,4.93,0.00,2.92,0.59
1738507769.725452,28.9,4.93,0.00,2.92,0.59
1738507769.825509,28.9,4.93,0.00,2.92,0.59
1738507769.925460,28.9,4.93,0.00,2.92,0.59
1738507770.025562,28.9,4.93,0.00,2.92,0.59
1738507770.125479,28.9,4.93,0.00,2.92,0.59
1738507770.225499,28.9,4.93,0.00,2.86,0.59
1738507770.325538,28.9,4.92,0.00,2.92,0.59
