timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509438.750531,32.5,4.93,0.00,2.86,0.58
1738509438.852342,32.5,4.93,0.00,2.86,0.59
1738509438.956660,32.5,4.93,0.00,2.86,0.58
1738509439.055717,32.5,4.93,0.00,2.86,0.58
1738509439.157158,32.5,4.93,0.00,2.86,0.58
1738509439.258843,32.5,4.93,0.00,2.86,0.58
1738509439.360314,32.5,4.93,0.00,2.86,0.59
1738509439.462076,32.5,4.93,0.00,2.92,0.58
1738509439.563525,32.5,4.93,0.00,2.86,0.58
1738509439.665113,32.5,4.93,0.00,2.86,0.58
1738509439.766543,31.6,4.93,0.00,2.86,0.59
1738509439.868047,31.6,4.93,0.00,2.86,0.58
1738509439.969895,31.6,4.93,0.00,2.86,0.59
1738509440.071524,31.6,4.93,0.00,2.86,0.58
1738509440.173065,31.6,4.93,0.00,2.86,0.58
1738509440.274654,31.6,4.93,0.00,2.86,0.58
1738509440.376100,31.6,4.93,0.00,2.92,0.58
1738509440.477734,31.6,4.93,0.00,2.86,0.58
1738509440.579310,31.6,4.93,0.00,2.92,0.59
1738509440.680932,31.6,4.93,0.00,2.86,0.59
1738509440.782431,31.6,4.93,0.00,2.86,0.58
1738509440.884049,31.6,4.93,0.00,2.92,0.58
1738509440.985613,31.6,4.93,0.00,2.86,0.58
1738509441.087317,31.6,4.93,0.00,2.86,0.59
1738509441.188859,31.6,4.93,0.00,2.86,0.58
1738509441.290502,31.6,4.93,0.00,2.86,0.58
1738509441.391983,31.6,4.93,0.00,2.86,0.59
1738509441.493449,31.6,4.93,0.00,2.86,0.58
1738509441.595036,31.6,4.93,0.00,2.86,0.58
1738509441.696619,31.6,4.93,0.00,2.92,0.58
1738509441.798265,31.6,4.93,0.00,2.86,0.58
1738509441.899884,31.6,4.93,0.00,2.86,0.58
1738509442.001437,31.6,4.93,0.00,2.86,0.58
1738509442.103018,31.6,4.93,0.00,2.86,0.58
1738509442.204490,31.6,4.93,0.00,2.86,0.58
1738509442.306334,31.6,4.93,0.00,2.86,0.58
1738509442.407647,31.6,4.93,0.00,2.86,0.58
1738509442.509284,31.6,4.93,0.00,2.86,0.58
1738509442.610895,31.6,4.93,0.00,2.86,0.58
1738509442.712518,31.6,4.93,0.00,2.86,0.59
1738509442.814074,31.6,4.93,0.00,2.86,0.58
1738509442.915650,31.6,4.93,0.00,2.86,0.58
1738509443.017144,31.6,4.93,0.00,2.86,0.59
1738509443.118816,31.6,4.93,0.00,2.86,0.58
1738509443.220450,31.6,4.93,0.00,2.86,0.58
1738509443.321955,31.6,4.93,0.00,2.86,0.59
1738509443.423446,31.6,4.93,0.00,2.86,0.59
1738509443.525064,31.6,4.93,0.00,2.86,0.58
1738509443.626657,31.6,4.93,0.00,2.86,0.59
1738509443.728336,31.6,4.93,0.00,2.86,0.58
1738509443.829905,31.6,4.93,0.00,2.92,0.59
1738509443.931530,31.6,4.93,0.00,2.86,0.59
