timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509454.220830,31.6,4.93,0.00,2.86,0.58
1738509454.322424,31.6,4.93,0.00,2.86,0.59
1738509454.424408,31.6,4.93,0.00,2.86,0.58
1738509454.525916,31.6,4.93,0.00,2.86,0.58
1738509454.627571,31.6,4.93,0.00,2.86,0.58
1738509454.728910,31.6,4.93,0.00,2.86,0.59
1738509454.830602,32.5,4.93,0.00,2.86,0.59
1738509454.932306,32.5,4.93,0.00,2.86,0.58
1738509455.033874,32.5,4.93,0.00,2.86,0.59
1738509455.135498,32.5,4.93,0.00,2.86,0.58
1738509455.236901,32.5,4.93,0.00,2.86,0.58
1738509455.338727,32.5,4.93,0.00,2.86,0.58
1738509455.440274,32.5,4.93,0.00,2.92,0.59
1738509455.541813,32.5,4.93,0.00,2.86,0.58
1738509455.643430,31.6,4.93,0.00,2.86,0.59
1738509455.744976,31.6,4.93,0.00,2.86,0.59
1738509455.846519,31.6,4.93,0.00,2.86,0.58
1738509455.948214,31.6,4.93,0.00,2.86,0.58
1738509456.049732,31.6,4.93,0.00,2.86,0.59
1738509456.151074,31.6,4.93,0.00,2.86,0.59
1738509456.252888,31.6,4.93,0.00,2.92,0.59
1738509456.354554,31.6,4.93,0.00,2.86,0.58
1738509456.456024,31.6,4.93,0.00,2.86,0.59
1738509456.557619,32.5,4.93,0.00,2.92,0.59
1738509456.659142,32.5,4.93,0.00,2.86,0.58
1738509456.760751,32.5,4.93,0.00,2.92,0.59
1738509456.862305,32.5,4.93,0.00,2.86,0.58
1738509456.963936,32.5,4.93,0.00,2.86,0.58
1738509457.065509,32.5,4.93,0.00,2.86,0.58
1738509457.167063,32.5,4.93,0.00,2.92,0.58
1738509457.268682,32.5,4.93,0.00,2.86,0.58
1738509457.370341,31.6,4.93,0.00,2.86,0.59
1738509457.471861,31.6,4.93,0.00,2.86,0.58
1738509457.573450,31.6,4.93,0.00,2.86,0.58
1738509457.675031,31.6,4.93,0.00,2.86,0.58
1738509457.776619,31.6,4.93,0.00,2.86,0.58
1738509457.878144,31.6,4.93,0.00,2.86,0.58
1738509457.979773,31.6,4.93,0.00,2.86,0.58
1738509458.081091,31.6,4.93,0.00,2.86,0.58
1738509458.182793,32.5,4.93,0.00,2.86,0.59
1738509458.284413,32.5,4.93,0.00,2.86,0.58
1738509458.386012,32.5,4.93,0.00,2.86,0.59
1738509458.487672,32.5,4.93,0.00,2.92,0.58
1738509458.589198,32.5,4.93,0.00,2.86,0.58
1738509458.690799,32.5,4.93,0.00,2.86,0.58
1738509458.792287,32.5,4.93,0.00,2.86,0.58
1738509458.893951,32.5,4.93,0.00,2.86,0.59
1738509458.995574,32.5,4.93,0.00,2.86,0.58
1738509459.097105,32.5,4.93,0.00,2.86,0.58
1738509459.198771,32.5,4.93,0.00,2.86,0.58
1738509459.300348,32.5,4.93,0.00,2.86,0.59
1738509459.401790,32.5,4.93,0.00,2.92,0.59
1738509459.503422,32.5,4.93,0.00,2.86,0.58
1738509459.605032,32.5,4.93,0.00,2.86,0.59
1738509459.706587,32.5,4.93,0.00,2.86,0.59
1738509459.808202,32.5,4.93,0.00,2.86,0.59
1738509459.909713,30.7,4.93,0.00,2.92,0.59
1738509460.011374,30.7,4.93,0.00,2.86,0.58
1738509460.112972,30.7,4.93,0.00,2.86,0.58
1738509460.214436,30.7,4.93,0.00,2.92,0.59
1738509460.316095,30.7,4.93,0.00,2.92,0.58
1738509460.417652,30.7,4.93,0.00,2.86,0.58
1738509460.519235,30.7,4.93,0.00,2.92,0.58
1738509460.620807,30.7,4.93,0.00,2.86,0.59
1738509460.722399,32.5,4.93,0.00,2.86,0.58
1738509460.823994,32.5,4.93,0.00,2.86,0.59
1738509460.925589,32.5,4.93,0.00,2.86,0.59
1738509461.027194,32.5,4.93,0.00,2.86,0.58
1738509461.128654,32.5,4.93,0.00,2.86,0.59
1738509461.230349,32.5,4.93,0.00,2.86,0.58
1738509461.331731,32.5,4.93,0.00,2.86,0.58
1738509461.433421,32.5,4.93,0.00,2.86,0.58
1738509461.535022,31.6,4.93,0.00,2.86,0.59
1738509461.636514,31.6,4.93,0.00,2.86,0.58
1738509461.738259,31.6,4.93,0.00,2.86,0.58
1738509461.839762,31.6,4.93,0.00,2.86,0.58
1738509461.941215,31.6,4.93,0.00,2.86,0.58
1738509462.042873,31.6,4.93,0.00,2.86,0.59
1738509462.144478,31.6,4.93,0.00,2.86,0.59
1738509462.246097,31.6,4.93,0.00,2.86,0.58
1738509462.347669,31.6,4.93,0.00,2.86,0.58
1738509462.449313,31.6,4.93,0.00,2.86,0.58
1738509462.550747,31.6,4.93,0.00,2.86,0.58
1738509462.652343,31.6,4.93,0.00,2.86,0.58
1738509462.754025,31.6,4.93,0.00,2.86,0.59
1738509462.855619,31.6,4.93,0.00,2.86,0.59
1738509462.957080,31.6,4.93,0.00,2.86,0.58
1738509463.058772,31.6,4.93,0.00,2.86,0.58
1738509463.160180,31.6,4.93,0.00,2.86,0.59
1738509463.261882,30.7,4.93,0.00,2.86,0.58
1738509463.363270,30.7,4.93,0.00,2.86,0.58
1738509463.465007,30.7,4.93,0.00,2.86,0.58
1738509463.566681,30.7,4.93,0.00,2.86,0.58
1738509463.668252,30.7,4.93,0.00,2.86,0.58
1738509463.769751,30.7,4.93,0.00,2.86,0.58
1738509463.871414,30.7,4.93,0.00,2.86,0.59
1738509463.973057,30.7,4.93,0.00,2.86,0.58
1738509464.074578,31.6,4.93,0.00,2.92,0.59
1738509464.176094,31.6,4.93,0.00,2.86,0.58
