timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509585.951332,33.3,4.93,0.00,2.86,0.58
1738509586.053144,33.3,4.93,0.00,2.86,0.58
1738509586.154694,33.3,4.93,0.00,2.92,0.59
1738509586.256263,33.3,4.93,0.00,2.86,0.58
1738509586.357866,33.3,4.93,0.00,2.86,0.58
1738509586.459498,33.3,4.93,0.00,2.86,0.58
1738509586.561100,32.5,4.93,0.00,2.92,0.58
1738509586.662611,32.5,4.93,0.00,2.86,0.58
1738509586.764156,32.5,4.93,0.00,2.86,0.58
1738509586.865795,32.5,4.93,0.00,2.86,0.58
1738509586.967350,32.5,4.93,0.00,2.86,0.58
1738509587.068970,32.5,4.93,0.00,2.86,0.58
1738509587.170598,32.5,4.93,0.00,2.86,0.58
1738509587.272134,32.5,4.93,0.00,2.86,0.59
1738509587.373664,32.5,4.93,0.00,2.86,0.58
1738509587.475222,32.5,4.93,0.00,2.92,0.58
1738509587.576832,32.5,4.93,0.00,2.86,0.59
1738509587.678371,32.5,4.93,0.00,2.92,0.59
1738509587.780025,32.5,4.93,0.00,2.92,0.59
1738509587.881599,32.5,4.93,0.00,2.86,0.58
1738509587.983119,32.5,4.93,0.00,2.92,0.59
1738509588.084755,32.5,4.93,0.00,2.86,0.58
1738509588.186385,32.5,4.93,0.00,2.86,0.59
1738509588.287869,32.5,4.93,0.00,2.86,0.58
1738509588.389388,32.5,4.93,0.00,2.86,0.59
1738509588.491084,32.5,4.93,0.00,2.86,0.59
1738509588.592485,32.5,4.93,0.00,2.92,0.59
1738509588.694224,32.5,4.93,0.00,2.86,0.58
1738509588.795862,32.5,4.93,0.00,2.86,0.58
1738509588.897418,32.5,4.93,0.00,2.86,0.58
1738509588.999028,32.5,4.93,0.00,2.86,0.58
1738509589.100553,32.5,4.93,0.00,2.86,0.59
1738509589.202177,32.5,4.93,0.00,2.86,0.59
1738509589.303756,32.5,4.93,0.00,2.86,0.58
1738509589.405381,32.5,4.93,0.00,2.86,0.59
1738509589.506882,32.5,4.93,0.00,2.86,0.58
1738509589.608502,32.5,4.93,0.00,2.86,0.58
1738509589.709953,32.5,4.93,0.00,2.86,0.58
1738509589.811428,32.5,4.93,0.00,2.86,0.58
1738509589.913214,32.5,4.93,0.00,2.86,0.58
1738509590.014837,32.5,4.93,0.00,2.86,0.58
1738509590.116371,32.5,4.93,0.00,2.86,0.58
1738509590.217985,32.5,4.93,0.00,2.86,0.58
1738509590.319485,32.5,4.93,0.00,2.92,0.59
1738509590.421087,32.5,4.93,0.00,2.86,0.58
1738509590.522673,32.5,4.93,0.00,2.86,0.58
1738509590.624223,32.5,4.93,0.00,2.86,0.58
1738509590.725848,31.6,4.93,0.00,2.86,0.59
1738509590.827393,31.6,4.93,0.00,2.86,0.59
1738509590.928946,31.6,4.93,0.00,2.92,0.59
1738509591.030639,31.6,4.93,0.00,2.86,0.59
1738509591.132132,31.6,4.93,0.00,2.86,0.58
1738509591.233795,31.6,4.93,0.00,2.86,0.58
1738509591.335333,31.6,4.93,0.00,2.86,0.59
1738509591.436954,31.6,4.93,0.00,2.86,0.58
1738509591.538482,31.6,4.93,0.00,2.86,0.58
1738509591.640107,31.6,4.93,0.00,2.86,0.58
1738509591.741696,31.6,4.93,0.00,2.92,0.59
1738509591.843120,31.6,4.93,0.00,2.86,0.59
1738509591.944798,31.6,4.93,0.00,2.86,0.59
1738509592.046424,31.6,4.93,0.00,2.92,0.59
1738509592.147978,31.6,4.93,0.00,2.86,0.59
1738509592.249569,31.6,4.93,0.00,2.86,0.58
1738509592.351189,31.6,4.93,0.00,2.86,0.59
1738509592.452755,31.6,4.93,0.00,2.86,0.58
1738509592.554195,31.6,4.93,0.00,2.86,0.59
1738509592.655857,31.6,4.93,0.00,2.86,0.58
1738509592.757503,31.6,4.93,0.00,2.86,0.59
1738509592.859050,31.6,4.93,0.00,2.86,0.58
1738509592.960589,31.6,4.93,0.00,2.92,0.58
1738509593.062277,31.6,4.93,0.00,2.86,0.58
1738509593.163748,31.6,4.93,0.00,2.86,0.58
1738509593.265148,32.5,4.93,0.00,2.86,0.58
1738509593.366957,32.5,4.93,0.00,2.86,0.58
1738509593.468553,32.5,4.93,0.00,2.86,0.59
1738509593.570068,32.5,4.93,0.00,2.92,0.59
1738509593.671510,32.5,4.93,0.00,2.92,0.58
1738509593.773278,32.5,4.93,0.00,2.86,0.59
1738509593.874938,32.5,4.93,0.00,2.86,0.58
1738509593.976386,32.5,4.93,0.00,2.86,0.58
1738509594.078099,31.6,4.93,0.00,2.86,0.58
1738509594.179620,31.6,4.93,0.00,2.92,0.58
1738509594.281193,31.6,4.93,0.00,2.86,0.59
1738509594.382730,31.6,4.93,0.00,2.92,0.58
1738509594.484357,31.6,4.93,0.00,2.86,0.58
1738509594.585918,31.6,4.93,0.00,2.86,0.59
1738509594.687461,31.6,4.93,0.00,2.86,0.59
1738509594.789049,31.6,4.93,0.00,2.86,0.58
1738509594.890653,31.6,4.93,0.00,2.86,0.59
1738509594.992226,31.6,4.93,0.00,2.86,0.58
1738509595.093886,31.6,4.93,0.00,2.86,0.58
1738509595.195299,31.6,4.93,0.00,2.86,0.58
1738509595.296898,31.6,4.93,0.00,2.86,0.58
1738509595.398611,31.6,4.93,0.00,2.86,0.58
1738509595.500083,31.6,4.93,0.00,2.92,0.58
1738509595.601530,31.6,4.93,0.00,2.82,0.58
1738509595.703164,31.6,4.93,0.00,2.86,0.58
1738509595.804909,31.6,4.93,0.00,2.86,0.58
1738509595.906430,31.6,4.93,0.00,2.92,0.58
1738509596.007957,31.6,4.93,0.00,2.92,0.59
1738509596.109961,31.6,4.93,0.00,2.86,0.59
1738509596.211216,31.6,4.93,0.00,2.86,0.58
1738509596.312714,31.6,4.93,0.00,2.86,0.58
1738509596.414092,31.6,4.93,0.00,2.86,0.57
1738509596.515633,31.6,4.93,0.00,2.86,0.59
1738509596.617504,31.6,4.93,0.00,2.86,0.58
1738509596.719014,31.6,4.93,0.00,2.86,0.58
1738509596.820656,31.6,4.93,0.00,2.86,0.59
1738509596.922247,31.6,4.93,0.00,2.86,0.58
1738509597.023882,31.6,4.93,0.00,2.86,0.58
1738509597.125504,31.6,4.93,0.00,2.92,0.58
1738509597.227038,31.6,4.93,0.00,2.86,0.59
1738509597.328620,31.6,4.93,0.00,2.86,0.58
1738509597.430000,32.5,4.93,0.00,2.86,0.58
1738509597.531773,32.5,4.93,0.00,2.92,0.59
1738509597.633182,32.5,4.93,0.00,2.86,0.58
1738509597.734963,32.5,4.93,0.00,2.86,0.58
1738509597.836440,32.5,4.93,0.00,2.86,0.58
1738509597.938022,32.5,4.93,0.00,2.86,0.58
1738509598.039519,32.5,4.93,0.00,2.86,0.59
1738509598.141217,32.5,4.93,0.00,2.86,0.58
1738509598.242830,31.6,4.93,0.00,2.92,0.59
1738509598.344296,31.6,4.93,0.00,2.86,0.59
1738509598.445965,31.6,4.93,0.00,2.86,0.58
1738509598.547458,31.6,4.93,0.00,2.92,0.58
1738509598.649016,31.6,4.93,0.00,2.86,0.59
1738509598.750728,31.6,4.93,0.00,2.92,0.58
1738509598.852224,31.6,4.93,0.00,2.86,0.58
1738509598.953843,31.6,4.93,0.00,2.86,0.58
1738509599.055450,31.6,4.93,0.00,2.92,0.58
1738509599.157122,31.6,4.93,0.00,2.86,0.58
1738509599.258457,31.6,4.93,0.00,2.86,0.58
1738509599.360140,31.6,4.93,0.00,2.86,0.58
1738509599.461726,31.6,4.93,0.00,2.86,0.59
1738509599.563306,31.6,4.93,0.00,2.86,0.58
1738509599.664761,31.6,4.93,0.00,2.86,0.59
1738509599.766256,31.6,4.93,0.00,2.86,0.58
1738509599.867739,31.6,4.93,0.00,2.86,0.58
1738509599.969413,31.6,4.93,0.00,2.86,0.58
1738509600.071247,31.6,4.93,0.00,2.92,0.59
1738509600.172780,31.6,4.93,0.00,2.92,0.59
1738509600.274192,31.6,4.93,0.00,2.86,0.59
1738509600.376061,31.6,4.93,0.00,2.86,0.58
1738509600.477445,31.6,4.93,0.00,2.86,0.58
1738509600.579128,31.6,4.93,0.00,2.86,0.59
1738509600.680639,31.6,4.93,0.00,2.86,0.58
1738509600.782332,31.6,4.93,0.00,2.86,0.59
