timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509602.750214,33.3,4.92,0.00,2.92,0.60
1738509602.850170,33.3,4.92,0.00,2.92,0.59
1738509602.950098,33.3,4.92,0.00,2.94,0.60
1738509603.050076,33.3,4.92,0.00,2.94,0.61
1738509603.150071,33.3,4.92,0.00,2.94,0.60
1738509603.250050,33.3,4.92,0.00,2.94,0.59
1738509603.350096,31.6,4.92,0.00,2.94,0.60
1738509603.450085,31.6,4.92,0.00,2.94,0.60
1738509603.550093,31.6,4.92,0.00,2.94,0.59
1738509603.649764,31.6,4.92,0.00,2.94,0.60
1738509603.750164,31.6,4.92,0.00,2.92,0.60
1738509603.850024,31.6,4.92,0.00,2.94,0.60
1738509603.950125,31.6,4.92,0.00,2.94,0.60
1738509604.049938,31.6,4.92,0.00,2.94,0.61
1738509604.156072,32.5,4.92,0.00,2.94,0.60
1738509604.249877,32.5,4.92,0.00,2.94,0.60
1738509604.349940,32.5,4.92,0.00,2.92,0.60
1738509604.449900,32.5,4.92,0.00,2.94,0.60
1738509604.549777,32.5,4.92,0.00,2.94,0.60
1738509604.649892,32.5,4.92,0.00,2.94,0.61
1738509604.749758,32.5,4.92,0.00,2.94,0.60
1738509604.850106,32.5,4.92,0.00,2.94,0.60
1738509604.950127,32.5,4.92,0.00,2.94,0.60
1738509605.049995,32.5,4.92,0.00,2.92,0.60
1738509605.150111,32.5,4.92,0.00,2.94,0.60
1738509605.250095,32.5,4.92,0.00,2.94,0.60
1738509605.350079,32.5,4.92,0.00,2.92,0.60
1738509605.450029,32.5,4.92,0.00,2.92,0.60
1738509605.550123,32.5,4.92,0.00,2.92,0.60
1738509605.650084,32.5,4.92,0.00,2.94,0.60
1738509605.750097,32.5,4.92,0.00,2.94,0.60
1738509605.850066,32.5,4.92,0.00,2.94,0.60
1738509605.950074,32.5,4.92,0.00,2.94,0.60
1738509606.050142,32.5,4.92,0.00,2.94,0.61
1738509606.150136,32.5,4.92,0.00,2.94,0.60
1738509606.249976,32.5,4.92,0.00,2.94,0.60
1738509606.350012,32.5,4.92,0.00,2.94,0.59
1738509606.450069,32.5,4.92,0.00,2.94,0.60
1738509606.550034,32.5,4.92,0.00,2.94,0.60
1738509606.650075,32.5,4.92,0.00,2.94,0.60
1738509606.750104,32.5,4.92,0.00,2.94,0.60
1738509606.850048,32.5,4.92,0.00,2.94,0.60
1738509606.950099,32.5,4.92,0.00,2.94,0.60
1738509607.050043,32.5,4.92,0.00,2.94,0.60
1738509607.150143,32.5,4.92,0.00,2.94,0.60
1738509607.250000,32.5,4.92,0.00,2.94,0.59
1738509607.350071,32.5,4.92,0.00,2.94,0.60
1738509607.450078,32.5,4.92,0.00,2.94,0.60
1738509607.550094,32.5,4.92,0.00,2.92,0.60
1738509607.650063,32.5,4.92,0.00,2.94,0.60
1738509607.750093,32.5,4.92,0.00,2.94,0.60
1738509607.850048,32.5,4.92,0.00,2.92,0.59
1738509607.950139,32.5,4.92,0.00,2.94,0.60
1738509608.050050,32.5,4.92,0.00,2.94,0.60
1738509608.150065,32.5,4.92,0.00,2.94,0.60
1738509608.250084,32.5,4.92,0.00,2.94,0.60
1738509608.349990,32.5,4.92,0.00,2.92,0.60
1738509608.450034,32.5,4.92,0.00,2.94,0.60
1738509608.550016,32.5,4.92,0.00,2.94,0.60
1738509608.650007,32.5,4.92,0.00,2.94,0.60
1738509608.750097,32.5,4.92,0.00,2.94,0.60
1738509608.850090,32.5,4.92,0.00,2.94,0.60
1738509608.950106,32.5,4.92,0.00,2.92,0.60
1738509609.050142,32.5,4.92,0.00,2.94,0.60
1738509609.150049,32.5,4.92,0.00,2.94,0.60
1738509609.250049,32.5,4.92,0.00,3.02,0.60
1738509609.350122,32.5,4.92,0.00,2.94,0.60
1738509609.450094,32.5,4.92,0.00,2.94,0.60
1738509609.549758,32.5,4.92,0.00,2.94,0.60
1738509609.650104,32.5,4.92,0.00,2.94,0.60
1738509609.750056,32.5,4.92,0.00,2.94,0.60
1738509609.850117,32.5,4.92,0.00,2.94,0.60
1738509609.950061,32.5,4.92,0.00,2.94,0.60
1738509610.049990,32.5,4.92,0.00,2.94,0.60
1738509610.150027,32.5,4.92,0.00,2.92,0.60
1738509610.250061,32.5,4.92,0.00,2.94,0.60
1738509610.350068,32.5,4.92,0.00,2.94,0.60
1738509610.450028,32.5,4.92,0.00,2.94,0.60
1738509610.549982,32.5,4.92,0.00,2.94,0.60
1738509610.654791,32.5,4.92,0.00,2.94,0.60
1738509610.749949,32.5,4.92,0.00,2.94,0.60
1738509610.850007,32.5,4.92,0.00,2.94,0.60
1738509610.950281,32.5,4.92,0.00,2.94,0.60
