timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509960.936531,33.3,4.92,0.00,2.92,0.59
1738509961.038014,33.3,4.92,0.00,2.92,0.59
1738509961.140071,33.3,4.92,0.00,2.94,0.60
1738509961.241533,33.3,4.92,0.00,2.92,0.60
1738509961.343145,33.3,4.92,0.00,2.94,0.60
1738509961.444946,33.3,4.92,0.00,2.92,0.60
1738509961.546234,32.5,4.92,0.00,2.94,0.60
1738509961.647934,32.5,4.92,0.00,2.94,0.59
1738509961.749394,32.5,4.92,0.00,2.94,0.60
1738509961.851040,32.5,4.92,0.00,2.92,0.59
1738509961.952748,32.5,4.92,0.00,2.92,0.59
1738509962.054503,32.5,4.92,0.00,2.94,0.60
1738509962.155635,32.5,4.92,0.00,2.94,0.60
1738509962.257501,32.5,4.92,0.00,2.92,0.60
1738509962.359039,33.3,4.92,0.00,2.92,0.59
1738509962.460682,33.3,4.92,0.00,2.92,0.59
1738509962.562117,33.3,4.92,0.00,2.94,0.60
1738509962.663648,33.3,4.92,0.00,2.92,0.59
1738509962.765312,33.3,4.92,0.00,2.92,0.60
1738509962.866726,33.3,4.92,0.00,2.94,0.60
1738509962.968465,33.3,4.92,0.00,2.92,0.60
1738509963.070021,33.3,4.92,0.00,2.94,0.60
1738509963.171487,33.3,4.92,0.00,2.92,0.60
1738509963.273209,33.3,4.92,0.00,2.94,0.60
1738509963.374734,33.3,4.92,0.00,2.92,0.59
1738509963.476502,33.3,4.92,0.00,2.92,0.59
1738509963.578032,33.3,4.92,0.00,2.94,0.60
1738509963.679619,33.3,4.92,0.00,2.94,0.59
1738509963.781184,33.3,4.92,0.00,2.94,0.60
1738509963.882932,33.3,4.92,0.00,2.94,0.60
1738509963.984344,33.3,4.92,0.00,2.92,0.60
1738509964.085963,33.3,4.92,0.00,2.92,0.60
1738509964.187499,33.3,4.92,0.00,2.94,0.60
1738509964.289025,33.3,4.92,0.00,2.92,0.59
1738509964.390583,33.3,4.92,0.00,2.92,0.60
1738509964.492032,33.3,4.92,0.00,2.94,0.59
1738509964.593648,33.3,4.92,0.00,2.92,0.60
1738509964.695535,33.3,4.92,0.00,2.94,0.60
1738509964.796895,33.3,4.92,0.00,2.92,0.59
1738509964.898425,33.3,4.92,0.00,2.94,0.60
1738509965.000030,33.3,4.92,0.00,2.94,0.59
1738509965.101734,33.3,4.92,0.00,2.92,0.59
1738509965.203365,33.3,4.92,0.00,2.92,0.59
1738509965.304669,33.3,4.92,0.00,2.94,0.60
1738509965.406327,33.3,4.92,0.00,2.92,0.60
1738509965.507906,33.3,4.92,0.00,2.94,0.60
1738509965.609634,33.3,4.92,0.00,2.94,0.60
1738509965.711207,33.3,4.92,0.00,2.92,0.59
1738509965.812725,33.3,4.92,0.00,2.94,0.60
1738509965.914392,33.3,4.92,0.00,2.92,0.59
1738509966.016009,33.3,4.92,0.00,2.94,0.60
1738509966.117388,33.3,4.92,0.00,2.92,0.60
1738509966.219035,33.3,4.92,0.00,2.92,0.60
1738509966.320610,33.3,4.92,0.00,2.92,0.59
1738509966.422272,33.3,4.92,0.00,2.92,0.59
1738509966.523836,33.3,4.92,0.00,2.94,0.60
1738509966.625410,33.3,4.92,0.00,2.94,0.59
1738509966.726955,33.3,4.92,0.00,2.94,0.60
1738509966.828438,33.3,4.92,0.00,2.92,0.59
1738509966.930080,33.3,4.92,0.00,2.92,0.60
1738509967.031616,33.3,4.92,0.00,2.92,0.60
1738509967.133261,33.3,4.92,0.00,2.94,0.60
1738509967.234723,33.3,4.92,0.00,2.94,0.60
1738509967.336430,33.3,4.92,0.00,2.94,0.60
1738509967.437678,33.3,4.92,0.00,2.94,0.60
1738509967.539591,33.3,4.92,0.00,2.92,0.60
1738509967.641209,33.3,4.92,0.00,2.92,0.60
1738509967.742798,33.3,4.92,0.00,2.92,0.59
1738509967.844360,33.3,4.92,0.00,2.92,0.60
1738509967.945965,33.3,4.92,0.00,2.94,0.59
1738509968.047492,33.3,4.92,0.00,2.92,0.60
1738509968.149113,33.3,4.92,0.00,2.94,0.60
1738509968.250541,32.5,4.92,0.00,2.94,0.59
1738509968.352307,32.5,4.92,0.00,2.92,0.60
1738509968.453811,32.5,4.92,0.00,2.92,0.59
1738509968.555319,32.5,4.92,0.00,2.94,0.59
1738509968.657045,32.5,4.92,0.00,2.94,0.60
1738509968.758666,32.5,4.92,0.00,2.92,0.59
1738509968.860182,32.5,4.92,0.00,2.94,0.60
1738509968.961748,32.5,4.92,0.00,2.94,0.60
1738509969.063296,33.3,4.92,0.00,2.94,0.60
1738509969.164904,33.3,4.92,0.00,2.94,0.60
1738509969.266447,33.3,4.92,0.00,2.94,0.60
1738509969.368050,33.3,4.92,0.00,2.94,0.60
1738509969.469688,33.3,4.92,0.00,2.94,0.59
1738509969.571276,33.3,4.92,0.00,2.92,0.60
1738509969.672754,33.3,4.92,0.00,2.94,0.60
1738509969.774388,33.3,4.92,0.00,2.92,0.60
1738509969.875999,32.5,4.92,0.00,2.94,0.60
1738509969.977450,32.5,4.92,0.00,2.92,0.60
1738509970.078976,32.5,4.92,0.00,2.92,0.60
1738509970.180692,32.5,4.92,0.00,2.92,0.60
1738509970.282063,32.5,4.92,0.00,2.94,0.60
1738509970.383938,32.5,4.92,0.00,2.92,0.60
1738509970.485400,32.5,4.92,0.00,2.94,0.60
1738509970.587051,32.5,4.92,0.00,2.94,0.60
1738509970.688583,32.5,4.92,0.00,2.94,0.59
1738509970.790130,32.5,4.92,0.00,2.94,0.59
1738509970.891727,32.5,4.92,0.00,2.92,0.60
1738509970.993309,32.5,4.92,0.00,2.92,0.59
1738509971.094800,32.5,4.92,0.00,2.92,0.60
1738509971.196504,32.5,4.92,0.00,2.92,0.59
1738509971.298138,32.5,4.92,0.00,2.92,0.59
1738509971.399491,32.5,4.92,0.00,2.92,0.60
1738509971.501286,32.5,4.92,0.00,2.92,0.60
1738509971.602663,32.5,4.92,0.00,2.92,0.60
1738509971.704378,32.5,4.92,0.00,2.92,0.60
1738509971.805982,32.5,4.92,0.00,2.92,0.60
1738509971.907553,32.5,4.92,0.00,2.94,0.59
1738509972.009016,32.5,4.92,0.00,2.94,0.60
1738509972.110388,32.5,4.92,0.00,2.92,0.60
1738509972.212324,32.5,4.92,0.00,2.94,0.60
1738509972.313919,32.5,4.92,0.00,2.94,0.59
1738509972.415469,33.3,4.92,0.00,2.92,0.60
1738509972.517059,33.3,4.92,0.00,2.92,0.59
1738509972.618572,33.3,4.92,0.00,2.92,0.60
1738509972.720184,33.3,4.92,0.00,2.92,0.60
1738509972.821754,33.3,4.92,0.00,2.94,0.59
1738509972.923334,33.3,4.92,0.00,2.92,0.59
1738509973.025024,33.3,4.92,0.00,2.92,0.59
1738509973.126454,33.3,4.92,0.00,2.94,0.60
1738509973.228092,33.3,4.92,0.00,2.92,0.60
1738509973.329465,33.3,4.92,0.00,2.92,0.59
1738509973.431274,33.3,4.92,0.00,2.94,0.59
1738509973.532830,33.3,4.92,0.00,2.94,0.60
1738509973.634435,33.3,4.92,0.00,2.94,0.60
1738509973.736029,33.3,4.92,0.00,2.94,0.60
1738509973.837592,33.3,4.92,0.00,2.94,0.60
1738509973.938979,33.3,4.92,0.00,2.94,0.59
1738509974.040783,33.3,4.92,0.00,2.94,0.60
1738509974.142360,33.3,4.92,0.00,2.92,0.60
1738509974.243971,33.3,4.92,0.00,2.92,0.60
1738509974.345525,33.3,4.92,0.00,2.94,0.60
1738509974.447103,33.3,4.92,0.00,2.94,0.60
1738509974.548670,33.3,4.92,0.00,2.92,0.59
1738509974.650278,33.3,4.92,0.00,2.94,0.59
1738509974.751800,33.3,4.92,0.00,2.92,0.60
1738509974.853405,33.3,4.92,0.00,2.94,0.59
1738509974.954967,32.5,4.92,0.00,2.94,0.59
1738509975.056584,32.5,4.92,0.00,2.94,0.60
1738509975.158098,32.5,4.92,0.00,2.92,0.60
1738509975.259760,32.5,4.92,0.00,2.94,0.60
1738509975.361338,32.5,4.92,0.00,2.94,0.60
1738509975.462912,32.5,4.92,0.00,2.92,0.60
1738509975.564992,32.5,4.92,0.00,2.94,0.60
1738509975.666150,32.5,4.92,0.00,2.94,0.59
1738509975.767564,32.5,4.92,0.00,2.92,0.60
